Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,San Marino,0,0,0,0,0,0
2020-01-23,San Marino,0,0,0,0,0,0
2020-01-24,San Marino,0,0,0,0,0,0
2020-01-25,San Marino,0,0,0,0,0,0
2020-01-26,San Marino,0,0,0,0,0,0
2020-01-27,San Marino,0,0,0,0,0,0
2020-01-28,San Marino,0,0,0,0,0,0
2020-01-29,San Marino,0,0,0,0,0,0
2020-01-30,San Marino,0,0,0,0,0,0
2020-01-31,San Marino,0,0,0,0,0,0
2020-02-01,San Marino,0,0,0,0,0,0
2020-02-02,San Marino,0,0,0,0,0,0
2020-02-03,San Marino,0,0,0,0,0,0
2020-02-04,San Marino,0,0,0,0,0,0
2020-02-05,San Marino,0,0,0,0,0,0
2020-02-06,San Marino,0,0,0,0,0,0
2020-02-07,San Marino,0,0,0,0,0,0
2020-02-08,San Marino,0,0,0,0,0,0
2020-02-09,San Marino,0,0,0,0,0,0
2020-02-10,San Marino,0,0,0,0,0,0
2020-02-11,San Marino,0,0,0,0,0,0
2020-02-12,San Marino,0,0,0,0,0,0
2020-02-13,San Marino,0,0,0,0,0,0
2020-02-14,San Marino,0,0,0,0,0,0
2020-02-15,San Marino,0,0,0,0,0,0
2020-02-16,San Marino,0,0,0,0,0,0
2020-02-17,San Marino,0,0,0,0,0,0
2020-02-18,San Marino,0,0,0,0,0,0
2020-02-19,San Marino,0,0,0,0,0,0
2020-02-20,San Marino,0,0,0,0,0,0
2020-02-21,San Marino,0,0,0,0,0,0
2020-02-22,San Marino,0,0,0,0,0,0
2020-02-23,San Marino,0,0,0,0,0,0
2020-02-24,San Marino,0,0,0,0,0,0
2020-02-25,San Marino,0,0,0,0,0,0
2020-02-26,San Marino,0,0,0,0,0,0
2020-02-27,San Marino,0,0,0,0,0,0
2020-02-28,San Marino,0,0,0,0,0,0
2020-02-29,San Marino,1,1,1,1,0,0
2020-03-01,San Marino,1,1,0,0,0,0
2020-03-02,San Marino,1,1,0,0,0,0
2020-03-03,San Marino,9,1,8,0,1,0
2020-03-04,San Marino,9,1,0,0,1,0
2020-03-05,San Marino,16,1,7,0,2,0
2020-03-06,San Marino,22,1,6,0,3,0
2020-03-07,San Marino,24,1,2,0,3,0
2020-03-08,San Marino,27,1,3,0,4,0
2020-03-09,San Marino,37,1,10,0,5,0
2020-03-10,San Marino,49,2,12,1,6,0
2020-03-11,San Marino,60,2,11,0,7,0
2020-03-12,San Marino,60,2,0,0,6,0
2020-03-13,San Marino,64,5,4,3,6,1
2020-03-14,San Marino,77,5,13,0,8,1
2020-03-15,San Marino,77,5,0,0,7,1
2020-03-16,San Marino,77,5,0,0,6,1
2020-03-17,San Marino,102,9,25,4,8,1
2020-03-18,San Marino,104,11,2,2,6,1
2020-03-19,San Marino,109,14,5,3,7,2
2020-03-20,San Marino,126,14,17,0,9,1
2020-03-21,San Marino,151,20,25,6,11,2
2020-03-22,San Marino,175,20,24,0,14,2
2020-03-23,San Marino,187,20,12,0,16,2
2020-03-24,San Marino,187,21,0,1,12,2
2020-03-25,San Marino,208,21,21,0,15,1
2020-03-26,San Marino,218,21,10,0,16,1
2020-03-27,San Marino,223,21,5,0,14,1
2020-03-28,San Marino,228,22,5,1,11,0
2020-03-29,San Marino,228,22,0,0,8,0
2020-03-30,San Marino,230,25,2,3,6,1
2020-03-31,San Marino,236,26,6,1,7,1
2020-04-01,San Marino,236,28,0,2,4,1
2020-04-02,San Marino,236,28,0,0,3,1
2020-04-03,San Marino,245,30,9,2,3,1
2020-04-04,San Marino,252,32,7,2,3,1
2020-04-05,San Marino,259,32,7,0,4,1
2020-04-06,San Marino,266,32,7,0,5,1
2020-04-07,San Marino,277,32,11,0,6,1
2020-04-08,San Marino,279,34,2,2,6,1
2020-04-09,San Marino,308,34,29,0,10,1
2020-04-10,San Marino,344,34,36,0,14,1
2020-04-11,San Marino,344,34,0,0,13,0
2020-04-12,San Marino,356,35,12,1,14,0
2020-04-13,San Marino,356,35,0,0,13,0
2020-04-14,San Marino,371,36,15,1,13,1
2020-04-15,San Marino,372,36,1,0,13,0
2020-04-16,San Marino,393,36,21,0,12,0
2020-04-17,San Marino,426,38,33,2,12,1
2020-04-18,San Marino,426,38,0,0,12,1
2020-04-19,San Marino,455,39,29,1,14,1
2020-04-20,San Marino,461,39,6,0,15,1
2020-04-21,San Marino,462,39,1,0,13,0
2020-04-22,San Marino,476,40,14,1,15,1
2020-04-23,San Marino,488,40,12,0,14,1
2020-04-24,San Marino,501,40,13,0,11,0
2020-04-25,San Marino,513,40,12,0,12,0
2020-04-26,San Marino,513,40,0,0,8,0
2020-04-27,San Marino,538,41,25,1,11,0
2020-04-28,San Marino,538,41,0,0,11,0
2020-04-29,San Marino,553,41,15,0,11,0
2020-04-30,San Marino,563,41,10,0,11,0
2020-05-01,San Marino,569,41,6,0,10,0
2020-05-02,San Marino,580,41,11,0,10,0
2020-05-03,San Marino,580,41,0,0,10,0
2020-05-04,San Marino,582,41,2,0,6,0
2020-05-05,San Marino,582,41,0,0,6,0
2020-05-06,San Marino,589,41,7,0,5,0
2020-05-07,San Marino,608,41,19,0,6,0
2020-05-08,San Marino,632,41,24,0,9,0
2020-05-09,San Marino,632,41,0,0,7,0
2020-05-10,San Marino,632,41,0,0,7,0
2020-05-11,San Marino,637,41,5,0,8,0
2020-05-12,San Marino,647,41,10,0,9,0
2020-05-13,San Marino,647,41,0,0,8,0
2020-05-14,San Marino,647,41,0,0,6,0
2020-05-15,San Marino,647,41,0,0,2,0
2020-05-16,San Marino,652,41,5,0,3,0
2020-05-17,San Marino,652,41,0,0,3,0
2020-05-18,San Marino,668,41,16,0,4,0
2020-05-19,San Marino,668,41,0,0,3,0
2020-05-20,San Marino,668,41,0,0,3,0
2020-05-21,San Marino,670,41,2,0,3,0
2020-05-22,San Marino,672,41,2,0,4,0
2020-05-23,San Marino,672,41,0,0,3,0
2020-05-24,San Marino,672,42,0,1,3,0
2020-05-25,San Marino,672,42,0,0,1,0
2020-05-26,San Marino,672,42,0,0,1,0
2020-05-27,San Marino,672,42,0,0,1,0
2020-05-28,San Marino,672,42,0,0,0,0
2020-05-29,San Marino,687,42,15,0,2,0
2020-05-30,San Marino,687,42,0,0,2,0
2020-05-31,San Marino,687,42,0,0,2,0
2020-06-01,San Marino,687,42,0,0,2,0
2020-06-02,San Marino,687,42,0,0,2,0
2020-06-03,San Marino,687,42,0,0,2,0
2020-06-04,San Marino,687,42,0,0,2,0
2020-06-05,San Marino,695,42,8,0,1,0
2020-06-06,San Marino,695,42,0,0,1,0
2020-06-07,San Marino,695,42,0,0,1,0
2020-06-08,San Marino,695,42,0,0,1,0
2020-06-09,San Marino,695,42,0,0,1,0
2020-06-10,San Marino,695,42,0,0,1,0
2020-06-11,San Marino,695,42,0,0,1,0
2020-06-12,San Marino,695,42,0,0,0,0
2020-06-13,San Marino,695,42,0,0,0,0
2020-06-14,San Marino,695,42,0,0,0,0
2020-06-15,San Marino,695,42,0,0,0,0
2020-06-16,San Marino,695,42,0,0,0,0
2020-06-17,San Marino,695,42,0,0,0,0
2020-06-18,San Marino,709,42,14,0,2,0
2020-06-19,San Marino,709,42,0,0,2,0
2020-06-20,San Marino,713,42,4,0,3,0
2020-06-21,San Marino,713,42,0,0,3,0
2020-06-22,San Marino,713,42,0,0,3,0
2020-06-23,San Marino,713,42,0,0,3,0
2020-06-24,San Marino,713,42,0,0,3,0
2020-06-25,San Marino,713,42,0,0,1,0
2020-06-26,San Marino,713,42,0,0,1,0
2020-06-27,San Marino,713,42,0,0,0,0
2020-06-28,San Marino,713,42,0,0,0,0
2020-06-29,San Marino,713,42,0,0,0,0
2020-06-30,San Marino,713,42,0,0,0,0
2020-07-01,San Marino,713,42,0,0,0,0
2020-07-02,San Marino,713,42,0,0,0,0
2020-07-03,San Marino,713,42,0,0,0,0
2020-07-04,San Marino,713,42,0,0,0,0
2020-07-05,San Marino,713,42,0,0,0,0
2020-07-06,San Marino,713,42,0,0,0,0
2020-07-07,San Marino,713,42,0,0,0,0
2020-07-08,San Marino,713,42,0,0,0,0
2020-07-09,San Marino,713,42,0,0,0,0
2020-07-10,San Marino,716,42,3,0,0,0
2020-07-11,San Marino,716,42,0,0,0,0
2020-07-12,San Marino,716,42,0,0,0,0
2020-07-13,San Marino,716,42,0,0,0,0
2020-07-14,San Marino,716,42,0,0,0,0
2020-07-15,San Marino,716,42,0,0,0,0
2020-07-16,San Marino,716,42,0,0,0,0
2020-07-17,San Marino,716,42,0,0,0,0
2020-07-18,San Marino,716,42,0,0,0,0
2020-07-19,San Marino,716,42,0,0,0,0
2020-07-20,San Marino,716,42,0,0,0,0
2020-07-21,San Marino,716,42,0,0,0,0
