Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Saudi Arabia,0,0,0,0,0,0
2020-01-23,Saudi Arabia,0,0,0,0,0,0
2020-01-24,Saudi Arabia,0,0,0,0,0,0
2020-01-25,Saudi Arabia,0,0,0,0,0,0
2020-01-26,Saudi Arabia,0,0,0,0,0,0
2020-01-27,Saudi Arabia,0,0,0,0,0,0
2020-01-28,Saudi Arabia,0,0,0,0,0,0
2020-01-29,Saudi Arabia,0,0,0,0,0,0
2020-01-30,Saudi Arabia,0,0,0,0,0,0
2020-01-31,Saudi Arabia,0,0,0,0,0,0
2020-02-01,Saudi Arabia,0,0,0,0,0,0
2020-02-02,Saudi Arabia,0,0,0,0,0,0
2020-02-03,Saudi Arabia,0,0,0,0,0,0
2020-02-04,Saudi Arabia,0,0,0,0,0,0
2020-02-05,Saudi Arabia,0,0,0,0,0,0
2020-02-06,Saudi Arabia,0,0,0,0,0,0
2020-02-07,Saudi Arabia,0,0,0,0,0,0
2020-02-08,Saudi Arabia,0,0,0,0,0,0
2020-02-09,Saudi Arabia,0,0,0,0,0,0
2020-02-10,Saudi Arabia,0,0,0,0,0,0
2020-02-11,Saudi Arabia,0,0,0,0,0,0
2020-02-12,Saudi Arabia,0,0,0,0,0,0
2020-02-13,Saudi Arabia,0,0,0,0,0,0
2020-02-14,Saudi Arabia,0,0,0,0,0,0
2020-02-15,Saudi Arabia,0,0,0,0,0,0
2020-02-16,Saudi Arabia,0,0,0,0,0,0
2020-02-17,Saudi Arabia,0,0,0,0,0,0
2020-02-18,Saudi Arabia,0,0,0,0,0,0
2020-02-19,Saudi Arabia,0,0,0,0,0,0
2020-02-20,Saudi Arabia,0,0,0,0,0,0
2020-02-21,Saudi Arabia,0,0,0,0,0,0
2020-02-22,Saudi Arabia,0,0,0,0,0,0
2020-02-23,Saudi Arabia,0,0,0,0,0,0
2020-02-24,Saudi Arabia,0,0,0,0,0,0
2020-02-25,Saudi Arabia,0,0,0,0,0,0
2020-02-26,Saudi Arabia,0,0,0,0,0,0
2020-02-27,Saudi Arabia,0,0,0,0,0,0
2020-02-28,Saudi Arabia,0,0,0,0,0,0
2020-02-29,Saudi Arabia,0,0,0,0,0,0
2020-03-01,Saudi Arabia,0,0,0,0,0,0
2020-03-02,Saudi Arabia,1,0,1,0,0,0
