Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Senegal,0,0,0,0,0,0
2020-01-23,Senegal,0,0,0,0,0,0
2020-01-24,Senegal,0,0,0,0,0,0
2020-01-25,Senegal,0,0,0,0,0,0
2020-01-26,Senegal,0,0,0,0,0,0
2020-01-27,Senegal,0,0,0,0,0,0
2020-01-28,Senegal,0,0,0,0,0,0
2020-01-29,Senegal,0,0,0,0,0,0
2020-01-30,Senegal,0,0,0,0,0,0
2020-01-31,Senegal,0,0,0,0,0,0
2020-02-01,Senegal,0,0,0,0,0,0
2020-02-02,Senegal,0,0,0,0,0,0
2020-02-03,Senegal,0,0,0,0,0,0
2020-02-04,Senegal,0,0,0,0,0,0
2020-02-05,Senegal,0,0,0,0,0,0
2020-02-06,Senegal,0,0,0,0,0,0
2020-02-07,Senegal,0,0,0,0,0,0
2020-02-08,Senegal,0,0,0,0,0,0
2020-02-09,Senegal,0,0,0,0,0,0
2020-02-10,Senegal,0,0,0,0,0,0
2020-02-11,Senegal,0,0,0,0,0,0
2020-02-12,Senegal,0,0,0,0,0,0
2020-02-13,Senegal,0,0,0,0,0,0
2020-02-14,Senegal,0,0,0,0,0,0
2020-02-15,Senegal,0,0,0,0,0,0
2020-02-16,Senegal,0,0,0,0,0,0
2020-02-17,Senegal,0,0,0,0,0,0
2020-02-18,Senegal,0,0,0,0,0,0
2020-02-19,Senegal,0,0,0,0,0,0
2020-02-20,Senegal,0,0,0,0,0,0
2020-02-21,Senegal,0,0,0,0,0,0
2020-02-22,Senegal,0,0,0,0,0,0
2020-02-23,Senegal,0,0,0,0,0,0
2020-02-24,Senegal,0,0,0,0,0,0
2020-02-25,Senegal,0,0,0,0,0,0
2020-02-26,Senegal,0,0,0,0,0,0
2020-02-27,Senegal,0,0,0,0,0,0
2020-02-28,Senegal,0,0,0,0,0,0
2020-02-29,Senegal,0,0,0,0,0,0
2020-03-01,Senegal,0,0,0,0,0,0
2020-03-02,Senegal,1,0,1,0,0,0
2020-03-03,Senegal,2,0,1,0,0,0
2020-03-04,Senegal,4,0,2,0,1,0
2020-03-05,Senegal,4,0,0,0,1,0
2020-03-06,Senegal,4,0,0,0,1,0
2020-03-07,Senegal,4,0,0,0,1,0
2020-03-08,Senegal,4,0,0,0,1,0
2020-03-09,Senegal,4,0,0,0,0,0
2020-03-10,Senegal,4,0,0,0,0,0
2020-03-11,Senegal,4,0,0,0,0,0
2020-03-12,Senegal,4,0,0,0,0,0
2020-03-13,Senegal,10,0,6,0,1,0
2020-03-14,Senegal,10,0,0,0,1,0
2020-03-15,Senegal,24,0,14,0,3,0
2020-03-16,Senegal,24,0,0,0,3,0
2020-03-17,Senegal,26,0,2,0,3,0
2020-03-18,Senegal,31,0,5,0,4,0
2020-03-19,Senegal,31,0,0,0,4,0
2020-03-20,Senegal,38,0,7,0,4,0
2020-03-21,Senegal,47,0,9,0,5,0
2020-03-22,Senegal,67,0,20,0,6,0
2020-03-23,Senegal,79,0,12,0,8,0
2020-03-24,Senegal,86,0,7,0,9,0
2020-03-25,Senegal,99,0,13,0,10,0
2020-03-26,Senegal,105,0,6,0,11,0
2020-03-27,Senegal,119,0,14,0,12,0
2020-03-28,Senegal,130,0,11,0,12,0
2020-03-29,Senegal,142,0,12,0,11,0
2020-03-30,Senegal,162,0,20,0,12,0
2020-03-31,Senegal,175,0,13,0,13,0
2020-04-01,Senegal,190,1,15,1,13,0
2020-04-02,Senegal,195,1,5,0,13,0
2020-04-03,Senegal,207,1,12,0,13,0
2020-04-04,Senegal,219,2,12,1,13,0
2020-04-05,Senegal,222,2,3,0,11,0
2020-04-06,Senegal,226,2,4,0,9,0
2020-04-07,Senegal,237,2,11,0,9,0
2020-04-08,Senegal,244,2,7,0,8,0
2020-04-09,Senegal,250,2,6,0,8,0
2020-04-10,Senegal,265,2,15,0,8,0
2020-04-11,Senegal,278,2,13,0,8,0
2020-04-12,Senegal,280,2,2,0,8,0
2020-04-13,Senegal,291,2,11,0,9,0
2020-04-14,Senegal,299,2,8,0,9,0
2020-04-15,Senegal,314,2,15,0,10,0
2020-04-16,Senegal,335,2,21,0,12,0
2020-04-17,Senegal,342,2,7,0,11,0
2020-04-18,Senegal,350,3,8,1,10,0
2020-04-19,Senegal,367,3,17,0,12,0
2020-04-20,Senegal,377,5,10,2,12,0
2020-04-21,Senegal,412,5,35,0,16,0
2020-04-22,Senegal,442,6,30,1,18,1
2020-04-23,Senegal,479,6,37,0,21,1
2020-04-24,Senegal,545,7,66,1,29,1
2020-04-25,Senegal,614,7,69,0,38,1
2020-04-26,Senegal,671,9,57,2,43,1
2020-04-27,Senegal,736,9,65,0,51,1
2020-04-28,Senegal,823,9,87,0,59,1
2020-04-29,Senegal,882,9,59,0,63,0
2020-04-30,Senegal,933,9,51,0,65,0
2020-05-01,Senegal,1024,9,91,0,68,0
2020-05-02,Senegal,1115,9,91,0,72,0
2020-05-03,Senegal,1182,9,67,0,73,0
2020-05-04,Senegal,1271,10,89,1,76,0
2020-05-05,Senegal,1329,11,58,1,72,0
2020-05-06,Senegal,1433,12,104,1,79,0
2020-05-07,Senegal,1492,13,59,1,80,1
2020-05-08,Senegal,1551,13,59,0,75,1
2020-05-09,Senegal,1634,17,83,4,74,1
2020-05-10,Senegal,1709,19,75,2,75,1
2020-05-11,Senegal,1886,19,177,0,88,1
2020-05-12,Senegal,1995,19,109,0,95,1
2020-05-13,Senegal,2105,21,110,2,96,1
2020-05-14,Senegal,2189,23,84,2,100,1
2020-05-15,Senegal,2310,25,121,2,108,2
2020-05-16,Senegal,2429,25,119,0,114,1
2020-05-17,Senegal,2480,25,51,0,110,1
2020-05-18,Senegal,2544,26,64,1,94,1
2020-05-19,Senegal,2617,30,73,4,89,2
2020-05-20,Senegal,2714,30,97,0,87,1
2020-05-21,Senegal,2812,33,98,3,89,1
2020-05-22,Senegal,2909,33,97,0,86,1
2020-05-23,Senegal,2976,34,67,1,78,1
2020-05-24,Senegal,3047,35,71,1,81,1
2020-05-25,Senegal,3130,35,83,0,84,1
2020-05-26,Senegal,3161,36,31,1,78,1
2020-05-27,Senegal,3253,38,92,2,77,1
2020-05-28,Senegal,3348,39,95,1,77,1
2020-05-29,Senegal,3429,41,81,2,74,1
2020-05-30,Senegal,3535,42,106,1,80,1
2020-05-31,Senegal,3645,42,110,0,85,1
2020-06-01,Senegal,3739,42,94,0,87,1
