Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Serbia,0,0,0,0,0,0
2020-01-23,Serbia,0,0,0,0,0,0
2020-01-24,Serbia,0,0,0,0,0,0
2020-01-25,Serbia,0,0,0,0,0,0
2020-01-26,Serbia,0,0,0,0,0,0
2020-01-27,Serbia,0,0,0,0,0,0
2020-01-28,Serbia,0,0,0,0,0,0
2020-01-29,Serbia,0,0,0,0,0,0
2020-01-30,Serbia,0,0,0,0,0,0
2020-01-31,Serbia,0,0,0,0,0,0
2020-02-01,Serbia,0,0,0,0,0,0
2020-02-02,Serbia,0,0,0,0,0,0
2020-02-03,Serbia,0,0,0,0,0,0
2020-02-04,Serbia,0,0,0,0,0,0
2020-02-05,Serbia,0,0,0,0,0,0
2020-02-06,Serbia,0,0,0,0,0,0
2020-02-07,Serbia,0,0,0,0,0,0
2020-02-08,Serbia,0,0,0,0,0,0
2020-02-09,Serbia,0,0,0,0,0,0
2020-02-10,Serbia,0,0,0,0,0,0
2020-02-11,Serbia,0,0,0,0,0,0
2020-02-12,Serbia,0,0,0,0,0,0
2020-02-13,Serbia,0,0,0,0,0,0
2020-02-14,Serbia,0,0,0,0,0,0
2020-02-15,Serbia,0,0,0,0,0,0
2020-02-16,Serbia,0,0,0,0,0,0
2020-02-17,Serbia,0,0,0,0,0,0
2020-02-18,Serbia,0,0,0,0,0,0
2020-02-19,Serbia,0,0,0,0,0,0
2020-02-20,Serbia,0,0,0,0,0,0
2020-02-21,Serbia,0,0,0,0,0,0
2020-02-22,Serbia,0,0,0,0,0,0
2020-02-23,Serbia,0,0,0,0,0,0
2020-02-24,Serbia,0,0,0,0,0,0
2020-02-25,Serbia,0,0,0,0,0,0
2020-02-26,Serbia,0,0,0,0,0,0
2020-02-27,Serbia,0,0,0,0,0,0
2020-02-28,Serbia,0,0,0,0,0,0
2020-02-29,Serbia,0,0,0,0,0,0
2020-03-01,Serbia,0,0,0,0,0,0
2020-03-02,Serbia,0,0,0,0,0,0
2020-03-03,Serbia,0,0,0,0,0,0
2020-03-04,Serbia,0,0,0,0,0,0
2020-03-05,Serbia,0,0,0,0,0,0
2020-03-06,Serbia,1,0,1,0,0,0
2020-03-07,Serbia,1,0,0,0,0,0
2020-03-08,Serbia,1,0,0,0,0,0
2020-03-09,Serbia,1,0,0,0,0,0
2020-03-10,Serbia,5,0,4,0,1,0
2020-03-11,Serbia,12,0,7,0,2,0
2020-03-12,Serbia,19,0,7,0,3,0
2020-03-13,Serbia,35,0,16,0,5,0
2020-03-14,Serbia,46,0,11,0,6,0
2020-03-15,Serbia,48,0,2,0,7,0
2020-03-16,Serbia,55,0,7,0,8,0
2020-03-17,Serbia,65,0,10,0,9,0
2020-03-18,Serbia,83,0,18,0,10,0
2020-03-19,Serbia,103,0,20,0,12,0
2020-03-20,Serbia,135,1,32,1,14,0
2020-03-21,Serbia,171,1,36,0,18,0
2020-03-22,Serbia,222,2,51,1,25,0
2020-03-23,Serbia,249,3,27,1,28,0
2020-03-24,Serbia,303,3,54,0,34,0
2020-03-25,Serbia,384,4,81,1,43,1
2020-03-26,Serbia,384,1,0,-3,40,0
2020-03-27,Serbia,457,1,73,0,46,0
2020-03-28,Serbia,659,10,202,9,70,1
2020-03-29,Serbia,741,13,82,3,74,2
2020-03-30,Serbia,785,16,44,3,77,2
2020-03-31,Serbia,900,16,115,0,85,2
2020-04-01,Serbia,1060,28,160,12,97,3
2020-04-02,Serbia,1171,31,111,3,112,4
2020-04-03,Serbia,1476,39,305,8,146,5
2020-04-04,Serbia,1624,44,148,5,138,5
2020-04-05,Serbia,1908,51,284,7,167,5
2020-04-06,Serbia,2200,58,292,7,202,6
2020-04-07,Serbia,2447,61,247,3,221,6
2020-04-08,Serbia,2666,65,219,4,229,5
2020-04-09,Serbia,2867,66,201,1,242,5
2020-04-10,Serbia,3105,71,238,5,233,5
2020-04-11,Serbia,3380,74,275,3,251,4
2020-04-12,Serbia,3630,80,250,6,246,4
2020-04-13,Serbia,4054,85,424,5,265,4
2020-04-14,Serbia,4465,94,411,9,288,5
2020-04-15,Serbia,4873,99,408,5,315,5
2020-04-16,Serbia,5318,103,445,4,350,5
2020-04-17,Serbia,5690,110,372,7,369,6
2020-04-18,Serbia,5994,117,304,7,373,6
2020-04-19,Serbia,6318,122,324,5,384,6
2020-04-20,Serbia,6630,125,312,3,368,6
2020-04-21,Serbia,6890,130,260,5,346,5
2020-04-22,Serbia,7144,134,254,4,324,5
2020-04-23,Serbia,7276,139,132,5,280,5
2020-04-24,Serbia,7483,144,207,5,256,5
2020-04-25,Serbia,7779,151,296,7,255,5
2020-04-26,Serbia,8042,156,263,5,246,5
2020-04-27,Serbia,8275,162,233,6,235,5
2020-04-28,Serbia,8497,168,222,6,230,5
2020-04-29,Serbia,8724,173,227,5,226,6
2020-04-30,Serbia,9009,179,285,6,248,6
2020-05-01,Serbia,9009,179,0,0,218,5
2020-05-02,Serbia,9362,189,353,10,226,5
2020-05-03,Serbia,9464,193,102,4,203,5
2020-05-04,Serbia,9557,197,93,4,183,5
2020-05-05,Serbia,9677,200,120,3,169,5
2020-05-06,Serbia,9791,203,114,3,152,4
2020-05-07,Serbia,9848,206,57,3,120,4
2020-05-08,Serbia,9943,209,95,3,133,4
2020-05-09,Serbia,10032,215,89,6,96,4
2020-05-10,Serbia,10032,215,0,0,81,3
