Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Sierra Leone,0,0,0,0,0,0
2020-01-23,Sierra Leone,0,0,0,0,0,0
2020-01-24,Sierra Leone,0,0,0,0,0,0
2020-01-25,Sierra Leone,0,0,0,0,0,0
2020-01-26,Sierra Leone,0,0,0,0,0,0
2020-01-27,Sierra Leone,0,0,0,0,0,0
2020-01-28,Sierra Leone,0,0,0,0,0,0
2020-01-29,Sierra Leone,0,0,0,0,0,0
2020-01-30,Sierra Leone,0,0,0,0,0,0
2020-01-31,Sierra Leone,0,0,0,0,0,0
2020-02-01,Sierra Leone,0,0,0,0,0,0
2020-02-02,Sierra Leone,0,0,0,0,0,0
2020-02-03,Sierra Leone,0,0,0,0,0,0
2020-02-04,Sierra Leone,0,0,0,0,0,0
2020-02-05,Sierra Leone,0,0,0,0,0,0
2020-02-06,Sierra Leone,0,0,0,0,0,0
2020-02-07,Sierra Leone,0,0,0,0,0,0
2020-02-08,Sierra Leone,0,0,0,0,0,0
2020-02-09,Sierra Leone,0,0,0,0,0,0
2020-02-10,Sierra Leone,0,0,0,0,0,0
2020-02-11,Sierra Leone,0,0,0,0,0,0
2020-02-12,Sierra Leone,0,0,0,0,0,0
2020-02-13,Sierra Leone,0,0,0,0,0,0
2020-02-14,Sierra Leone,0,0,0,0,0,0
2020-02-15,Sierra Leone,0,0,0,0,0,0
2020-02-16,Sierra Leone,0,0,0,0,0,0
2020-02-17,Sierra Leone,0,0,0,0,0,0
2020-02-18,Sierra Leone,0,0,0,0,0,0
2020-02-19,Sierra Leone,0,0,0,0,0,0
2020-02-20,Sierra Leone,0,0,0,0,0,0
2020-02-21,Sierra Leone,0,0,0,0,0,0
2020-02-22,Sierra Leone,0,0,0,0,0,0
2020-02-23,Sierra Leone,0,0,0,0,0,0
2020-02-24,Sierra Leone,0,0,0,0,0,0
2020-02-25,Sierra Leone,0,0,0,0,0,0
2020-02-26,Sierra Leone,0,0,0,0,0,0
2020-02-27,Sierra Leone,0,0,0,0,0,0
2020-02-28,Sierra Leone,0,0,0,0,0,0
2020-02-29,Sierra Leone,0,0,0,0,0,0
2020-03-01,Sierra Leone,0,0,0,0,0,0
2020-03-02,Sierra Leone,0,0,0,0,0,0
2020-03-03,Sierra Leone,0,0,0,0,0,0
2020-03-04,Sierra Leone,0,0,0,0,0,0
2020-03-05,Sierra Leone,0,0,0,0,0,0
2020-03-06,Sierra Leone,0,0,0,0,0,0
2020-03-07,Sierra Leone,0,0,0,0,0,0
2020-03-08,Sierra Leone,0,0,0,0,0,0
2020-03-09,Sierra Leone,0,0,0,0,0,0
2020-03-10,Sierra Leone,0,0,0,0,0,0
2020-03-11,Sierra Leone,0,0,0,0,0,0
2020-03-12,Sierra Leone,0,0,0,0,0,0
2020-03-13,Sierra Leone,0,0,0,0,0,0
2020-03-14,Sierra Leone,0,0,0,0,0,0
2020-03-15,Sierra Leone,0,0,0,0,0,0
2020-03-16,Sierra Leone,0,0,0,0,0,0
2020-03-17,Sierra Leone,0,0,0,0,0,0
2020-03-18,Sierra Leone,0,0,0,0,0,0
2020-03-19,Sierra Leone,0,0,0,0,0,0
2020-03-20,Sierra Leone,0,0,0,0,0,0
2020-03-21,Sierra Leone,0,0,0,0,0,0
2020-03-22,Sierra Leone,0,0,0,0,0,0
2020-03-23,Sierra Leone,0,0,0,0,0,0
2020-03-24,Sierra Leone,0,0,0,0,0,0
2020-03-25,Sierra Leone,0,0,0,0,0,0
2020-03-26,Sierra Leone,0,0,0,0,0,0
2020-03-27,Sierra Leone,0,0,0,0,0,0
2020-03-28,Sierra Leone,0,0,0,0,0,0
2020-03-29,Sierra Leone,0,0,0,0,0,0
2020-03-30,Sierra Leone,0,0,0,0,0,0
2020-03-31,Sierra Leone,1,0,1,0,0,0
2020-04-01,Sierra Leone,2,0,1,0,0,0
2020-04-02,Sierra Leone,2,0,0,0,0,0
2020-04-03,Sierra Leone,2,0,0,0,0,0
2020-04-04,Sierra Leone,4,0,2,0,1,0
2020-04-05,Sierra Leone,6,0,2,0,1,0
2020-04-06,Sierra Leone,6,0,0,0,1,0
2020-04-07,Sierra Leone,6,0,0,0,1,0
2020-04-08,Sierra Leone,7,0,1,0,1,0
2020-04-09,Sierra Leone,7,0,0,0,1,0
2020-04-10,Sierra Leone,8,0,1,0,1,0
2020-04-11,Sierra Leone,8,0,0,0,1,0
2020-04-12,Sierra Leone,10,0,2,0,1,0
2020-04-13,Sierra Leone,10,0,0,0,1,0
2020-04-14,Sierra Leone,11,0,1,0,1,0
2020-04-15,Sierra Leone,13,0,2,0,1,0
2020-04-16,Sierra Leone,15,0,2,0,1,0
2020-04-17,Sierra Leone,26,0,11,0,3,0
2020-04-18,Sierra Leone,30,0,4,0,3,0
2020-04-19,Sierra Leone,35,0,5,0,4,0
2020-04-20,Sierra Leone,43,0,8,0,5,0
2020-04-21,Sierra Leone,50,0,7,0,6,0
2020-04-22,Sierra Leone,61,0,11,0,7,0
2020-04-23,Sierra Leone,64,1,3,1,7,0
2020-04-24,Sierra Leone,82,2,18,1,8,0
2020-04-25,Sierra Leone,82,2,0,0,7,0
2020-04-26,Sierra Leone,93,4,11,2,8,1
2020-04-27,Sierra Leone,93,4,0,0,7,1
2020-04-28,Sierra Leone,104,4,11,0,8,1
2020-04-29,Sierra Leone,104,4,0,0,6,1
2020-04-30,Sierra Leone,124,7,20,3,9,1
2020-05-01,Sierra Leone,136,7,12,0,8,1
2020-05-02,Sierra Leone,155,8,19,1,10,1
2020-05-03,Sierra Leone,166,8,11,0,10,1
2020-05-04,Sierra Leone,178,9,12,1,12,1
2020-05-05,Sierra Leone,199,11,21,2,14,1
2020-05-06,Sierra Leone,225,14,26,3,17,1
2020-05-07,Sierra Leone,231,16,6,2,15,1
2020-05-08,Sierra Leone,257,17,26,1,17,1
2020-05-09,Sierra Leone,291,18,34,1,19,1
2020-05-10,Sierra Leone,307,18,16,0,20,1
2020-05-11,Sierra Leone,338,19,31,1,23,1
2020-05-12,Sierra Leone,338,19,0,0,20,1
2020-05-13,Sierra Leone,387,26,49,7,23,2
2020-05-14,Sierra Leone,408,26,21,0,25,1
2020-05-15,Sierra Leone,447,27,39,1,27,1
2020-05-16,Sierra Leone,462,29,15,2,24,2
2020-05-17,Sierra Leone,505,32,43,3,28,2
2020-05-18,Sierra Leone,519,33,14,1,26,2
2020-05-19,Sierra Leone,534,33,15,0,28,2
2020-05-20,Sierra Leone,570,34,36,1,26,1
2020-05-21,Sierra Leone,585,35,15,1,25,1
2020-05-22,Sierra Leone,606,38,21,3,23,2
2020-05-23,Sierra Leone,621,39,15,1,23,1
2020-05-24,Sierra Leone,707,40,86,1,29,1
2020-05-25,Sierra Leone,735,42,28,2,31,1
2020-05-26,Sierra Leone,754,44,19,2,31,2
2020-05-27,Sierra Leone,782,45,28,1,30,2
2020-05-28,Sierra Leone,812,45,30,0,32,1
2020-05-29,Sierra Leone,829,45,17,0,32,1
2020-05-30,Sierra Leone,852,46,23,1,33,1
2020-05-31,Sierra Leone,861,46,9,0,22,1
2020-06-01,Sierra Leone,865,46,4,0,19,1
2020-06-02,Sierra Leone,896,46,31,0,20,0
2020-06-03,Sierra Leone,909,47,13,1,18,0
2020-06-04,Sierra Leone,914,47,5,0,15,0
2020-06-05,Sierra Leone,929,47,15,0,14,0
2020-06-06,Sierra Leone,946,48,17,1,13,0
2020-06-07,Sierra Leone,969,48,23,0,15,0
2020-06-08,Sierra Leone,1001,49,32,1,19,0
2020-06-09,Sierra Leone,1025,50,24,1,18,1
