Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Singapore,0,0,0,0,0,0
2020-01-23,Singapore,1,0,1,0,0,0
2020-01-24,Singapore,3,0,2,0,0,0
2020-01-25,Singapore,3,0,0,0,0,0
2020-01-26,Singapore,4,0,1,0,0,0
2020-01-27,Singapore,5,0,1,0,0,0
2020-01-28,Singapore,7,0,2,0,1,0
2020-01-29,Singapore,7,0,0,0,1,0
2020-01-30,Singapore,10,0,3,0,1,0
2020-01-31,Singapore,13,0,3,0,1,0
2020-02-01,Singapore,16,0,3,0,2,0
2020-02-02,Singapore,18,0,2,0,2,0
2020-02-03,Singapore,18,0,0,0,2,0
2020-02-04,Singapore,24,0,6,0,2,0
2020-02-05,Singapore,28,0,4,0,3,0
2020-02-06,Singapore,28,0,0,0,3,0
2020-02-07,Singapore,30,0,2,0,2,0
2020-02-08,Singapore,33,0,3,0,2,0
2020-02-09,Singapore,40,0,7,0,3,0
2020-02-10,Singapore,45,0,5,0,4,0
2020-02-11,Singapore,47,0,2,0,3,0
2020-02-12,Singapore,50,0,3,0,3,0
2020-02-13,Singapore,58,0,8,0,4,0
2020-02-14,Singapore,67,0,9,0,5,0
2020-02-15,Singapore,72,0,5,0,6,0
2020-02-16,Singapore,75,0,3,0,5,0
2020-02-17,Singapore,77,0,2,0,5,0
2020-02-18,Singapore,81,0,4,0,5,0
2020-02-19,Singapore,84,0,3,0,5,0
2020-02-20,Singapore,84,0,0,0,4,0
2020-02-21,Singapore,85,0,1,0,3,0
2020-02-22,Singapore,85,0,0,0,2,0
2020-02-23,Singapore,89,0,4,0,2,0
2020-02-24,Singapore,89,0,0,0,2,0
2020-02-25,Singapore,91,0,2,0,1,0
2020-02-26,Singapore,93,0,2,0,1,0
2020-02-27,Singapore,93,0,0,0,1,0
2020-02-28,Singapore,93,0,0,0,1,0
2020-02-29,Singapore,102,0,9,0,2,0
2020-03-01,Singapore,106,0,4,0,2,0
2020-03-02,Singapore,108,0,2,0,3,0
2020-03-03,Singapore,110,0,2,0,3,0
2020-03-04,Singapore,110,0,0,0,2,0
2020-03-05,Singapore,117,0,7,0,3,0
2020-03-06,Singapore,130,0,13,0,5,0
2020-03-07,Singapore,138,0,8,0,5,0
2020-03-08,Singapore,150,0,12,0,6,0
2020-03-09,Singapore,150,0,0,0,6,0
2020-03-10,Singapore,160,0,10,0,7,0
2020-03-11,Singapore,178,0,18,0,10,0
2020-03-12,Singapore,178,0,0,0,9,0
2020-03-13,Singapore,200,0,22,0,10,0
2020-03-14,Singapore,212,0,12,0,11,0
2020-03-15,Singapore,226,0,14,0,11,0
2020-03-16,Singapore,243,0,17,0,13,0
2020-03-17,Singapore,266,0,23,0,15,0
2020-03-18,Singapore,313,0,47,0,19,0
2020-03-19,Singapore,345,0,32,0,24,0
2020-03-20,Singapore,385,0,40,0,26,0
2020-03-21,Singapore,432,2,47,2,31,0
2020-03-22,Singapore,455,2,23,0,33,0
2020-03-23,Singapore,509,2,54,0,38,0
2020-03-24,Singapore,558,2,49,0,42,0
2020-03-25,Singapore,631,2,73,0,45,0
2020-03-26,Singapore,683,2,52,0,48,0
2020-03-27,Singapore,732,2,49,0,50,0
2020-03-28,Singapore,802,2,70,0,53,0
2020-03-29,Singapore,844,3,42,1,56,0
2020-03-30,Singapore,879,3,35,0,53,0
2020-03-31,Singapore,926,3,47,0,53,0
2020-04-01,Singapore,1000,3,74,0,53,0
2020-04-02,Singapore,1049,4,49,1,52,0
2020-04-03,Singapore,1114,5,65,1,55,0
2020-04-04,Singapore,1189,6,75,1,55,1
2020-04-05,Singapore,1309,6,120,0,66,0
2020-04-06,Singapore,1375,6,66,0,71,0
2020-04-07,Singapore,1481,6,106,0,79,0
2020-04-08,Singapore,1623,6,142,0,89,0
2020-04-09,Singapore,1910,6,287,0,123,0
2020-04-10,Singapore,2108,7,198,1,142,0
2020-04-11,Singapore,2299,8,191,1,159,0
2020-04-12,Singapore,2532,8,233,0,175,0
2020-04-13,Singapore,2918,9,386,1,220,0
2020-04-14,Singapore,3252,10,334,1,253,1
2020-04-15,Singapore,3699,10,447,0,297,1
2020-04-16,Singapore,4427,10,728,0,360,1
2020-04-17,Singapore,5050,11,623,1,420,1
2020-04-18,Singapore,5992,11,942,0,528,0
2020-04-19,Singapore,6588,11,596,0,579,0
2020-04-20,Singapore,8014,11,1426,0,728,0
2020-04-21,Singapore,9125,11,1111,0,839,0
2020-04-22,Singapore,10141,12,1016,1,920,0
2020-04-23,Singapore,11178,12,1037,0,964,0
2020-04-24,Singapore,12075,12,897,0,1004,0
2020-04-25,Singapore,12693,12,618,0,957,0
2020-04-26,Singapore,13624,12,931,0,1005,0
2020-04-27,Singapore,14423,14,799,2,916,0
2020-04-28,Singapore,14951,14,528,0,832,0
2020-04-29,Singapore,15641,14,690,0,786,0
2020-04-30,Singapore,16169,15,528,1,713,0
2020-05-01,Singapore,17101,16,932,1,718,1
2020-05-02,Singapore,17548,17,447,1,694,1
2020-05-03,Singapore,18205,18,657,1,654,1
2020-05-04,Singapore,18778,18,573,0,622,1
2020-05-05,Singapore,19410,18,632,0,637,1
2020-05-06,Singapore,20198,20,788,2,651,1
2020-05-07,Singapore,20939,20,741,0,681,1
2020-05-08,Singapore,21707,20,768,0,658,1
2020-05-09,Singapore,22460,20,753,0,702,0
2020-05-10,Singapore,23336,20,876,0,733,0
2020-05-11,Singapore,23822,21,486,1,721,0
2020-05-12,Singapore,24671,21,849,0,752,0
2020-05-13,Singapore,25346,21,675,0,735,0
2020-05-14,Singapore,26098,21,752,0,737,0
2020-05-15,Singapore,26891,21,793,0,741,0
2020-05-16,Singapore,27356,22,465,1,699,0
2020-05-17,Singapore,28038,22,682,0,672,0
2020-05-18,Singapore,28343,22,305,0,646,0
2020-05-19,Singapore,28794,22,451,0,589,0
2020-05-20,Singapore,29364,22,570,0,574,0
2020-05-21,Singapore,29812,23,448,1,531,0
2020-05-22,Singapore,30426,23,614,0,505,0
2020-05-23,Singapore,31068,23,642,0,530,0
2020-05-24,Singapore,31616,23,548,0,511,0
2020-05-25,Singapore,31960,23,344,0,517,0
2020-05-26,Singapore,32343,23,383,0,507,0
2020-05-27,Singapore,32876,23,533,0,502,0
2020-05-28,Singapore,33249,23,373,0,491,0
2020-05-29,Singapore,33860,23,611,0,491,0
2020-05-30,Singapore,34366,23,506,0,471,0
2020-05-31,Singapore,34884,23,518,0,467,0
2020-06-01,Singapore,35292,24,408,1,476,0
2020-06-02,Singapore,35836,24,544,0,499,0
2020-06-03,Singapore,36405,24,569,0,504,0
2020-06-04,Singapore,36922,24,517,0,525,0
2020-06-05,Singapore,37183,24,261,0,475,0
2020-06-06,Singapore,37527,25,344,1,452,0
2020-06-07,Singapore,37910,25,383,0,432,0
2020-06-08,Singapore,38296,25,386,0,429,0
2020-06-09,Singapore,38514,25,218,0,383,0
2020-06-10,Singapore,38965,25,451,0,366,0
2020-06-11,Singapore,39387,25,422,0,352,0
2020-06-12,Singapore,39850,25,463,0,381,0
2020-06-13,Singapore,40197,26,347,1,381,0
2020-06-14,Singapore,40604,26,407,0,385,0
2020-06-15,Singapore,40818,26,214,0,360,0
2020-06-16,Singapore,40969,26,151,0,351,0
2020-06-17,Singapore,41216,26,247,0,322,0
2020-06-18,Singapore,41473,26,257,0,298,0
2020-06-19,Singapore,41615,26,142,0,252,0
2020-06-20,Singapore,41833,26,218,0,234,0
2020-06-21,Singapore,42095,26,262,0,213,0
2020-06-22,Singapore,42313,26,218,0,214,0
2020-06-23,Singapore,42432,26,119,0,209,0
2020-06-24,Singapore,42623,26,191,0,201,0
2020-06-25,Singapore,42736,26,113,0,180,0
2020-06-26,Singapore,42955,26,219,0,191,0
2020-06-27,Singapore,43246,26,291,0,202,0
2020-06-28,Singapore,43459,26,213,0,195,0
2020-06-29,Singapore,43661,26,202,0,193,0
2020-06-30,Singapore,43907,26,246,0,211,0
2020-07-01,Singapore,44122,26,215,0,214,0
2020-07-02,Singapore,44310,26,188,0,225,0
2020-07-03,Singapore,44479,26,169,0,218,0
2020-07-04,Singapore,44664,26,185,0,203,0
2020-07-05,Singapore,44800,26,136,0,192,0
2020-07-06,Singapore,44983,26,183,0,189,0
2020-07-07,Singapore,45140,26,157,0,176,0
2020-07-08,Singapore,45298,26,158,0,168,0
2020-07-09,Singapore,45423,26,125,0,159,0
2020-07-10,Singapore,45614,26,191,0,162,0
2020-07-11,Singapore,45783,26,169,0,160,0
2020-07-12,Singapore,45961,26,178,0,166,0
2020-07-13,Singapore,46283,26,322,0,186,0
2020-07-14,Singapore,46630,27,347,1,213,0
2020-07-15,Singapore,46878,27,248,0,226,0
2020-07-16,Singapore,47126,27,248,0,243,0
2020-07-17,Singapore,47453,27,327,0,263,0
2020-07-18,Singapore,47655,27,202,0,267,0
2020-07-19,Singapore,47912,27,257,0,279,0
2020-07-20,Singapore,48035,27,123,0,250,0
2020-07-21,Singapore,48434,27,399,0,258,0
2020-07-22,Singapore,48744,27,310,0,267,0
2020-07-23,Singapore,49098,27,354,0,282,0
2020-07-24,Singapore,49375,27,277,0,275,0
2020-07-25,Singapore,49888,27,513,0,319,0
2020-07-26,Singapore,50369,27,481,0,351,0
2020-07-27,Singapore,50838,27,469,0,400,0
2020-07-28,Singapore,51197,27,359,0,395,0
2020-07-29,Singapore,51531,27,334,0,398,0
2020-07-30,Singapore,51809,27,278,0,387,0
2020-07-31,Singapore,52205,27,396,0,404,0
2020-08-01,Singapore,52512,27,307,0,375,0
2020-08-02,Singapore,52825,27,313,0,351,0
2020-08-03,Singapore,53051,27,226,0,316,0
2020-08-04,Singapore,53346,27,295,0,307,0
2020-08-05,Singapore,54254,27,908,0,389,0
2020-08-06,Singapore,54555,27,301,0,392,0
2020-08-07,Singapore,54797,27,242,0,370,0
2020-08-08,Singapore,54929,27,132,0,345,0
2020-08-09,Singapore,55104,27,175,0,326,0
2020-08-10,Singapore,55292,27,188,0,320,0
2020-08-11,Singapore,55353,27,61,0,287,0
2020-08-12,Singapore,55395,27,42,0,163,0
2020-08-13,Singapore,55497,27,102,0,135,0
2020-08-14,Singapore,55580,27,83,0,112,0
2020-08-15,Singapore,55661,27,81,0,105,0
2020-08-16,Singapore,55747,27,86,0,92,0
2020-08-17,Singapore,55838,27,91,0,78,0
2020-08-18,Singapore,55938,27,100,0,84,0
2020-08-19,Singapore,56031,27,93,0,91,0
2020-08-20,Singapore,56099,27,68,0,86,0
2020-08-21,Singapore,56216,27,117,0,91,0
2020-08-22,Singapore,56266,27,50,0,86,0
2020-08-23,Singapore,56353,27,87,0,87,0
2020-08-24,Singapore,56404,27,51,0,81,0
2020-08-25,Singapore,56435,27,31,0,71,0
2020-08-26,Singapore,56495,27,60,0,66,0
2020-08-27,Singapore,56572,27,77,0,68,0
2020-08-28,Singapore,56666,27,94,0,64,0
2020-08-29,Singapore,56717,27,51,0,64,0
2020-08-30,Singapore,56771,27,54,0,60,0
2020-08-31,Singapore,56812,27,41,0,58,0
2020-09-01,Singapore,56852,27,40,0,60,0
2020-09-02,Singapore,56860,27,8,0,52,0
2020-09-03,Singapore,56908,27,48,0,48,0
2020-09-04,Singapore,56948,27,40,0,40,0
2020-09-05,Singapore,56982,27,34,0,38,0
2020-09-06,Singapore,57022,27,40,0,36,0
2020-09-07,Singapore,57044,27,22,0,33,0
2020-09-08,Singapore,57091,27,47,0,34,0
2020-09-09,Singapore,57166,27,75,0,44,0
2020-09-10,Singapore,57229,27,63,0,46,0
2020-09-11,Singapore,57315,27,86,0,52,0
2020-09-12,Singapore,57357,27,42,0,54,0
2020-09-13,Singapore,57406,27,49,0,55,0
2020-09-14,Singapore,57454,27,48,0,59,0
2020-09-15,Singapore,57488,27,34,0,57,0
2020-09-16,Singapore,57514,27,26,0,50,0
2020-09-17,Singapore,57532,27,18,0,43,0
2020-09-18,Singapore,57543,27,11,0,33,0
2020-09-19,Singapore,57558,27,15,0,29,0
2020-09-20,Singapore,57576,27,18,0,24,0
2020-09-21,Singapore,57606,27,30,0,22,0
2020-09-22,Singapore,57627,27,21,0,20,0
2020-09-23,Singapore,57639,27,12,0,18,0
2020-09-24,Singapore,57654,27,15,0,17,0
2020-09-25,Singapore,57665,27,11,0,17,0
2020-09-26,Singapore,57685,27,20,0,18,0
2020-09-27,Singapore,57700,27,15,0,18,0
2020-09-28,Singapore,57715,27,15,0,16,0
2020-09-29,Singapore,57742,27,27,0,16,0
2020-09-30,Singapore,57765,27,23,0,18,0
2020-10-01,Singapore,57784,27,19,0,19,0
