Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Slovakia,0,0,0,0,0,0
2020-01-23,Slovakia,0,0,0,0,0,0
2020-01-24,Slovakia,0,0,0,0,0,0
2020-01-25,Slovakia,0,0,0,0,0,0
2020-01-26,Slovakia,0,0,0,0,0,0
2020-01-27,Slovakia,0,0,0,0,0,0
2020-01-28,Slovakia,0,0,0,0,0,0
2020-01-29,Slovakia,0,0,0,0,0,0
2020-01-30,Slovakia,0,0,0,0,0,0
2020-01-31,Slovakia,0,0,0,0,0,0
2020-02-01,Slovakia,0,0,0,0,0,0
2020-02-02,Slovakia,0,0,0,0,0,0
2020-02-03,Slovakia,0,0,0,0,0,0
2020-02-04,Slovakia,0,0,0,0,0,0
2020-02-05,Slovakia,0,0,0,0,0,0
2020-02-06,Slovakia,0,0,0,0,0,0
2020-02-07,Slovakia,0,0,0,0,0,0
2020-02-08,Slovakia,0,0,0,0,0,0
2020-02-09,Slovakia,0,0,0,0,0,0
2020-02-10,Slovakia,0,0,0,0,0,0
2020-02-11,Slovakia,0,0,0,0,0,0
2020-02-12,Slovakia,0,0,0,0,0,0
2020-02-13,Slovakia,0,0,0,0,0,0
2020-02-14,Slovakia,0,0,0,0,0,0
2020-02-15,Slovakia,0,0,0,0,0,0
2020-02-16,Slovakia,0,0,0,0,0,0
2020-02-17,Slovakia,0,0,0,0,0,0
2020-02-18,Slovakia,0,0,0,0,0,0
2020-02-19,Slovakia,0,0,0,0,0,0
2020-02-20,Slovakia,0,0,0,0,0,0
2020-02-21,Slovakia,0,0,0,0,0,0
2020-02-22,Slovakia,0,0,0,0,0,0
2020-02-23,Slovakia,0,0,0,0,0,0
2020-02-24,Slovakia,0,0,0,0,0,0
2020-02-25,Slovakia,0,0,0,0,0,0
2020-02-26,Slovakia,0,0,0,0,0,0
2020-02-27,Slovakia,0,0,0,0,0,0
2020-02-28,Slovakia,0,0,0,0,0,0
2020-02-29,Slovakia,0,0,0,0,0,0
2020-03-01,Slovakia,0,0,0,0,0,0
2020-03-02,Slovakia,0,0,0,0,0,0
2020-03-03,Slovakia,0,0,0,0,0,0
2020-03-04,Slovakia,0,0,0,0,0,0
2020-03-05,Slovakia,0,0,0,0,0,0
2020-03-06,Slovakia,1,0,1,0,0,0
2020-03-07,Slovakia,1,0,0,0,0,0
2020-03-08,Slovakia,3,0,2,0,0,0
2020-03-09,Slovakia,5,0,2,0,1,0
2020-03-10,Slovakia,7,0,2,0,1,0
2020-03-11,Slovakia,7,0,0,0,1,0
2020-03-12,Slovakia,10,0,3,0,1,0
2020-03-13,Slovakia,21,0,11,0,3,0
2020-03-14,Slovakia,32,0,11,0,4,0
2020-03-15,Slovakia,44,0,12,0,6,0
2020-03-16,Slovakia,61,0,17,0,8,0
2020-03-17,Slovakia,72,0,11,0,9,0
2020-03-18,Slovakia,96,1,24,1,13,0
2020-03-19,Slovakia,104,1,8,0,13,0
2020-03-20,Slovakia,123,1,19,0,15,0
2020-03-21,Slovakia,137,1,14,0,15,0
2020-03-22,Slovakia,178,0,41,-1,19,0
2020-03-23,Slovakia,185,0,7,0,18,0
2020-03-24,Slovakia,204,0,19,0,19,0
2020-03-25,Slovakia,216,0,12,0,17,0
2020-03-26,Slovakia,226,0,10,0,17,0
2020-03-27,Slovakia,269,0,43,0,21,0
2020-03-28,Slovakia,292,0,23,0,22,0
2020-03-29,Slovakia,314,0,22,0,19,0
2020-03-30,Slovakia,336,0,22,0,22,0
2020-03-31,Slovakia,363,0,27,0,23,0
2020-04-01,Slovakia,400,1,37,1,26,0
2020-04-02,Slovakia,426,1,26,0,29,0
2020-04-03,Slovakia,450,1,24,0,26,0
2020-04-04,Slovakia,471,1,21,0,26,0
2020-04-05,Slovakia,485,1,14,0,24,0
2020-04-06,Slovakia,534,2,49,1,28,0
2020-04-07,Slovakia,581,2,47,0,31,0
2020-04-08,Slovakia,682,2,101,0,40,0
2020-04-09,Slovakia,701,2,19,0,39,0
2020-04-10,Slovakia,715,2,14,0,38,0
2020-04-11,Slovakia,728,2,13,0,37,0
2020-04-12,Slovakia,742,2,14,0,37,0
2020-04-13,Slovakia,769,2,27,0,34,0
2020-04-14,Slovakia,835,2,66,0,36,0
2020-04-15,Slovakia,863,6,28,4,26,1
2020-04-16,Slovakia,977,8,114,2,39,1
2020-04-17,Slovakia,1049,9,72,1,48,1
2020-04-18,Slovakia,1089,11,40,2,52,1
2020-04-19,Slovakia,1161,12,72,1,60,1
2020-04-20,Slovakia,1173,13,12,1,58,2
2020-04-21,Slovakia,1199,14,26,1,52,2
2020-04-22,Slovakia,1244,14,45,0,54,1
2020-04-23,Slovakia,1325,15,81,1,50,1
2020-04-24,Slovakia,1360,17,35,2,44,1
2020-04-25,Slovakia,1373,17,13,0,41,1
2020-04-26,Slovakia,1379,18,6,1,31,1
2020-04-27,Slovakia,1381,18,2,0,30,1
2020-04-28,Slovakia,1384,20,3,2,26,1
2020-04-29,Slovakia,1391,22,7,2,21,1
2020-04-30,Slovakia,1396,23,5,1,10,1
2020-05-01,Slovakia,1403,23,7,0,6,1
2020-05-02,Slovakia,1407,24,4,1,5,1
2020-05-03,Slovakia,1408,24,1,0,4,1
2020-05-04,Slovakia,1413,25,5,1,5,1
2020-05-05,Slovakia,1421,25,8,0,5,1
2020-05-06,Slovakia,1429,25,8,0,5,0
2020-05-07,Slovakia,1445,26,16,1,7,0
2020-05-08,Slovakia,1455,26,10,0,7,0
2020-05-09,Slovakia,1455,26,0,0,7,0
2020-05-10,Slovakia,1457,26,2,0,7,0
2020-05-11,Slovakia,1457,26,0,0,6,0
2020-05-12,Slovakia,1465,27,8,1,6,0
2020-05-13,Slovakia,1469,27,4,0,6,0
2020-05-14,Slovakia,1477,27,8,0,5,0
2020-05-15,Slovakia,1480,27,3,0,4,0
2020-05-16,Slovakia,1493,28,13,1,5,0
2020-05-17,Slovakia,1494,28,1,0,5,0
2020-05-18,Slovakia,1495,28,1,0,5,0
2020-05-19,Slovakia,1495,28,0,0,4,0
2020-05-20,Slovakia,1496,28,1,0,4,0
2020-05-21,Slovakia,1502,28,6,0,4,0
2020-05-22,Slovakia,1503,28,1,0,3,0
2020-05-23,Slovakia,1504,28,1,0,2,0
2020-05-24,Slovakia,1509,28,5,0,2,0
2020-05-25,Slovakia,1511,28,2,0,2,0
2020-05-26,Slovakia,1513,28,2,0,3,0
2020-05-27,Slovakia,1515,28,2,0,3,0
2020-05-28,Slovakia,1520,28,5,0,3,0
2020-05-29,Slovakia,1520,28,0,0,2,0
2020-05-30,Slovakia,1521,28,1,0,2,0
2020-05-31,Slovakia,1521,28,0,0,2,0
2020-06-01,Slovakia,1522,28,1,0,2,0
2020-06-02,Slovakia,1522,28,0,0,1,0
2020-06-03,Slovakia,1525,28,3,0,1,0
2020-06-04,Slovakia,1526,28,1,0,1,0
2020-06-05,Slovakia,1526,28,0,0,1,0
2020-06-06,Slovakia,1528,28,2,0,1,0
2020-06-07,Slovakia,1528,28,0,0,1,0
2020-06-08,Slovakia,1530,28,2,0,1,0
2020-06-09,Slovakia,1531,28,1,0,1,0
2020-06-10,Slovakia,1533,28,2,0,1,0
2020-06-11,Slovakia,1541,28,8,0,2,0
2020-06-12,Slovakia,1542,28,1,0,2,0
2020-06-13,Slovakia,1545,28,3,0,2,0
2020-06-14,Slovakia,1548,28,3,0,3,0
2020-06-15,Slovakia,1552,28,4,0,3,0
2020-06-16,Slovakia,1552,28,0,0,3,0
2020-06-17,Slovakia,1561,28,9,0,4,0
2020-06-18,Slovakia,1562,28,1,0,3,0
2020-06-19,Slovakia,1576,28,14,0,5,0
2020-06-20,Slovakia,1586,28,10,0,6,0
2020-06-21,Slovakia,1587,28,1,0,6,0
2020-06-22,Slovakia,1588,28,1,0,5,0
2020-06-23,Slovakia,1589,28,1,0,5,0
2020-06-24,Slovakia,1607,28,18,0,7,0
2020-06-25,Slovakia,1630,28,23,0,10,0
2020-06-26,Slovakia,1643,28,13,0,10,0
