Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Solomon Islands,0,0,0,0,0,0
2020-01-23,Solomon Islands,0,0,0,0,0,0
2020-01-24,Solomon Islands,0,0,0,0,0,0
2020-01-25,Solomon Islands,0,0,0,0,0,0
2020-01-26,Solomon Islands,0,0,0,0,0,0
2020-01-27,Solomon Islands,0,0,0,0,0,0
2020-01-28,Solomon Islands,0,0,0,0,0,0
2020-01-29,Solomon Islands,0,0,0,0,0,0
2020-01-30,Solomon Islands,0,0,0,0,0,0
2020-01-31,Solomon Islands,0,0,0,0,0,0
2020-02-01,Solomon Islands,0,0,0,0,0,0
2020-02-02,Solomon Islands,0,0,0,0,0,0
2020-02-03,Solomon Islands,0,0,0,0,0,0
2020-02-04,Solomon Islands,0,0,0,0,0,0
2020-02-05,Solomon Islands,0,0,0,0,0,0
2020-02-06,Solomon Islands,0,0,0,0,0,0
2020-02-07,Solomon Islands,0,0,0,0,0,0
2020-02-08,Solomon Islands,0,0,0,0,0,0
2020-02-09,Solomon Islands,0,0,0,0,0,0
2020-02-10,Solomon Islands,0,0,0,0,0,0
2020-02-11,Solomon Islands,0,0,0,0,0,0
2020-02-12,Solomon Islands,0,0,0,0,0,0
2020-02-13,Solomon Islands,0,0,0,0,0,0
2020-02-14,Solomon Islands,0,0,0,0,0,0
2020-02-15,Solomon Islands,0,0,0,0,0,0
2020-02-16,Solomon Islands,0,0,0,0,0,0
2020-02-17,Solomon Islands,0,0,0,0,0,0
2020-02-18,Solomon Islands,0,0,0,0,0,0
2020-02-19,Solomon Islands,0,0,0,0,0,0
2020-02-20,Solomon Islands,0,0,0,0,0,0
2020-02-21,Solomon Islands,0,0,0,0,0,0
2020-02-22,Solomon Islands,0,0,0,0,0,0
2020-02-23,Solomon Islands,0,0,0,0,0,0
2020-02-24,Solomon Islands,0,0,0,0,0,0
2020-02-25,Solomon Islands,0,0,0,0,0,0
2020-02-26,Solomon Islands,0,0,0,0,0,0
2020-02-27,Solomon Islands,0,0,0,0,0,0
2020-02-28,Solomon Islands,0,0,0,0,0,0
2020-02-29,Solomon Islands,0,0,0,0,0,0
2020-03-01,Solomon Islands,0,0,0,0,0,0
2020-03-02,Solomon Islands,0,0,0,0,0,0
2020-03-03,Solomon Islands,0,0,0,0,0,0
2020-03-04,Solomon Islands,0,0,0,0,0,0
2020-03-05,Solomon Islands,0,0,0,0,0,0
2020-03-06,Solomon Islands,0,0,0,0,0,0
2020-03-07,Solomon Islands,0,0,0,0,0,0
2020-03-08,Solomon Islands,0,0,0,0,0,0
2020-03-09,Solomon Islands,0,0,0,0,0,0
2020-03-10,Solomon Islands,0,0,0,0,0,0
2020-03-11,Solomon Islands,0,0,0,0,0,0
2020-03-12,Solomon Islands,0,0,0,0,0,0
2020-03-13,Solomon Islands,0,0,0,0,0,0
2020-03-14,Solomon Islands,0,0,0,0,0,0
2020-03-15,Solomon Islands,0,0,0,0,0,0
2020-03-16,Solomon Islands,0,0,0,0,0,0
2020-03-17,Solomon Islands,0,0,0,0,0,0
2020-03-18,Solomon Islands,0,0,0,0,0,0
2020-03-19,Solomon Islands,0,0,0,0,0,0
2020-03-20,Solomon Islands,0,0,0,0,0,0
2020-03-21,Solomon Islands,0,0,0,0,0,0
2020-03-22,Solomon Islands,0,0,0,0,0,0
2020-03-23,Solomon Islands,0,0,0,0,0,0
2020-03-24,Solomon Islands,0,0,0,0,0,0
2020-03-25,Solomon Islands,0,0,0,0,0,0
2020-03-26,Solomon Islands,0,0,0,0,0,0
2020-03-27,Solomon Islands,0,0,0,0,0,0
