Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Somalia,0,0,0,0,0,0
2020-01-23,Somalia,0,0,0,0,0,0
2020-01-24,Somalia,0,0,0,0,0,0
2020-01-25,Somalia,0,0,0,0,0,0
2020-01-26,Somalia,0,0,0,0,0,0
2020-01-27,Somalia,0,0,0,0,0,0
2020-01-28,Somalia,0,0,0,0,0,0
2020-01-29,Somalia,0,0,0,0,0,0
2020-01-30,Somalia,0,0,0,0,0,0
2020-01-31,Somalia,0,0,0,0,0,0
2020-02-01,Somalia,0,0,0,0,0,0
2020-02-02,Somalia,0,0,0,0,0,0
2020-02-03,Somalia,0,0,0,0,0,0
2020-02-04,Somalia,0,0,0,0,0,0
2020-02-05,Somalia,0,0,0,0,0,0
2020-02-06,Somalia,0,0,0,0,0,0
2020-02-07,Somalia,0,0,0,0,0,0
2020-02-08,Somalia,0,0,0,0,0,0
2020-02-09,Somalia,0,0,0,0,0,0
2020-02-10,Somalia,0,0,0,0,0,0
2020-02-11,Somalia,0,0,0,0,0,0
2020-02-12,Somalia,0,0,0,0,0,0
2020-02-13,Somalia,0,0,0,0,0,0
2020-02-14,Somalia,0,0,0,0,0,0
2020-02-15,Somalia,0,0,0,0,0,0
2020-02-16,Somalia,0,0,0,0,0,0
2020-02-17,Somalia,0,0,0,0,0,0
2020-02-18,Somalia,0,0,0,0,0,0
2020-02-19,Somalia,0,0,0,0,0,0
2020-02-20,Somalia,0,0,0,0,0,0
2020-02-21,Somalia,0,0,0,0,0,0
2020-02-22,Somalia,0,0,0,0,0,0
2020-02-23,Somalia,0,0,0,0,0,0
2020-02-24,Somalia,0,0,0,0,0,0
2020-02-25,Somalia,0,0,0,0,0,0
2020-02-26,Somalia,0,0,0,0,0,0
2020-02-27,Somalia,0,0,0,0,0,0
2020-02-28,Somalia,0,0,0,0,0,0
2020-02-29,Somalia,0,0,0,0,0,0
2020-03-01,Somalia,0,0,0,0,0,0
2020-03-02,Somalia,0,0,0,0,0,0
2020-03-03,Somalia,0,0,0,0,0,0
2020-03-04,Somalia,0,0,0,0,0,0
2020-03-05,Somalia,0,0,0,0,0,0
2020-03-06,Somalia,0,0,0,0,0,0
2020-03-07,Somalia,0,0,0,0,0,0
2020-03-08,Somalia,0,0,0,0,0,0
2020-03-09,Somalia,0,0,0,0,0,0
2020-03-10,Somalia,0,0,0,0,0,0
2020-03-11,Somalia,0,0,0,0,0,0
2020-03-12,Somalia,0,0,0,0,0,0
2020-03-13,Somalia,0,0,0,0,0,0
2020-03-14,Somalia,0,0,0,0,0,0
2020-03-15,Somalia,0,0,0,0,0,0
2020-03-16,Somalia,1,0,1,0,0,0
2020-03-17,Somalia,1,0,0,0,0,0
2020-03-18,Somalia,1,0,0,0,0,0
2020-03-19,Somalia,1,0,0,0,0,0
2020-03-20,Somalia,1,0,0,0,0,0
2020-03-21,Somalia,1,0,0,0,0,0
2020-03-22,Somalia,1,0,0,0,0,0
2020-03-23,Somalia,1,0,0,0,0,0
2020-03-24,Somalia,1,0,0,0,0,0
2020-03-25,Somalia,1,0,0,0,0,0
2020-03-26,Somalia,2,0,1,0,0,0
2020-03-27,Somalia,3,0,1,0,0,0
2020-03-28,Somalia,3,0,0,0,0,0
2020-03-29,Somalia,3,0,0,0,0,0
2020-03-30,Somalia,3,0,0,0,0,0
2020-03-31,Somalia,5,0,2,0,1,0
2020-04-01,Somalia,5,0,0,0,1,0
2020-04-02,Somalia,5,0,0,0,0,0
2020-04-03,Somalia,7,0,2,0,1,0
2020-04-04,Somalia,7,0,0,0,1,0
2020-04-05,Somalia,7,0,0,0,1,0
2020-04-06,Somalia,7,0,0,0,1,0
2020-04-07,Somalia,8,0,1,0,0,0
2020-04-08,Somalia,12,1,4,1,1,0
2020-04-09,Somalia,12,1,0,0,1,0
2020-04-10,Somalia,21,1,9,0,2,0
2020-04-11,Somalia,21,1,0,0,2,0
2020-04-12,Somalia,25,1,4,0,3,0
2020-04-13,Somalia,60,2,35,1,8,0
2020-04-14,Somalia,60,2,0,0,7,0
2020-04-15,Somalia,80,5,20,3,10,1
2020-04-16,Somalia,80,5,0,0,10,1
2020-04-17,Somalia,116,6,36,1,14,1
2020-04-18,Somalia,135,7,19,1,16,1
2020-04-19,Somalia,164,7,29,0,20,1
2020-04-20,Somalia,237,8,73,1,25,1
2020-04-21,Somalia,286,8,49,0,32,1
2020-04-22,Somalia,286,8,0,0,29,0
2020-04-23,Somalia,328,16,42,8,35,2
2020-04-24,Somalia,328,16,0,0,30,1
2020-04-25,Somalia,390,18,62,2,36,2
2020-04-26,Somalia,436,23,46,5,39,2
2020-04-27,Somalia,480,26,44,3,35,3
2020-04-28,Somalia,528,28,48,2,35,3
2020-04-29,Somalia,582,28,54,0,42,3
2020-04-30,Somalia,601,28,19,0,39,2
2020-05-01,Somalia,601,28,0,0,39,2
2020-05-02,Somalia,671,31,70,3,40,2
2020-05-03,Somalia,722,32,51,1,41,1
2020-05-04,Somalia,756,35,34,3,39,1
2020-05-05,Somalia,835,38,79,3,44,1
2020-05-06,Somalia,873,39,38,1,42,2
2020-05-07,Somalia,928,44,55,5,47,2
2020-05-08,Somalia,928,44,0,0,47,2
2020-05-09,Somalia,997,48,69,4,47,2
2020-05-10,Somalia,1054,51,57,3,47,3
2020-05-11,Somalia,1089,52,35,1,48,2
2020-05-12,Somalia,1170,52,81,0,48,2
2020-05-13,Somalia,1219,52,49,0,49,2
2020-05-14,Somalia,1284,53,65,1,51,1
2020-05-15,Somalia,1284,53,0,0,51,1
2020-05-16,Somalia,1357,55,73,2,51,1
2020-05-17,Somalia,1421,56,64,1,52,1
2020-05-18,Somalia,1455,57,34,1,52,1
2020-05-19,Somalia,1502,59,47,2,47,1
2020-05-20,Somalia,1573,61,71,2,51,1
2020-05-21,Somalia,1594,61,21,0,44,1
2020-05-22,Somalia,1594,61,0,0,44,1
2020-05-23,Somalia,1594,61,0,0,34,1
2020-05-24,Somalia,1594,61,0,0,25,1
2020-05-25,Somalia,1689,66,95,5,33,1
2020-05-26,Somalia,1711,67,22,1,30,1
2020-05-27,Somalia,1731,67,20,0,23,1
2020-05-28,Somalia,1828,72,97,5,33,2
2020-05-29,Somalia,1828,72,0,0,33,2
2020-05-30,Somalia,1916,73,88,1,46,2
2020-05-31,Somalia,1976,78,60,5,55,2
2020-06-01,Somalia,2023,79,47,1,48,2
2020-06-02,Somalia,2089,79,66,0,54,2
2020-06-03,Somalia,2146,79,57,0,59,2
2020-06-04,Somalia,2204,79,58,0,54,1
2020-06-05,Somalia,2204,79,0,0,54,1
2020-06-06,Somalia,2289,82,85,3,53,1
2020-06-07,Somalia,2334,83,45,1,51,1
2020-06-08,Somalia,2368,84,34,1,49,1
2020-06-09,Somalia,2416,85,48,1,47,1
2020-06-10,Somalia,2452,85,36,0,44,1
2020-06-11,Somalia,2513,85,61,0,44,1
2020-06-12,Somalia,2513,85,0,0,44,1
2020-06-13,Somalia,2579,87,66,2,41,1
2020-06-14,Somalia,2618,88,39,1,41,1
2020-06-15,Somalia,2642,88,24,0,39,1
2020-06-16,Somalia,2658,88,16,0,35,0
2020-06-17,Somalia,2696,88,38,0,35,0
2020-06-18,Somalia,2719,88,23,0,29,0
2020-06-19,Somalia,2719,88,0,0,29,0
2020-06-20,Somalia,2755,88,36,0,25,0
2020-06-21,Somalia,2779,90,24,2,23,0
2020-06-22,Somalia,2812,90,33,0,24,0
