Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,South Africa,0,0,0,0,0,0
2020-01-23,South Africa,0,0,0,0,0,0
2020-01-24,South Africa,0,0,0,0,0,0
2020-01-25,South Africa,0,0,0,0,0,0
2020-01-26,South Africa,0,0,0,0,0,0
2020-01-27,South Africa,0,0,0,0,0,0
2020-01-28,South Africa,0,0,0,0,0,0
2020-01-29,South Africa,0,0,0,0,0,0
2020-01-30,South Africa,0,0,0,0,0,0
2020-01-31,South Africa,0,0,0,0,0,0
2020-02-01,South Africa,0,0,0,0,0,0
2020-02-02,South Africa,0,0,0,0,0,0
2020-02-03,South Africa,0,0,0,0,0,0
2020-02-04,South Africa,0,0,0,0,0,0
2020-02-05,South Africa,0,0,0,0,0,0
2020-02-06,South Africa,0,0,0,0,0,0
2020-02-07,South Africa,0,0,0,0,0,0
2020-02-08,South Africa,0,0,0,0,0,0
2020-02-09,South Africa,0,0,0,0,0,0
2020-02-10,South Africa,0,0,0,0,0,0
2020-02-11,South Africa,0,0,0,0,0,0
2020-02-12,South Africa,0,0,0,0,0,0
2020-02-13,South Africa,0,0,0,0,0,0
2020-02-14,South Africa,0,0,0,0,0,0
2020-02-15,South Africa,0,0,0,0,0,0
2020-02-16,South Africa,0,0,0,0,0,0
2020-02-17,South Africa,0,0,0,0,0,0
2020-02-18,South Africa,0,0,0,0,0,0
2020-02-19,South Africa,0,0,0,0,0,0
2020-02-20,South Africa,0,0,0,0,0,0
2020-02-21,South Africa,0,0,0,0,0,0
2020-02-22,South Africa,0,0,0,0,0,0
2020-02-23,South Africa,0,0,0,0,0,0
2020-02-24,South Africa,0,0,0,0,0,0
2020-02-25,South Africa,0,0,0,0,0,0
2020-02-26,South Africa,0,0,0,0,0,0
2020-02-27,South Africa,0,0,0,0,0,0
2020-02-28,South Africa,0,0,0,0,0,0
2020-02-29,South Africa,0,0,0,0,0,0
2020-03-01,South Africa,0,0,0,0,0,0
2020-03-02,South Africa,0,0,0,0,0,0
2020-03-03,South Africa,0,0,0,0,0,0
2020-03-04,South Africa,0,0,0,0,0,0
2020-03-05,South Africa,1,0,1,0,0,0
2020-03-06,South Africa,1,0,0,0,0,0
2020-03-07,South Africa,1,0,0,0,0,0
