Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,South Sudan,0,0,0,0,0,0
2020-01-23,South Sudan,0,0,0,0,0,0
2020-01-24,South Sudan,0,0,0,0,0,0
2020-01-25,South Sudan,0,0,0,0,0,0
2020-01-26,South Sudan,0,0,0,0,0,0
2020-01-27,South Sudan,0,0,0,0,0,0
2020-01-28,South Sudan,0,0,0,0,0,0
2020-01-29,South Sudan,0,0,0,0,0,0
2020-01-30,South Sudan,0,0,0,0,0,0
2020-01-31,South Sudan,0,0,0,0,0,0
2020-02-01,South Sudan,0,0,0,0,0,0
2020-02-02,South Sudan,0,0,0,0,0,0
2020-02-03,South Sudan,0,0,0,0,0,0
2020-02-04,South Sudan,0,0,0,0,0,0
2020-02-05,South Sudan,0,0,0,0,0,0
2020-02-06,South Sudan,0,0,0,0,0,0
2020-02-07,South Sudan,0,0,0,0,0,0
2020-02-08,South Sudan,0,0,0,0,0,0
2020-02-09,South Sudan,0,0,0,0,0,0
2020-02-10,South Sudan,0,0,0,0,0,0
2020-02-11,South Sudan,0,0,0,0,0,0
2020-02-12,South Sudan,0,0,0,0,0,0
2020-02-13,South Sudan,0,0,0,0,0,0
2020-02-14,South Sudan,0,0,0,0,0,0
2020-02-15,South Sudan,0,0,0,0,0,0
2020-02-16,South Sudan,0,0,0,0,0,0
2020-02-17,South Sudan,0,0,0,0,0,0
2020-02-18,South Sudan,0,0,0,0,0,0
2020-02-19,South Sudan,0,0,0,0,0,0
2020-02-20,South Sudan,0,0,0,0,0,0
2020-02-21,South Sudan,0,0,0,0,0,0
2020-02-22,South Sudan,0,0,0,0,0,0
2020-02-23,South Sudan,0,0,0,0,0,0
2020-02-24,South Sudan,0,0,0,0,0,0
2020-02-25,South Sudan,0,0,0,0,0,0
2020-02-26,South Sudan,0,0,0,0,0,0
2020-02-27,South Sudan,0,0,0,0,0,0
2020-02-28,South Sudan,0,0,0,0,0,0
2020-02-29,South Sudan,0,0,0,0,0,0
2020-03-01,South Sudan,0,0,0,0,0,0
2020-03-02,South Sudan,0,0,0,0,0,0
2020-03-03,South Sudan,0,0,0,0,0,0
2020-03-04,South Sudan,0,0,0,0,0,0
2020-03-05,South Sudan,0,0,0,0,0,0
2020-03-06,South Sudan,0,0,0,0,0,0
2020-03-07,South Sudan,0,0,0,0,0,0
2020-03-08,South Sudan,0,0,0,0,0,0
2020-03-09,South Sudan,0,0,0,0,0,0
2020-03-10,South Sudan,0,0,0,0,0,0
2020-03-11,South Sudan,0,0,0,0,0,0
2020-03-12,South Sudan,0,0,0,0,0,0
2020-03-13,South Sudan,0,0,0,0,0,0
2020-03-14,South Sudan,0,0,0,0,0,0
2020-03-15,South Sudan,0,0,0,0,0,0
2020-03-16,South Sudan,0,0,0,0,0,0
2020-03-17,South Sudan,0,0,0,0,0,0
2020-03-18,South Sudan,0,0,0,0,0,0
2020-03-19,South Sudan,0,0,0,0,0,0
2020-03-20,South Sudan,0,0,0,0,0,0
2020-03-21,South Sudan,0,0,0,0,0,0
2020-03-22,South Sudan,0,0,0,0,0,0
2020-03-23,South Sudan,0,0,0,0,0,0
2020-03-24,South Sudan,0,0,0,0,0,0
2020-03-25,South Sudan,0,0,0,0,0,0
2020-03-26,South Sudan,0,0,0,0,0,0
2020-03-27,South Sudan,0,0,0,0,0,0
2020-03-28,South Sudan,0,0,0,0,0,0
2020-03-29,South Sudan,0,0,0,0,0,0
2020-03-30,South Sudan,0,0,0,0,0,0
2020-03-31,South Sudan,0,0,0,0,0,0
2020-04-01,South Sudan,0,0,0,0,0,0
2020-04-02,South Sudan,0,0,0,0,0,0
2020-04-03,South Sudan,0,0,0,0,0,0
2020-04-04,South Sudan,0,0,0,0,0,0
2020-04-05,South Sudan,1,0,1,0,0,0
2020-04-06,South Sudan,1,0,0,0,0,0
2020-04-07,South Sudan,2,0,1,0,0,0
2020-04-08,South Sudan,2,0,0,0,0,0
