Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Spain,0,0,0,0,0,0
2020-01-23,Spain,0,0,0,0,0,0
2020-01-24,Spain,0,0,0,0,0,0
2020-01-25,Spain,0,0,0,0,0,0
2020-01-26,Spain,0,0,0,0,0,0
2020-01-27,Spain,0,0,0,0,0,0
2020-01-28,Spain,0,0,0,0,0,0
2020-01-29,Spain,0,0,0,0,0,0
2020-01-30,Spain,0,0,0,0,0,0
2020-01-31,Spain,0,0,0,0,0,0
2020-02-01,Spain,1,0,1,0,0,0
2020-02-02,Spain,1,0,0,0,0,0
2020-02-03,Spain,1,0,0,0,0,0
2020-02-04,Spain,1,0,0,0,0,0
2020-02-05,Spain,1,0,0,0,0,0
2020-02-06,Spain,1,0,0,0,0,0
2020-02-07,Spain,1,0,0,0,0,0
2020-02-08,Spain,1,0,0,0,0,0
2020-02-09,Spain,2,0,1,0,0,0
2020-02-10,Spain,2,0,0,0,0,0
2020-02-11,Spain,2,0,0,0,0,0
2020-02-12,Spain,2,0,0,0,0,0
2020-02-13,Spain,2,0,0,0,0,0
2020-02-14,Spain,2,0,0,0,0,0
2020-02-15,Spain,2,0,0,0,0,0
2020-02-16,Spain,2,0,0,0,0,0
2020-02-17,Spain,2,0,0,0,0,0
2020-02-18,Spain,2,0,0,0,0,0
2020-02-19,Spain,2,0,0,0,0,0
2020-02-20,Spain,2,0,0,0,0,0
2020-02-21,Spain,2,0,0,0,0,0
2020-02-22,Spain,2,0,0,0,0,0
2020-02-23,Spain,2,0,0,0,0,0
2020-02-24,Spain,2,0,0,0,0,0
2020-02-25,Spain,6,0,4,0,1,0
2020-02-26,Spain,13,0,7,0,2,0
2020-02-27,Spain,15,0,2,0,2,0
2020-02-28,Spain,32,0,17,0,4,0
2020-02-29,Spain,45,0,13,0,6,0
2020-03-01,Spain,84,0,39,0,12,0
2020-03-02,Spain,120,0,36,0,17,0
2020-03-03,Spain,165,1,45,1,23,0
2020-03-04,Spain,222,2,57,1,30,0
2020-03-05,Spain,259,3,37,1,35,0
2020-03-06,Spain,400,5,141,2,53,1
2020-03-07,Spain,500,10,100,5,65,1
2020-03-08,Spain,673,17,173,7,84,2
2020-03-09,Spain,1073,28,400,11,136,4
2020-03-10,Spain,1695,35,622,7,219,5
2020-03-11,Spain,2277,54,582,19,294,7
2020-03-12,Spain,2277,55,0,1,288,7
2020-03-13,Spain,5232,133,2955,78,690,18
2020-03-14,Spain,6391,195,1159,62,842,26
2020-03-15,Spain,7798,289,1407,94,1018,39
2020-03-16,Spain,9942,342,2144,53,1267,45
2020-03-17,Spain,11748,533,1806,191,1436,71
2020-03-18,Spain,13910,623,2162,90,1662,81
2020-03-19,Spain,17963,830,4053,207,2241,111
2020-03-20,Spain,20410,1043,2447,213,2168,130
2020-03-21,Spain,25374,1375,4964,332,2712,169
2020-03-22,Spain,28768,1772,3394,397,2996,212
2020-03-23,Spain,35136,2311,6368,539,3599,281
2020-03-24,Spain,39885,2808,4749,497,4020,325
2020-03-25,Spain,49515,3647,9630,839,5086,432
2020-03-26,Spain,57786,4365,8271,718,5689,505
2020-03-27,Spain,65719,5138,7933,773,6473,585
2020-03-28,Spain,73235,5982,7516,844,6837,658
2020-03-29,Spain,80110,6803,6875,821,7335,719
2020-03-30,Spain,87956,7716,7846,913,7546,772
2020-03-31,Spain,95923,8464,7967,748,8005,808
2020-04-01,Spain,104118,9387,8195,923,7800,820
2020-04-02,Spain,112065,10348,7947,961,7754,855
2020-04-03,Spain,119199,11198,7134,850,7640,866
2020-04-04,Spain,126168,11947,6969,749,7562,852
2020-04-05,Spain,131646,12641,5478,694,7362,834
2020-04-06,Spain,136675,13341,5029,700,6960,804
2020-04-07,Spain,141942,14045,5267,704,6574,797
2020-04-08,Spain,148220,14792,6278,747,6300,772
2020-04-09,Spain,153222,15447,5002,655,5880,728
2020-04-10,Spain,158273,16081,5051,634,5582,698
2020-04-11,Spain,163027,16606,4754,525,5266,666
2020-04-12,Spain,166831,17209,3804,603,5026,653
2020-04-13,Spain,170099,17756,3268,547,4775,631
2020-04-14,Spain,172541,18056,2442,300,4371,573
2020-04-15,Spain,177644,18708,5103,652,4203,559
2020-04-16,Spain,184948,19315,7304,607,4532,553
2020-04-17,Spain,190839,20002,5891,687,4652,560
2020-04-18,Spain,191726,20043,887,41,4100,491
2020-04-19,Spain,198674,20453,6948,410,4549,463
2020-04-20,Spain,200210,20852,1536,399,4302,442
2020-04-21,Spain,204178,21282,3968,430,4520,461
2020-04-22,Spain,208389,21717,4211,435,4392,430
2020-04-23,Spain,213024,22157,4635,440,4011,406
2020-04-24,Spain,202990,22524,-10034,367,1736,360
2020-04-25,Spain,205905,22902,2915,378,2026,408
2020-04-26,Spain,207634,23190,1729,288,1280,391
2020-04-27,Spain,209465,23521,1831,331,1322,381
2020-04-28,Spain,210773,23822,1308,301,942,363
2020-04-29,Spain,212917,24275,2144,453,647,365
2020-04-30,Spain,213435,24543,518,268,59,341
2020-05-01,Spain,215216,24543,1781,0,1747,288
2020-05-02,Spain,216582,25100,1366,557,1525,314
2020-05-03,Spain,217466,25264,884,164,1405,296
2020-05-04,Spain,218011,25428,545,164,1221,272
2020-05-05,Spain,219329,25613,1318,185,1222,256
2020-05-06,Spain,220325,25857,996,244,1058,226
2020-05-07,Spain,221447,26070,1122,213,1145,218
2020-05-08,Spain,222857,26299,1410,229,1092,251
2020-05-09,Spain,223578,26478,721,179,999,197
2020-05-10,Spain,224350,26621,772,143,983,194
2020-05-11,Spain,227436,26744,3086,123,1346,188
2020-05-12,Spain,228030,26920,594,176,1243,187
2020-05-13,Spain,228691,27104,661,184,1195,178
2020-05-14,Spain,229540,27321,849,217,1156,179
2020-05-15,Spain,230183,27459,643,138,1047,166
2020-05-16,Spain,230698,27563,515,104,1017,155
2020-05-17,Spain,230698,27563,0,0,907,135
2020-05-18,Spain,231606,27709,908,146,596,138
2020-05-19,Spain,232037,27778,431,69,572,123
2020-05-20,Spain,232555,27888,518,110,552,112
2020-05-21,Spain,233037,27940,482,52,500,88
2020-05-22,Spain,234824,28628,1787,688,663,167
2020-05-23,Spain,235290,28678,466,50,656,159
2020-05-24,Spain,235772,28752,482,74,725,170
2020-05-25,Spain,235400,26834,-372,-1918,542,-125
2020-05-26,Spain,236259,27117,859,283,603,-94
2020-05-27,Spain,236259,27117,0,0,529,-110
2020-05-28,Spain,237906,27119,1647,2,696,-117
2020-05-29,Spain,238564,27121,658,2,534,-215
2020-05-30,Spain,239228,27125,664,4,563,-222
2020-05-31,Spain,239479,27127,251,2,530,-232
2020-06-01,Spain,239638,27127,159,0,605,42
2020-06-02,Spain,239932,27127,294,0,525,1
2020-06-03,Spain,240326,27128,394,1,581,2
2020-06-04,Spain,240660,27133,334,5,393,2
2020-06-05,Spain,240978,27134,318,1,345,2
2020-06-06,Spain,241310,27135,332,1,297,1
2020-06-07,Spain,241550,27136,240,1,296,1
2020-06-08,Spain,241717,27136,167,0,297,1
2020-06-09,Spain,241966,27136,249,0,291,1
2020-06-10,Spain,242280,27136,314,0,279,1
2020-06-11,Spain,242707,27136,427,0,292,0
2020-06-12,Spain,243209,27136,502,0,319,0
2020-06-13,Spain,243605,27136,396,0,328,0
2020-06-14,Spain,243928,27136,323,0,340,0
2020-06-15,Spain,244109,27136,181,0,342,0
2020-06-16,Spain,244328,27136,219,0,337,0
2020-06-17,Spain,244683,27136,355,0,343,0
2020-06-18,Spain,245268,27136,585,0,366,0
2020-06-19,Spain,245575,28315,307,1179,338,168
2020-06-20,Spain,245938,28322,363,7,333,169
2020-06-21,Spain,246272,28323,334,1,335,170
2020-06-22,Spain,246504,28324,232,1,342,170
2020-06-23,Spain,246752,28325,248,1,346,170
2020-06-24,Spain,247086,28327,334,2,343,170
2020-06-25,Spain,247486,28330,400,3,317,171
2020-06-26,Spain,247905,28338,419,8,333,3
2020-06-27,Spain,248469,28341,564,3,362,3
2020-06-28,Spain,248770,28343,301,2,357,3
2020-06-29,Spain,248970,28346,200,3,352,3
2020-06-30,Spain,249271,28355,301,9,360,4
2020-07-01,Spain,249659,28364,388,9,368,5
2020-07-02,Spain,250103,28368,444,4,374,5
2020-07-03,Spain,250545,28385,442,17,377,7
2020-07-04,Spain,250545,28385,0,0,297,6
2020-07-05,Spain,250545,28385,0,0,254,6
2020-07-06,Spain,251789,28388,1244,3,403,6
2020-07-07,Spain,252130,28392,341,4,408,5
2020-07-08,Spain,252513,28396,383,4,408,5
2020-07-09,Spain,253056,28401,543,5,422,5
2020-07-10,Spain,253908,28403,852,2,480,3
2020-07-11,Spain,253908,28403,0,0,480,3
2020-07-12,Spain,253908,28403,0,0,480,3
2020-07-13,Spain,255953,28406,2045,3,595,3
2020-07-14,Spain,256619,28409,666,3,641,2
2020-07-15,Spain,257494,28413,875,4,712,2
2020-07-16,Spain,258855,28416,1361,3,828,2
2020-07-17,Spain,260255,28420,1400,4,907,2
2020-07-18,Spain,260255,28420,0,0,907,2
2020-07-19,Spain,260255,28420,0,0,907,2
2020-07-20,Spain,264836,28422,4581,2,1269,2
2020-07-21,Spain,266194,28424,1358,2,1368,2
2020-07-22,Spain,267551,28426,1357,2,1437,2
2020-07-23,Spain,270166,28429,2615,3,1616,2
2020-07-24,Spain,272421,28432,2255,3,1738,2
2020-07-25,Spain,272421,28432,0,0,1738,2
2020-07-26,Spain,272421,28432,0,0,1738,2
2020-07-27,Spain,278782,28434,6361,2,1992,2
2020-07-28,Spain,280610,28436,1828,2,2059,2
2020-07-29,Spain,282641,28441,2031,5,2156,2
2020-07-30,Spain,285430,28443,2789,2,2181,2
2020-07-31,Spain,288522,28445,3092,2,2300,2
2020-08-01,Spain,288522,28445,0,0,2300,2
2020-08-02,Spain,288522,28445,0,0,2300,2
2020-08-03,Spain,297054,28472,8532,27,2610,5
2020-08-04,Spain,302814,28498,5760,26,3172,9
2020-08-05,Spain,305767,28499,2953,1,3304,8
2020-08-06,Spain,309855,28500,4088,1,3489,8
2020-08-07,Spain,314362,28503,4507,3,3691,8
2020-08-08,Spain,314362,28503,0,0,3691,8
2020-08-09,Spain,314362,28503,0,0,3691,8
2020-08-10,Spain,322980,28576,8618,73,3704,15
2020-08-11,Spain,326612,28581,3632,5,3400,12
2020-08-12,Spain,329784,28579,3172,-2,3431,11
2020-08-13,Spain,337334,28605,7550,26,3926,15
2020-08-14,Spain,342813,28617,5479,12,4064,16
2020-08-15,Spain,342813,28617,0,0,4064,16
