Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Sri Lanka,0,0,0,0,0,0
2020-01-23,Sri Lanka,0,0,0,0,0,0
2020-01-24,Sri Lanka,0,0,0,0,0,0
2020-01-25,Sri Lanka,0,0,0,0,0,0
2020-01-26,Sri Lanka,0,0,0,0,0,0
2020-01-27,Sri Lanka,1,0,1,0,0,0
2020-01-28,Sri Lanka,1,0,0,0,0,0
2020-01-29,Sri Lanka,1,0,0,0,0,0
2020-01-30,Sri Lanka,1,0,0,0,0,0
2020-01-31,Sri Lanka,1,0,0,0,0,0
2020-02-01,Sri Lanka,1,0,0,0,0,0
2020-02-02,Sri Lanka,1,0,0,0,0,0
2020-02-03,Sri Lanka,1,0,0,0,0,0
2020-02-04,Sri Lanka,1,0,0,0,0,0
2020-02-05,Sri Lanka,1,0,0,0,0,0
2020-02-06,Sri Lanka,1,0,0,0,0,0
2020-02-07,Sri Lanka,1,0,0,0,0,0
2020-02-08,Sri Lanka,1,0,0,0,0,0
2020-02-09,Sri Lanka,1,0,0,0,0,0
2020-02-10,Sri Lanka,1,0,0,0,0,0
2020-02-11,Sri Lanka,1,0,0,0,0,0
2020-02-12,Sri Lanka,1,0,0,0,0,0
2020-02-13,Sri Lanka,1,0,0,0,0,0
2020-02-14,Sri Lanka,1,0,0,0,0,0
2020-02-15,Sri Lanka,1,0,0,0,0,0
2020-02-16,Sri Lanka,1,0,0,0,0,0
2020-02-17,Sri Lanka,1,0,0,0,0,0
2020-02-18,Sri Lanka,1,0,0,0,0,0
2020-02-19,Sri Lanka,1,0,0,0,0,0
2020-02-20,Sri Lanka,1,0,0,0,0,0
2020-02-21,Sri Lanka,1,0,0,0,0,0
2020-02-22,Sri Lanka,1,0,0,0,0,0
2020-02-23,Sri Lanka,1,0,0,0,0,0
2020-02-24,Sri Lanka,1,0,0,0,0,0
2020-02-25,Sri Lanka,1,0,0,0,0,0
2020-02-26,Sri Lanka,1,0,0,0,0,0
2020-02-27,Sri Lanka,1,0,0,0,0,0
2020-02-28,Sri Lanka,1,0,0,0,0,0
2020-02-29,Sri Lanka,1,0,0,0,0,0
2020-03-01,Sri Lanka,1,0,0,0,0,0
2020-03-02,Sri Lanka,1,0,0,0,0,0
2020-03-03,Sri Lanka,1,0,0,0,0,0
2020-03-04,Sri Lanka,1,0,0,0,0,0
2020-03-05,Sri Lanka,1,0,0,0,0,0
2020-03-06,Sri Lanka,1,0,0,0,0,0
2020-03-07,Sri Lanka,1,0,0,0,0,0
2020-03-08,Sri Lanka,1,0,0,0,0,0
2020-03-09,Sri Lanka,1,0,0,0,0,0
2020-03-10,Sri Lanka,1,0,0,0,0,0
2020-03-11,Sri Lanka,2,0,1,0,0,0
2020-03-12,Sri Lanka,2,0,0,0,0,0
2020-03-13,Sri Lanka,6,0,4,0,1,0
2020-03-14,Sri Lanka,10,0,4,0,1,0
2020-03-15,Sri Lanka,18,0,8,0,2,0
2020-03-16,Sri Lanka,28,0,10,0,4,0
2020-03-17,Sri Lanka,44,0,16,0,6,0
2020-03-18,Sri Lanka,51,0,7,0,7,0
2020-03-19,Sri Lanka,60,0,9,0,8,0
2020-03-20,Sri Lanka,73,0,13,0,10,0
2020-03-21,Sri Lanka,77,0,4,0,10,0
2020-03-22,Sri Lanka,82,0,5,0,9,0
2020-03-23,Sri Lanka,97,0,15,0,10,0
2020-03-24,Sri Lanka,102,0,5,0,8,0
2020-03-25,Sri Lanka,102,0,0,0,7,0
2020-03-26,Sri Lanka,106,0,4,0,7,0
2020-03-27,Sri Lanka,106,0,0,0,5,0
2020-03-28,Sri Lanka,113,1,7,1,5,0
2020-03-29,Sri Lanka,117,1,4,0,5,0
2020-03-30,Sri Lanka,122,2,5,1,4,0
2020-03-31,Sri Lanka,143,2,21,0,6,0
2020-04-01,Sri Lanka,146,3,3,1,6,0
2020-04-02,Sri Lanka,151,4,5,1,6,1
2020-04-03,Sri Lanka,159,4,8,0,8,1
2020-04-04,Sri Lanka,166,5,7,1,8,1
2020-04-05,Sri Lanka,176,5,10,0,8,1
2020-04-06,Sri Lanka,178,5,2,0,8,0
2020-04-07,Sri Lanka,185,6,7,1,6,1
2020-04-08,Sri Lanka,189,7,4,1,6,1
2020-04-09,Sri Lanka,190,7,1,0,6,0
2020-04-10,Sri Lanka,190,7,0,0,4,0
2020-04-11,Sri Lanka,198,7,8,0,5,0
2020-04-12,Sri Lanka,210,7,12,0,5,0
2020-04-13,Sri Lanka,217,7,7,0,6,0
2020-04-14,Sri Lanka,233,7,16,0,7,0
2020-04-15,Sri Lanka,238,7,5,0,7,0
2020-04-16,Sri Lanka,238,7,0,0,7,0
2020-04-17,Sri Lanka,244,7,6,0,8,0
2020-04-18,Sri Lanka,254,7,10,0,8,0
2020-04-19,Sri Lanka,271,7,17,0,9,0
2020-04-20,Sri Lanka,304,7,33,0,12,0
2020-04-21,Sri Lanka,310,7,6,0,11,0
2020-04-22,Sri Lanka,330,7,20,0,13,0
2020-04-23,Sri Lanka,368,7,38,0,19,0
2020-04-24,Sri Lanka,420,7,52,0,25,0
2020-04-25,Sri Lanka,460,7,40,0,29,0
2020-04-26,Sri Lanka,523,7,63,0,36,0
2020-04-27,Sri Lanka,588,7,65,0,41,0
2020-04-28,Sri Lanka,619,7,31,0,44,0
2020-04-29,Sri Lanka,649,7,30,0,46,0
2020-04-30,Sri Lanka,663,7,14,0,42,0
2020-05-01,Sri Lanka,690,7,27,0,39,0
2020-05-02,Sri Lanka,705,7,15,0,35,0
2020-05-03,Sri Lanka,718,7,13,0,28,0
2020-05-04,Sri Lanka,751,8,33,1,23,0
2020-05-05,Sri Lanka,771,9,20,1,22,0
2020-05-06,Sri Lanka,797,9,26,0,21,0
2020-05-07,Sri Lanka,824,9,27,0,23,0
2020-05-08,Sri Lanka,835,9,11,0,21,0
2020-05-09,Sri Lanka,847,9,12,0,20,0
2020-05-10,Sri Lanka,863,9,16,0,21,0
2020-05-11,Sri Lanka,869,9,6,0,17,0
2020-05-12,Sri Lanka,889,9,20,0,17,0
2020-05-13,Sri Lanka,915,9,26,0,17,0
2020-05-14,Sri Lanka,925,9,10,0,14,0
2020-05-15,Sri Lanka,935,9,10,0,14,0
2020-05-16,Sri Lanka,960,9,25,0,16,0
2020-05-17,Sri Lanka,981,9,21,0,17,0
2020-05-18,Sri Lanka,992,9,11,0,18,0
2020-05-19,Sri Lanka,1027,9,35,0,20,0
2020-05-20,Sri Lanka,1028,9,1,0,16,0
2020-05-21,Sri Lanka,1055,9,27,0,19,0
2020-05-22,Sri Lanka,1068,9,13,0,19,0
2020-05-23,Sri Lanka,1089,9,21,0,18,0
2020-05-24,Sri Lanka,1141,9,52,0,23,0
2020-05-25,Sri Lanka,1182,10,41,1,27,0
2020-05-26,Sri Lanka,1319,10,137,0,42,0
2020-05-27,Sri Lanka,1469,10,150,0,63,0
2020-05-28,Sri Lanka,1530,10,61,0,68,0
2020-05-29,Sri Lanka,1558,10,28,0,70,0
2020-05-30,Sri Lanka,1620,10,62,0,76,0
2020-05-31,Sri Lanka,1633,10,13,0,70,0
2020-06-01,Sri Lanka,1643,11,10,1,66,0
2020-06-02,Sri Lanka,1683,11,40,0,52,0
2020-06-03,Sri Lanka,1749,11,66,0,40,0
2020-06-04,Sri Lanka,1797,11,48,0,38,0
2020-06-05,Sri Lanka,1801,11,4,0,35,0
2020-06-06,Sri Lanka,1814,11,13,0,28,0
2020-06-07,Sri Lanka,1835,11,21,0,29,0
2020-06-08,Sri Lanka,1857,11,22,0,31,0
2020-06-09,Sri Lanka,1859,11,2,0,25,0
2020-06-10,Sri Lanka,1869,11,10,0,17,0
2020-06-11,Sri Lanka,1877,11,8,0,11,0
2020-06-12,Sri Lanka,1880,11,3,0,11,0
2020-06-13,Sri Lanka,1884,11,4,0,10,0
2020-06-14,Sri Lanka,1889,11,5,0,8,0
2020-06-15,Sri Lanka,1905,11,16,0,7,0
2020-06-16,Sri Lanka,1915,11,10,0,8,0
2020-06-17,Sri Lanka,1924,11,9,0,8,0
2020-06-18,Sri Lanka,1947,11,23,0,10,0
2020-06-19,Sri Lanka,1950,11,3,0,10,0
2020-06-20,Sri Lanka,1950,11,0,0,9,0
2020-06-21,Sri Lanka,1950,11,0,0,9,0
2020-06-22,Sri Lanka,1951,11,1,0,7,0
2020-06-23,Sri Lanka,1991,11,40,0,11,0
2020-06-24,Sri Lanka,2001,11,10,0,11,0
2020-06-25,Sri Lanka,2010,11,9,0,9,0
2020-06-26,Sri Lanka,2014,11,4,0,9,0
2020-06-27,Sri Lanka,2033,11,19,0,12,0
2020-06-28,Sri Lanka,2037,11,4,0,12,0
2020-06-29,Sri Lanka,2039,11,2,0,13,0
2020-06-30,Sri Lanka,2047,11,8,0,8,0
2020-07-01,Sri Lanka,2054,11,7,0,8,0
2020-07-02,Sri Lanka,2066,11,12,0,8,0
2020-07-03,Sri Lanka,2069,11,3,0,8,0
2020-07-04,Sri Lanka,2074,11,5,0,6,0
2020-07-05,Sri Lanka,2076,11,2,0,6,0
2020-07-06,Sri Lanka,2077,11,1,0,5,0
2020-07-07,Sri Lanka,2081,11,4,0,5,0
2020-07-08,Sri Lanka,2094,11,13,0,6,0
2020-07-09,Sri Lanka,2154,11,60,0,13,0
2020-07-10,Sri Lanka,2454,11,300,0,55,0
2020-07-11,Sri Lanka,2511,11,57,0,62,0
2020-07-12,Sri Lanka,2617,11,106,0,77,0
2020-07-13,Sri Lanka,2646,11,29,0,81,0
2020-07-14,Sri Lanka,2665,11,19,0,83,0
2020-07-15,Sri Lanka,2671,11,6,0,82,0
2020-07-16,Sri Lanka,2687,11,16,0,76,0
2020-07-17,Sri Lanka,2697,11,10,0,35,0
2020-07-18,Sri Lanka,2703,11,6,0,27,0
2020-07-19,Sri Lanka,2724,11,21,0,15,0
2020-07-20,Sri Lanka,2730,11,6,0,12,0
2020-07-21,Sri Lanka,2730,11,0,0,9,0
2020-07-22,Sri Lanka,2752,11,22,0,12,0
2020-07-23,Sri Lanka,2753,11,1,0,9,0
2020-07-24,Sri Lanka,2764,11,11,0,10,0
2020-07-25,Sri Lanka,2770,11,6,0,10,0
2020-07-26,Sri Lanka,2782,11,12,0,8,0
2020-07-27,Sri Lanka,2805,11,23,0,11,0
2020-07-28,Sri Lanka,2810,11,5,0,11,0
2020-07-29,Sri Lanka,2810,11,0,0,8,0
2020-07-30,Sri Lanka,2814,11,4,0,9,0
2020-07-31,Sri Lanka,2815,11,1,0,7,0
2020-08-01,Sri Lanka,2815,11,0,0,6,0
2020-08-02,Sri Lanka,2823,11,8,0,6,0
2020-08-03,Sri Lanka,2828,11,5,0,3,0
2020-08-04,Sri Lanka,2834,11,6,0,3,0
2020-08-05,Sri Lanka,2839,11,5,0,4,0
2020-08-06,Sri Lanka,2839,11,0,0,4,0
2020-08-07,Sri Lanka,2839,11,0,0,3,0
2020-08-08,Sri Lanka,2841,11,2,0,4,0
2020-08-09,Sri Lanka,2844,11,3,0,3,0
2020-08-10,Sri Lanka,2871,11,27,0,6,0
2020-08-11,Sri Lanka,2880,11,9,0,7,0
2020-08-12,Sri Lanka,2881,11,1,0,6,0
2020-08-13,Sri Lanka,2882,11,1,0,6,0
2020-08-14,Sri Lanka,2886,11,4,0,7,0
2020-08-15,Sri Lanka,2890,11,4,0,7,0
2020-08-16,Sri Lanka,2893,11,3,0,7,0
2020-08-17,Sri Lanka,2900,11,7,0,4,0
2020-08-18,Sri Lanka,2902,11,2,0,3,0
2020-08-19,Sri Lanka,2902,11,0,0,3,0
2020-08-20,Sri Lanka,2918,11,16,0,5,0
2020-08-21,Sri Lanka,2941,11,23,0,8,0
2020-08-22,Sri Lanka,2947,12,6,1,8,0
2020-08-23,Sri Lanka,2953,12,6,0,9,0
