Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Sudan,0,0,0,0,0,0
2020-01-23,Sudan,0,0,0,0,0,0
2020-01-24,Sudan,0,0,0,0,0,0
2020-01-25,Sudan,0,0,0,0,0,0
2020-01-26,Sudan,0,0,0,0,0,0
2020-01-27,Sudan,0,0,0,0,0,0
2020-01-28,Sudan,0,0,0,0,0,0
2020-01-29,Sudan,0,0,0,0,0,0
2020-01-30,Sudan,0,0,0,0,0,0
2020-01-31,Sudan,0,0,0,0,0,0
2020-02-01,Sudan,0,0,0,0,0,0
2020-02-02,Sudan,0,0,0,0,0,0
2020-02-03,Sudan,0,0,0,0,0,0
2020-02-04,Sudan,0,0,0,0,0,0
2020-02-05,Sudan,0,0,0,0,0,0
2020-02-06,Sudan,0,0,0,0,0,0
2020-02-07,Sudan,0,0,0,0,0,0
2020-02-08,Sudan,0,0,0,0,0,0
2020-02-09,Sudan,0,0,0,0,0,0
2020-02-10,Sudan,0,0,0,0,0,0
2020-02-11,Sudan,0,0,0,0,0,0
2020-02-12,Sudan,0,0,0,0,0,0
2020-02-13,Sudan,0,0,0,0,0,0
2020-02-14,Sudan,0,0,0,0,0,0
2020-02-15,Sudan,0,0,0,0,0,0
2020-02-16,Sudan,0,0,0,0,0,0
2020-02-17,Sudan,0,0,0,0,0,0
2020-02-18,Sudan,0,0,0,0,0,0
2020-02-19,Sudan,0,0,0,0,0,0
2020-02-20,Sudan,0,0,0,0,0,0
2020-02-21,Sudan,0,0,0,0,0,0
2020-02-22,Sudan,0,0,0,0,0,0
2020-02-23,Sudan,0,0,0,0,0,0
2020-02-24,Sudan,0,0,0,0,0,0
2020-02-25,Sudan,0,0,0,0,0,0
2020-02-26,Sudan,0,0,0,0,0,0
2020-02-27,Sudan,0,0,0,0,0,0
2020-02-28,Sudan,0,0,0,0,0,0
2020-02-29,Sudan,0,0,0,0,0,0
2020-03-01,Sudan,0,0,0,0,0,0
2020-03-02,Sudan,0,0,0,0,0,0
2020-03-03,Sudan,0,0,0,0,0,0
2020-03-04,Sudan,0,0,0,0,0,0
2020-03-05,Sudan,0,0,0,0,0,0
2020-03-06,Sudan,0,0,0,0,0,0
2020-03-07,Sudan,0,0,0,0,0,0
2020-03-08,Sudan,0,0,0,0,0,0
2020-03-09,Sudan,0,0,0,0,0,0
2020-03-10,Sudan,0,0,0,0,0,0
2020-03-11,Sudan,0,0,0,0,0,0
2020-03-12,Sudan,0,0,0,0,0,0
2020-03-13,Sudan,0,1,0,1,0,0
2020-03-14,Sudan,1,1,1,0,0,0
2020-03-15,Sudan,1,1,0,0,0,0
2020-03-16,Sudan,1,1,0,0,0,0
2020-03-17,Sudan,1,1,0,0,0,0
2020-03-18,Sudan,1,1,0,0,0,0
2020-03-19,Sudan,1,1,0,0,0,0
2020-03-20,Sudan,1,1,0,0,0,0
2020-03-21,Sudan,2,1,1,0,0,0
2020-03-22,Sudan,2,1,0,0,0,0
2020-03-23,Sudan,2,1,0,0,0,0
2020-03-24,Sudan,3,1,1,0,0,0
2020-03-25,Sudan,3,1,0,0,0,0
2020-03-26,Sudan,3,1,0,0,0,0
2020-03-27,Sudan,3,1,0,0,0,0
2020-03-28,Sudan,5,1,2,0,0,0
2020-03-29,Sudan,5,1,0,0,0,0
2020-03-30,Sudan,6,2,1,1,1,0
2020-03-31,Sudan,7,2,1,0,1,0
2020-04-01,Sudan,7,2,0,0,1,0
2020-04-02,Sudan,7,2,0,0,1,0
2020-04-03,Sudan,10,2,3,0,1,0
2020-04-04,Sudan,10,2,0,0,1,0
2020-04-05,Sudan,12,2,2,0,1,0
2020-04-06,Sudan,12,2,0,0,1,0
2020-04-07,Sudan,14,2,2,0,1,0
2020-04-08,Sudan,14,2,0,0,1,0
2020-04-09,Sudan,14,2,0,0,1,0
2020-04-10,Sudan,15,2,1,0,1,0
2020-04-11,Sudan,19,2,4,0,1,0
2020-04-12,Sudan,19,2,0,0,1,0
2020-04-13,Sudan,19,4,0,2,1,0
2020-04-14,Sudan,29,5,10,1,2,0
2020-04-15,Sudan,32,5,3,0,3,0
