Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Suriname,0,0,0,0,0,0
2020-01-23,Suriname,0,0,0,0,0,0
2020-01-24,Suriname,0,0,0,0,0,0
2020-01-25,Suriname,0,0,0,0,0,0
2020-01-26,Suriname,0,0,0,0,0,0
2020-01-27,Suriname,0,0,0,0,0,0
2020-01-28,Suriname,0,0,0,0,0,0
2020-01-29,Suriname,0,0,0,0,0,0
2020-01-30,Suriname,0,0,0,0,0,0
2020-01-31,Suriname,0,0,0,0,0,0
2020-02-01,Suriname,0,0,0,0,0,0
2020-02-02,Suriname,0,0,0,0,0,0
2020-02-03,Suriname,0,0,0,0,0,0
2020-02-04,Suriname,0,0,0,0,0,0
2020-02-05,Suriname,0,0,0,0,0,0
2020-02-06,Suriname,0,0,0,0,0,0
2020-02-07,Suriname,0,0,0,0,0,0
2020-02-08,Suriname,0,0,0,0,0,0
2020-02-09,Suriname,0,0,0,0,0,0
2020-02-10,Suriname,0,0,0,0,0,0
2020-02-11,Suriname,0,0,0,0,0,0
2020-02-12,Suriname,0,0,0,0,0,0
2020-02-13,Suriname,0,0,0,0,0,0
2020-02-14,Suriname,0,0,0,0,0,0
2020-02-15,Suriname,0,0,0,0,0,0
2020-02-16,Suriname,0,0,0,0,0,0
2020-02-17,Suriname,0,0,0,0,0,0
2020-02-18,Suriname,0,0,0,0,0,0
2020-02-19,Suriname,0,0,0,0,0,0
2020-02-20,Suriname,0,0,0,0,0,0
2020-02-21,Suriname,0,0,0,0,0,0
2020-02-22,Suriname,0,0,0,0,0,0
2020-02-23,Suriname,0,0,0,0,0,0
2020-02-24,Suriname,0,0,0,0,0,0
2020-02-25,Suriname,0,0,0,0,0,0
2020-02-26,Suriname,0,0,0,0,0,0
2020-02-27,Suriname,0,0,0,0,0,0
2020-02-28,Suriname,0,0,0,0,0,0
2020-02-29,Suriname,0,0,0,0,0,0
2020-03-01,Suriname,0,0,0,0,0,0
2020-03-02,Suriname,0,0,0,0,0,0
2020-03-03,Suriname,0,0,0,0,0,0
2020-03-04,Suriname,0,0,0,0,0,0
2020-03-05,Suriname,0,0,0,0,0,0
2020-03-06,Suriname,0,0,0,0,0,0
2020-03-07,Suriname,0,0,0,0,0,0
2020-03-08,Suriname,0,0,0,0,0,0
2020-03-09,Suriname,0,0,0,0,0,0
2020-03-10,Suriname,0,0,0,0,0,0
2020-03-11,Suriname,0,0,0,0,0,0
2020-03-12,Suriname,0,0,0,0,0,0
2020-03-13,Suriname,0,0,0,0,0,0
2020-03-14,Suriname,1,0,1,0,0,0
2020-03-15,Suriname,1,0,0,0,0,0
2020-03-16,Suriname,1,0,0,0,0,0
2020-03-17,Suriname,1,0,0,0,0,0
2020-03-18,Suriname,1,0,0,0,0,0
