Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Sweden,0,0,0,0,0,0
2020-01-23,Sweden,0,0,0,0,0,0
2020-01-24,Sweden,0,0,0,0,0,0
2020-01-25,Sweden,0,0,0,0,0,0
2020-01-26,Sweden,0,0,0,0,0,0
2020-01-27,Sweden,0,0,0,0,0,0
2020-01-28,Sweden,0,0,0,0,0,0
2020-01-29,Sweden,0,0,0,0,0,0
2020-01-30,Sweden,0,0,0,0,0,0
2020-01-31,Sweden,0,0,0,0,0,0
2020-02-01,Sweden,1,0,1,0,0,0
2020-02-02,Sweden,1,0,0,0,0,0
2020-02-03,Sweden,1,0,0,0,0,0
2020-02-04,Sweden,1,0,0,0,0,0
2020-02-05,Sweden,1,0,0,0,0,0
2020-02-06,Sweden,1,0,0,0,0,0
2020-02-07,Sweden,1,0,0,0,0,0
2020-02-08,Sweden,1,0,0,0,0,0
2020-02-09,Sweden,1,0,0,0,0,0
2020-02-10,Sweden,1,0,0,0,0,0
2020-02-11,Sweden,1,0,0,0,0,0
2020-02-12,Sweden,1,0,0,0,0,0
2020-02-13,Sweden,1,0,0,0,0,0
2020-02-14,Sweden,1,0,0,0,0,0
2020-02-15,Sweden,1,0,0,0,0,0
2020-02-16,Sweden,1,0,0,0,0,0
2020-02-17,Sweden,1,0,0,0,0,0
2020-02-18,Sweden,1,0,0,0,0,0
2020-02-19,Sweden,1,0,0,0,0,0
2020-02-20,Sweden,1,0,0,0,0,0
2020-02-21,Sweden,1,0,0,0,0,0
2020-02-22,Sweden,1,0,0,0,0,0
2020-02-23,Sweden,1,0,0,0,0,0
2020-02-24,Sweden,1,0,0,0,0,0
2020-02-25,Sweden,1,0,0,0,0,0
2020-02-26,Sweden,2,0,1,0,0,0
2020-02-27,Sweden,3,0,1,0,0,0
2020-02-28,Sweden,11,0,8,0,1,0
2020-02-29,Sweden,14,0,3,0,2,0
2020-03-01,Sweden,14,0,0,0,2,0
2020-03-02,Sweden,19,0,5,0,3,0
2020-03-03,Sweden,32,0,13,0,4,0
2020-03-04,Sweden,62,0,30,0,9,0
2020-03-05,Sweden,87,0,25,0,12,0
2020-03-06,Sweden,146,0,59,0,19,0
2020-03-07,Sweden,179,0,33,0,24,0
2020-03-08,Sweden,225,0,46,0,30,0
2020-03-09,Sweden,326,0,101,0,44,0
2020-03-10,Sweden,424,1,98,1,56,0
2020-03-11,Sweden,620,1,196,0,80,0
2020-03-12,Sweden,771,2,151,1,98,0
2020-03-13,Sweden,923,3,152,1,111,0
2020-03-14,Sweden,994,5,71,2,116,1
2020-03-15,Sweden,1063,7,69,2,120,1
2020-03-16,Sweden,1146,8,83,1,117,1
2020-03-17,Sweden,1265,14,119,6,120,2
2020-03-18,Sweden,1410,21,145,7,113,3
2020-03-19,Sweden,1553,30,143,9,112,4
2020-03-20,Sweden,1733,38,180,8,116,5
2020-03-21,Sweden,1868,49,135,11,125,6
2020-03-22,Sweden,1986,60,118,11,132,8
2020-03-23,Sweden,2168,81,182,21,146,10
2020-03-24,Sweden,2398,103,230,22,162,13
2020-03-25,Sweden,2712,134,314,31,186,16
2020-03-26,Sweden,2998,166,286,32,206,19
2020-03-27,Sweden,3363,201,365,35,233,23
2020-03-28,Sweden,3663,239,300,38,256,27
2020-03-29,Sweden,3943,284,280,45,280,32
2020-03-30,Sweden,4359,332,416,48,313,36
2020-03-31,Sweden,4834,385,475,53,348,40
2020-04-01,Sweden,5320,455,486,70,373,46
2020-04-02,Sweden,5874,535,554,80,411,53
2020-04-03,Sweden,6475,605,601,70,445,58
2020-04-04,Sweden,6832,373,357,-232,453,19
2020-04-05,Sweden,7172,401,340,28,461,17
2020-04-06,Sweden,7561,477,389,76,457,21
2020-04-07,Sweden,8299,591,738,114,495,29
2020-04-08,Sweden,8954,687,655,96,519,33
2020-04-09,Sweden,9599,793,645,106,532,37
2020-04-10,Sweden,10053,870,454,77,511,38
2020-04-11,Sweden,10448,887,395,17,517,73
2020-04-12,Sweden,10912,899,464,12,534,71
2020-04-13,Sweden,11349,919,437,20,541,63
2020-04-14,Sweden,11828,1033,479,114,504,63
2020-04-15,Sweden,12432,1203,604,170,497,74
2020-04-16,Sweden,13055,1333,623,130,494,77
2020-04-17,Sweden,13743,1400,688,67,527,76
2020-04-18,Sweden,14275,1511,532,111,547,89
2020-04-19,Sweden,14663,1540,388,29,536,92
2020-04-20,Sweden,15124,1580,461,40,539,94
2020-04-21,Sweden,15831,1765,707,185,572,105
2020-04-22,Sweden,16553,1937,722,172,589,105
2020-04-23,Sweden,17311,2021,758,84,608,98
2020-04-24,Sweden,18090,2152,779,131,621,107
2020-04-25,Sweden,18563,2192,473,40,613,97
2020-04-26,Sweden,18863,2194,300,2,600,93
2020-04-27,Sweden,19426,2274,563,80,615,99
2020-04-28,Sweden,20168,2355,742,81,620,84
2020-04-29,Sweden,20966,2462,798,107,630,75
2020-04-30,Sweden,21601,2586,635,124,613,81
2020-05-01,Sweden,22133,2653,532,67,578,72
2020-05-02,Sweden,22432,2669,299,16,553,68
2020-05-03,Sweden,22693,2679,261,10,547,69
2020-05-04,Sweden,23169,2769,476,90,535,71
2020-05-05,Sweden,23826,2854,657,85,523,71
2020-05-06,Sweden,24572,2941,746,87,515,68
2020-05-07,Sweden,25359,3040,787,99,537,65
