Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Switzerland,0,0,0,0,0,0
2020-01-23,Switzerland,0,0,0,0,0,0
2020-01-24,Switzerland,0,0,0,0,0,0
2020-01-25,Switzerland,0,0,0,0,0,0
2020-01-26,Switzerland,0,0,0,0,0,0
2020-01-27,Switzerland,0,0,0,0,0,0
2020-01-28,Switzerland,0,0,0,0,0,0
2020-01-29,Switzerland,0,0,0,0,0,0
2020-01-30,Switzerland,0,0,0,0,0,0
2020-01-31,Switzerland,0,0,0,0,0,0
2020-02-01,Switzerland,0,0,0,0,0,0
2020-02-02,Switzerland,0,0,0,0,0,0
2020-02-03,Switzerland,0,0,0,0,0,0
2020-02-04,Switzerland,0,0,0,0,0,0
2020-02-05,Switzerland,0,0,0,0,0,0
2020-02-06,Switzerland,0,0,0,0,0,0
2020-02-07,Switzerland,0,0,0,0,0,0
2020-02-08,Switzerland,0,0,0,0,0,0
2020-02-09,Switzerland,0,0,0,0,0,0
2020-02-10,Switzerland,0,0,0,0,0,0
2020-02-11,Switzerland,0,0,0,0,0,0
2020-02-12,Switzerland,0,0,0,0,0,0
2020-02-13,Switzerland,0,0,0,0,0,0
2020-02-14,Switzerland,0,0,0,0,0,0
2020-02-15,Switzerland,0,0,0,0,0,0
2020-02-16,Switzerland,0,0,0,0,0,0
2020-02-17,Switzerland,0,0,0,0,0,0
2020-02-18,Switzerland,0,0,0,0,0,0
2020-02-19,Switzerland,0,0,0,0,0,0
2020-02-20,Switzerland,0,0,0,0,0,0
2020-02-21,Switzerland,0,0,0,0,0,0
2020-02-22,Switzerland,0,0,0,0,0,0
2020-02-23,Switzerland,0,0,0,0,0,0
2020-02-24,Switzerland,0,0,0,0,0,0
2020-02-25,Switzerland,1,0,1,0,0,0
2020-02-26,Switzerland,1,0,0,0,0,0
2020-02-27,Switzerland,8,0,7,0,1,0
2020-02-28,Switzerland,8,0,0,0,1,0
2020-02-29,Switzerland,18,0,10,0,3,0
2020-03-01,Switzerland,27,0,9,0,4,0
2020-03-02,Switzerland,42,0,15,0,6,0
2020-03-03,Switzerland,56,0,14,0,8,0
2020-03-04,Switzerland,90,0,34,0,13,0
2020-03-05,Switzerland,114,0,24,0,15,0
2020-03-06,Switzerland,214,1,100,1,29,0
2020-03-07,Switzerland,268,1,54,0,36,0
2020-03-08,Switzerland,337,2,69,1,44,0
2020-03-09,Switzerland,374,2,37,0,47,0
2020-03-10,Switzerland,491,5,117,3,62,1
2020-03-11,Switzerland,652,7,161,2,80,1
2020-03-12,Switzerland,652,10,0,3,77,1
2020-03-13,Switzerland,1139,11,487,1,132,1
2020-03-14,Switzerland,1359,14,220,3,156,2
2020-03-15,Switzerland,2200,22,841,8,266,3
2020-03-16,Switzerland,2200,33,0,11,261,4
2020-03-17,Switzerland,2700,40,500,7,316,5
2020-03-18,Switzerland,3028,48,328,8,339,6
2020-03-19,Switzerland,4075,58,1047,10,489,7
2020-03-20,Switzerland,5294,78,1219,20,594,10
2020-03-21,Switzerland,6575,98,1281,20,745,12
2020-03-22,Switzerland,7474,113,899,15,753,13
2020-03-23,Switzerland,8795,141,1321,28,942,15
2020-03-24,Switzerland,9877,161,1082,20,1025,17
2020-03-25,Switzerland,10897,196,1020,35,1124,21
2020-03-26,Switzerland,11811,238,914,42,1105,26
2020-03-27,Switzerland,12928,273,1117,35,1091,28
2020-03-28,Switzerland,14076,329,1148,56,1072,33
2020-03-29,Switzerland,14829,376,753,47,1051,38
2020-03-30,Switzerland,15922,434,1093,58,1018,42
2020-03-31,Switzerland,16605,485,683,51,961,46
2020-04-01,Switzerland,17768,546,1163,61,982,50
2020-04-02,Switzerland,18827,605,1059,59,1002,52
2020-04-03,Switzerland,19606,660,779,55,954,55
2020-04-04,Switzerland,20505,719,899,59,918,56
2020-04-05,Switzerland,21100,771,595,52,896,56
2020-04-06,Switzerland,21657,823,557,52,819,56
2020-04-07,Switzerland,22253,882,596,59,807,57
2020-04-08,Switzerland,23280,946,1027,64,787,57
2020-04-09,Switzerland,24051,991,771,45,746,55
2020-04-10,Switzerland,24551,1046,500,55,706,55
2020-04-11,Switzerland,25107,1087,556,41,657,53
2020-04-12,Switzerland,25415,1141,308,54,616,53
2020-04-13,Switzerland,25688,1173,273,32,576,50
2020-04-14,Switzerland,25936,1209,248,36,526,47
2020-04-15,Switzerland,26336,1256,400,47,437,44
2020-04-16,Switzerland,26732,1298,396,42,383,44
2020-04-17,Switzerland,27078,1330,346,32,361,41
2020-04-18,Switzerland,27404,1366,326,36,328,40
2020-04-19,Switzerland,27740,1391,336,25,332,36
2020-04-20,Switzerland,27944,1432,204,41,322,37
2020-04-21,Switzerland,28063,1469,119,37,304,37
2020-04-22,Switzerland,28268,1497,205,28,276,34
2020-04-23,Switzerland,28496,1531,228,34,252,33
2020-04-24,Switzerland,28677,1554,181,23,228,32
2020-04-25,Switzerland,28894,1581,217,27,213,31
2020-04-26,Switzerland,29061,1594,167,13,189,29
2020-04-27,Switzerland,29164,1614,103,20,174,26
2020-04-28,Switzerland,29264,1637,100,23,172,24
2020-04-29,Switzerland,29407,1649,143,12,163,22
2020-04-30,Switzerland,29586,1665,179,16,156,19
2020-05-01,Switzerland,29705,1679,119,14,147,18
2020-05-02,Switzerland,29817,1688,112,9,132,15
2020-05-03,Switzerland,29905,1695,88,7,121,14
2020-05-04,Switzerland,29981,1702,76,7,117,13
2020-05-05,Switzerland,30009,1714,28,12,106,11
2020-05-06,Switzerland,30060,1719,51,5,93,10
2020-05-07,Switzerland,30126,1730,66,11,77,9
2020-05-08,Switzerland,30207,1738,81,8,72,8
2020-05-09,Switzerland,30251,1745,44,7,62,8
2020-05-10,Switzerland,30305,1754,54,9,57,8
2020-05-11,Switzerland,30344,1757,39,3,52,8
2020-05-12,Switzerland,30380,1758,36,1,53,6
2020-05-13,Switzerland,30413,1761,33,3,50,6
2020-05-14,Switzerland,30463,1763,50,2,48,5
2020-05-15,Switzerland,30514,1767,51,4,44,4
2020-05-16,Switzerland,30572,1768,58,1,46,3
2020-05-17,Switzerland,30587,1772,15,4,40,3
2020-05-18,Switzerland,30597,1778,10,6,36,3
2020-05-19,Switzerland,30618,1781,21,3,34,3
2020-05-20,Switzerland,30658,1781,40,0,35,3
2020-05-21,Switzerland,30694,1786,36,5,33,3
2020-05-22,Switzerland,30707,1788,13,2,28,3
2020-05-23,Switzerland,30725,1789,18,1,22,3
2020-05-24,Switzerland,30736,1790,11,1,21,3
2020-05-25,Switzerland,30746,1793,10,3,21,2
2020-05-26,Switzerland,30761,1795,15,2,20,2
2020-05-27,Switzerland,30776,1796,15,1,17,2
2020-05-28,Switzerland,30796,1796,20,0,15,1
2020-05-29,Switzerland,30828,1796,32,0,17,1
2020-05-30,Switzerland,30845,1796,17,0,17,1
2020-05-31,Switzerland,30862,1796,17,0,18,1
2020-06-01,Switzerland,30871,1796,9,0,18,0
2020-06-02,Switzerland,30874,1796,3,0,16,0
2020-06-03,Switzerland,30893,1796,19,0,17,0
2020-06-04,Switzerland,30913,1796,20,0,17,0
2020-06-05,Switzerland,30936,1796,23,0,15,0
2020-06-06,Switzerland,30956,1796,20,0,16,0
2020-06-07,Switzerland,30965,1798,9,2,15,0
2020-06-08,Switzerland,30972,1799,7,1,14,0
2020-06-09,Switzerland,30988,1799,16,0,16,0
2020-06-10,Switzerland,31011,1800,23,1,17,1
2020-06-11,Switzerland,31044,1800,33,0,19,1
2020-06-12,Switzerland,31063,1802,19,2,18,1
2020-06-13,Switzerland,31094,1802,31,0,20,1
2020-06-14,Switzerland,31117,1802,23,0,22,1
2020-06-15,Switzerland,31131,1802,14,0,23,0
2020-06-16,Switzerland,31154,1803,23,1,24,1
2020-06-17,Switzerland,31187,1805,33,2,25,1
2020-06-18,Switzerland,31200,1805,13,0,22,1
2020-06-19,Switzerland,31235,1805,35,0,25,0
2020-06-20,Switzerland,31243,1805,8,0,21,0
2020-06-21,Switzerland,31292,1806,49,1,25,1
2020-06-22,Switzerland,31310,1808,18,2,26,1
2020-06-23,Switzerland,31332,1808,22,0,25,1
2020-06-24,Switzerland,31376,1808,44,0,27,0
2020-06-25,Switzerland,31428,1808,52,0,33,0
2020-06-26,Switzerland,31486,1808,58,0,36,0
2020-06-27,Switzerland,31555,1808,69,0,45,0
2020-06-28,Switzerland,31617,1808,62,0,46,0
2020-06-29,Switzerland,31652,1809,35,1,49,0
2020-06-30,Switzerland,31714,1809,62,0,55,0
2020-07-01,Switzerland,31851,1810,137,1,68,0
2020-07-02,Switzerland,31967,1810,116,0,77,0
2020-07-03,Switzerland,32101,1810,134,0,88,0
2020-07-04,Switzerland,32198,1810,97,0,92,0
2020-07-05,Switzerland,32268,1810,70,0,93,0
2020-07-06,Switzerland,32315,1811,47,1,95,0
2020-07-07,Switzerland,32369,1811,54,0,94,0
2020-07-08,Switzerland,32498,1813,129,2,92,0
2020-07-09,Switzerland,32586,1813,88,0,88,0
2020-07-10,Switzerland,32690,1813,104,0,84,0
2020-07-11,Switzerland,32817,1813,127,0,88,0
2020-07-12,Switzerland,32883,1813,66,0,88,0
2020-07-13,Switzerland,32946,1813,63,0,90,0
2020-07-14,Switzerland,33016,1813,70,0,92,0
2020-07-15,Switzerland,33148,1814,132,1,93,0
2020-07-16,Switzerland,33290,1815,142,1,101,0
2020-07-17,Switzerland,33382,1815,92,0,99,0
2020-07-18,Switzerland,33492,1815,110,0,96,0
2020-07-19,Switzerland,33591,1815,99,0,101,0
2020-07-20,Switzerland,33634,1818,43,3,98,1
2020-07-21,Switzerland,33742,1819,108,1,104,1
2020-07-22,Switzerland,33883,1819,141,0,105,1
2020-07-23,Switzerland,34000,1821,117,2,101,1
2020-07-24,Switzerland,34154,1822,154,1,110,1
2020-07-25,Switzerland,34302,1822,148,0,116,1
2020-07-26,Switzerland,34412,1823,110,1,117,1
2020-07-27,Switzerland,34477,1824,65,1,120,1
2020-07-28,Switzerland,34609,1825,132,1,124,1
2020-07-29,Switzerland,34802,1825,193,0,131,1
2020-07-30,Switzerland,35022,1825,220,0,146,1
2020-07-31,Switzerland,35232,1827,210,2,154,1
2020-08-01,Switzerland,35412,1828,180,1,159,1
