Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Syria,0,0,0,0,0,0
2020-01-23,Syria,0,0,0,0,0,0
2020-01-24,Syria,0,0,0,0,0,0
2020-01-25,Syria,0,0,0,0,0,0
2020-01-26,Syria,0,0,0,0,0,0
2020-01-27,Syria,0,0,0,0,0,0
2020-01-28,Syria,0,0,0,0,0,0
2020-01-29,Syria,0,0,0,0,0,0
2020-01-30,Syria,0,0,0,0,0,0
2020-01-31,Syria,0,0,0,0,0,0
2020-02-01,Syria,0,0,0,0,0,0
2020-02-02,Syria,0,0,0,0,0,0
2020-02-03,Syria,0,0,0,0,0,0
2020-02-04,Syria,0,0,0,0,0,0
2020-02-05,Syria,0,0,0,0,0,0
2020-02-06,Syria,0,0,0,0,0,0
2020-02-07,Syria,0,0,0,0,0,0
2020-02-08,Syria,0,0,0,0,0,0
2020-02-09,Syria,0,0,0,0,0,0
2020-02-10,Syria,0,0,0,0,0,0
2020-02-11,Syria,0,0,0,0,0,0
2020-02-12,Syria,0,0,0,0,0,0
2020-02-13,Syria,0,0,0,0,0,0
2020-02-14,Syria,0,0,0,0,0,0
2020-02-15,Syria,0,0,0,0,0,0
2020-02-16,Syria,0,0,0,0,0,0
2020-02-17,Syria,0,0,0,0,0,0
2020-02-18,Syria,0,0,0,0,0,0
2020-02-19,Syria,0,0,0,0,0,0
2020-02-20,Syria,0,0,0,0,0,0
2020-02-21,Syria,0,0,0,0,0,0
2020-02-22,Syria,0,0,0,0,0,0
2020-02-23,Syria,0,0,0,0,0,0
2020-02-24,Syria,0,0,0,0,0,0
2020-02-25,Syria,0,0,0,0,0,0
2020-02-26,Syria,0,0,0,0,0,0
2020-02-27,Syria,0,0,0,0,0,0
2020-02-28,Syria,0,0,0,0,0,0
2020-02-29,Syria,0,0,0,0,0,0
2020-03-01,Syria,0,0,0,0,0,0
2020-03-02,Syria,0,0,0,0,0,0
2020-03-03,Syria,0,0,0,0,0,0
2020-03-04,Syria,0,0,0,0,0,0
2020-03-05,Syria,0,0,0,0,0,0
2020-03-06,Syria,0,0,0,0,0,0
2020-03-07,Syria,0,0,0,0,0,0
2020-03-08,Syria,0,0,0,0,0,0
2020-03-09,Syria,0,0,0,0,0,0
2020-03-10,Syria,0,0,0,0,0,0
2020-03-11,Syria,0,0,0,0,0,0
2020-03-12,Syria,0,0,0,0,0,0
2020-03-13,Syria,0,0,0,0,0,0
2020-03-14,Syria,0,0,0,0,0,0
2020-03-15,Syria,0,0,0,0,0,0
2020-03-16,Syria,0,0,0,0,0,0
2020-03-17,Syria,0,0,0,0,0,0
2020-03-18,Syria,0,0,0,0,0,0
2020-03-19,Syria,0,0,0,0,0,0
2020-03-20,Syria,0,0,0,0,0,0
2020-03-21,Syria,0,0,0,0,0,0
2020-03-22,Syria,1,0,1,0,0,0
2020-03-23,Syria,1,0,0,0,0,0
2020-03-24,Syria,1,0,0,0,0,0
2020-03-25,Syria,5,0,4,0,1,0
2020-03-26,Syria,5,0,0,0,1,0
2020-03-27,Syria,5,0,0,0,1,0
2020-03-28,Syria,5,0,0,0,1,0
2020-03-29,Syria,9,1,4,1,1,0
2020-03-30,Syria,10,2,1,1,1,0
2020-03-31,Syria,10,2,0,0,1,0
2020-04-01,Syria,10,2,0,0,1,0
2020-04-02,Syria,16,2,6,0,2,0
2020-04-03,Syria,16,2,0,0,2,0
2020-04-04,Syria,16,2,0,0,2,0
2020-04-05,Syria,19,2,3,0,1,0
2020-04-06,Syria,19,2,0,0,1,0
2020-04-07,Syria,19,2,0,0,1,0
2020-04-08,Syria,19,2,0,0,1,0
2020-04-09,Syria,19,2,0,0,0,0
2020-04-10,Syria,19,2,0,0,0,0
2020-04-11,Syria,25,2,6,0,1,0
2020-04-12,Syria,25,2,0,0,1,0
2020-04-13,Syria,25,2,0,0,1,0
2020-04-14,Syria,29,2,4,0,1,0
2020-04-15,Syria,33,2,4,0,2,0
2020-04-16,Syria,33,2,0,0,2,0
2020-04-17,Syria,38,2,5,0,3,0
2020-04-18,Syria,38,2,0,0,2,0
2020-04-19,Syria,39,3,1,1,2,0
2020-04-20,Syria,39,3,0,0,2,0
2020-04-21,Syria,42,3,3,0,2,0
2020-04-22,Syria,42,3,0,0,1,0
2020-04-23,Syria,42,3,0,0,1,0
2020-04-24,Syria,42,3,0,0,1,0
2020-04-25,Syria,42,3,0,0,1,0
2020-04-26,Syria,43,3,1,0,1,0
2020-04-27,Syria,43,3,0,0,1,0
2020-04-28,Syria,43,3,0,0,0,0
2020-04-29,Syria,43,3,0,0,0,0
2020-04-30,Syria,43,3,0,0,0,0
2020-05-01,Syria,44,3,1,0,0,0
2020-05-02,Syria,44,3,0,0,0,0
2020-05-03,Syria,44,3,0,0,0,0
2020-05-04,Syria,44,3,0,0,0,0
2020-05-05,Syria,44,3,0,0,0,0
2020-05-06,Syria,45,3,1,0,0,0
2020-05-07,Syria,45,3,0,0,0,0
2020-05-08,Syria,47,3,2,0,0,0
2020-05-09,Syria,47,3,0,0,0,0
2020-05-10,Syria,47,3,0,0,0,0
2020-05-11,Syria,47,3,0,0,0,0
2020-05-12,Syria,47,3,0,0,0,0
2020-05-13,Syria,48,3,1,0,0,0
2020-05-14,Syria,48,3,0,0,0,0
2020-05-15,Syria,50,3,2,0,0,0
2020-05-16,Syria,51,3,1,0,1,0
2020-05-17,Syria,58,3,7,0,2,0
2020-05-18,Syria,58,3,0,0,2,0
2020-05-19,Syria,58,3,0,0,2,0
2020-05-20,Syria,58,3,0,0,1,0
2020-05-21,Syria,58,3,0,0,1,0
2020-05-22,Syria,59,4,1,1,1,0
2020-05-23,Syria,70,4,11,0,3,0
2020-05-24,Syria,86,4,16,0,4,0
2020-05-25,Syria,106,4,20,0,7,0
2020-05-26,Syria,121,4,15,0,9,0
2020-05-27,Syria,121,4,0,0,9,0
2020-05-28,Syria,122,4,1,0,9,0
2020-05-29,Syria,122,4,0,0,9,0
2020-05-30,Syria,122,4,0,0,7,0
2020-05-31,Syria,122,5,0,1,5,0
2020-06-01,Syria,123,5,1,0,2,0
2020-06-02,Syria,123,6,0,1,0,0
2020-06-03,Syria,123,6,0,0,0,0
2020-06-04,Syria,124,6,1,0,0,0
2020-06-05,Syria,124,6,0,0,0,0
2020-06-06,Syria,125,6,1,0,0,0
2020-06-07,Syria,141,6,16,0,3,0
2020-06-08,Syria,144,6,3,0,3,0
2020-06-09,Syria,146,6,2,0,3,0
2020-06-10,Syria,152,6,6,0,4,0
2020-06-11,Syria,164,6,12,0,6,0
2020-06-12,Syria,164,6,0,0,6,0
2020-06-13,Syria,170,6,6,0,6,0
2020-06-14,Syria,177,6,7,0,5,0
2020-06-15,Syria,177,6,0,0,5,0
2020-06-16,Syria,177,6,0,0,4,0
2020-06-17,Syria,178,7,1,1,4,0
2020-06-18,Syria,187,7,9,0,3,0
2020-06-19,Syria,187,7,0,0,3,0
2020-06-20,Syria,198,7,11,0,4,0
2020-06-21,Syria,204,7,6,0,4,0
2020-06-22,Syria,219,7,15,0,6,0
2020-06-23,Syria,231,7,12,0,8,0
2020-06-24,Syria,231,7,0,0,8,0
2020-06-25,Syria,242,7,11,0,8,0
2020-06-26,Syria,255,8,13,1,10,0
2020-06-27,Syria,256,9,1,1,8,0
2020-06-28,Syria,256,9,0,0,7,0
2020-06-29,Syria,269,9,13,0,7,0
2020-06-30,Syria,279,9,10,0,7,0
2020-07-01,Syria,293,9,14,0,9,0
2020-07-02,Syria,312,9,19,0,10,0
2020-07-03,Syria,328,10,16,1,10,0
