Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Taiwan*,1,0,0,0,0,0
2020-01-23,Taiwan*,1,0,0,0,0,0
2020-01-24,Taiwan*,3,0,2,0,0,0
2020-01-25,Taiwan*,3,0,0,0,0,0
2020-01-26,Taiwan*,4,0,1,0,0,0
2020-01-27,Taiwan*,5,0,1,0,0,0
2020-01-28,Taiwan*,8,0,3,0,1,0
2020-01-29,Taiwan*,8,0,0,0,1,0
2020-01-30,Taiwan*,9,0,1,0,1,0
2020-01-31,Taiwan*,10,0,1,0,1,0
2020-02-01,Taiwan*,10,0,0,0,1,0
2020-02-02,Taiwan*,10,0,0,0,1,0
2020-02-03,Taiwan*,10,0,0,0,1,0
2020-02-04,Taiwan*,11,0,1,0,0,0
2020-02-05,Taiwan*,11,0,0,0,0,0
2020-02-06,Taiwan*,16,0,5,0,1,0
2020-02-07,Taiwan*,16,0,0,0,1,0
2020-02-08,Taiwan*,17,0,1,0,1,0
2020-02-09,Taiwan*,18,0,1,0,1,0
2020-02-10,Taiwan*,18,0,0,0,1,0
2020-02-11,Taiwan*,18,0,0,0,1,0
2020-02-12,Taiwan*,18,0,0,0,1,0
2020-02-13,Taiwan*,18,0,0,0,0,0
2020-02-14,Taiwan*,18,0,0,0,0,0
2020-02-15,Taiwan*,18,0,0,0,0,0
2020-02-16,Taiwan*,20,1,2,1,0,0
2020-02-17,Taiwan*,22,1,2,0,1,0
2020-02-18,Taiwan*,22,1,0,0,1,0
2020-02-19,Taiwan*,23,1,1,0,1,0
2020-02-20,Taiwan*,24,1,1,0,1,0
2020-02-21,Taiwan*,26,1,2,0,1,0
2020-02-22,Taiwan*,26,1,0,0,1,0
2020-02-23,Taiwan*,28,1,2,0,1,0
2020-02-24,Taiwan*,30,1,2,0,1,0
2020-02-25,Taiwan*,31,1,1,0,1,0
2020-02-26,Taiwan*,32,1,1,0,1,0
2020-02-27,Taiwan*,32,1,0,0,1,0
2020-02-28,Taiwan*,34,1,2,0,1,0
2020-02-29,Taiwan*,39,1,5,0,2,0
2020-03-01,Taiwan*,40,1,1,0,2,0
2020-03-02,Taiwan*,41,1,1,0,2,0
2020-03-03,Taiwan*,42,1,1,0,2,0
2020-03-04,Taiwan*,42,1,0,0,1,0
2020-03-05,Taiwan*,44,1,2,0,2,0
2020-03-06,Taiwan*,45,1,1,0,2,0
2020-03-07,Taiwan*,45,1,0,0,1,0
2020-03-08,Taiwan*,45,1,0,0,1,0
2020-03-09,Taiwan*,45,1,0,0,1,0
2020-03-10,Taiwan*,47,1,2,0,1,0
2020-03-11,Taiwan*,48,1,1,0,1,0
2020-03-12,Taiwan*,49,1,1,0,1,0
2020-03-13,Taiwan*,50,1,1,0,1,0
2020-03-14,Taiwan*,53,1,3,0,1,0
2020-03-15,Taiwan*,59,1,6,0,2,0
2020-03-16,Taiwan*,67,1,8,0,3,0
2020-03-17,Taiwan*,77,1,10,0,4,0
2020-03-18,Taiwan*,100,1,23,0,7,0
2020-03-19,Taiwan*,108,1,8,0,8,0
2020-03-20,Taiwan*,135,2,27,1,12,0
2020-03-21,Taiwan*,153,2,18,0,14,0
2020-03-22,Taiwan*,169,2,16,0,16,0
2020-03-23,Taiwan*,195,2,26,0,18,0
2020-03-24,Taiwan*,215,2,20,0,20,0
2020-03-25,Taiwan*,235,2,20,0,19,0
2020-03-26,Taiwan*,252,2,17,0,21,0
2020-03-27,Taiwan*,267,2,15,0,19,0
2020-03-28,Taiwan*,283,2,16,0,19,0
2020-03-29,Taiwan*,298,2,15,0,18,0
2020-03-30,Taiwan*,306,5,8,3,16,0
2020-03-31,Taiwan*,322,5,16,0,15,0
2020-04-01,Taiwan*,329,5,7,0,13,0
2020-04-02,Taiwan*,339,5,10,0,12,0
2020-04-03,Taiwan*,348,5,9,0,12,0
2020-04-04,Taiwan*,355,5,7,0,10,0
2020-04-05,Taiwan*,363,5,8,0,9,0
2020-04-06,Taiwan*,373,5,10,0,10,0
2020-04-07,Taiwan*,376,5,3,0,8,0
2020-04-08,Taiwan*,379,5,3,0,7,0
2020-04-09,Taiwan*,380,5,1,0,6,0
2020-04-10,Taiwan*,382,6,2,1,5,0
2020-04-11,Taiwan*,385,6,3,0,4,0
2020-04-12,Taiwan*,388,6,3,0,4,0
2020-04-13,Taiwan*,393,6,5,0,3,0
2020-04-14,Taiwan*,393,6,0,0,2,0
2020-04-15,Taiwan*,395,6,2,0,2,0
2020-04-16,Taiwan*,395,6,0,0,2,0
2020-04-17,Taiwan*,395,6,0,0,2,0
2020-04-18,Taiwan*,398,6,3,0,2,0
2020-04-19,Taiwan*,420,6,22,0,5,0
2020-04-20,Taiwan*,422,6,2,0,4,0
2020-04-21,Taiwan*,425,6,3,0,5,0
2020-04-22,Taiwan*,426,6,1,0,4,0
2020-04-23,Taiwan*,427,6,1,0,5,0
2020-04-24,Taiwan*,428,6,1,0,5,0
2020-04-25,Taiwan*,429,6,1,0,4,0
2020-04-26,Taiwan*,429,6,0,0,1,0
2020-04-27,Taiwan*,429,6,0,0,1,0
2020-04-28,Taiwan*,429,6,0,0,1,0
2020-04-29,Taiwan*,429,6,0,0,0,0
2020-04-30,Taiwan*,429,6,0,0,0,0
