Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Timor-Leste,0,0,0,0,0,0
2020-01-23,Timor-Leste,0,0,0,0,0,0
2020-01-24,Timor-Leste,0,0,0,0,0,0
2020-01-25,Timor-Leste,0,0,0,0,0,0
2020-01-26,Timor-Leste,0,0,0,0,0,0
2020-01-27,Timor-Leste,0,0,0,0,0,0
2020-01-28,Timor-Leste,0,0,0,0,0,0
2020-01-29,Timor-Leste,0,0,0,0,0,0
2020-01-30,Timor-Leste,0,0,0,0,0,0
2020-01-31,Timor-Leste,0,0,0,0,0,0
2020-02-01,Timor-Leste,0,0,0,0,0,0
2020-02-02,Timor-Leste,0,0,0,0,0,0
2020-02-03,Timor-Leste,0,0,0,0,0,0
2020-02-04,Timor-Leste,0,0,0,0,0,0
2020-02-05,Timor-Leste,0,0,0,0,0,0
2020-02-06,Timor-Leste,0,0,0,0,0,0
2020-02-07,Timor-Leste,0,0,0,0,0,0
2020-02-08,Timor-Leste,0,0,0,0,0,0
2020-02-09,Timor-Leste,0,0,0,0,0,0
2020-02-10,Timor-Leste,0,0,0,0,0,0
2020-02-11,Timor-Leste,0,0,0,0,0,0
2020-02-12,Timor-Leste,0,0,0,0,0,0
2020-02-13,Timor-Leste,0,0,0,0,0,0
2020-02-14,Timor-Leste,0,0,0,0,0,0
2020-02-15,Timor-Leste,0,0,0,0,0,0
2020-02-16,Timor-Leste,0,0,0,0,0,0
2020-02-17,Timor-Leste,0,0,0,0,0,0
2020-02-18,Timor-Leste,0,0,0,0,0,0
2020-02-19,Timor-Leste,0,0,0,0,0,0
2020-02-20,Timor-Leste,0,0,0,0,0,0
2020-02-21,Timor-Leste,0,0,0,0,0,0
2020-02-22,Timor-Leste,0,0,0,0,0,0
2020-02-23,Timor-Leste,0,0,0,0,0,0
2020-02-24,Timor-Leste,0,0,0,0,0,0
2020-02-25,Timor-Leste,0,0,0,0,0,0
2020-02-26,Timor-Leste,0,0,0,0,0,0
2020-02-27,Timor-Leste,0,0,0,0,0,0
2020-02-28,Timor-Leste,0,0,0,0,0,0
2020-02-29,Timor-Leste,0,0,0,0,0,0
2020-03-01,Timor-Leste,0,0,0,0,0,0
2020-03-02,Timor-Leste,0,0,0,0,0,0
2020-03-03,Timor-Leste,0,0,0,0,0,0
2020-03-04,Timor-Leste,0,0,0,0,0,0
2020-03-05,Timor-Leste,0,0,0,0,0,0
2020-03-06,Timor-Leste,0,0,0,0,0,0
2020-03-07,Timor-Leste,0,0,0,0,0,0
2020-03-08,Timor-Leste,0,0,0,0,0,0
2020-03-09,Timor-Leste,0,0,0,0,0,0
2020-03-10,Timor-Leste,0,0,0,0,0,0
2020-03-11,Timor-Leste,0,0,0,0,0,0
2020-03-12,Timor-Leste,0,0,0,0,0,0
2020-03-13,Timor-Leste,0,0,0,0,0,0
2020-03-14,Timor-Leste,0,0,0,0,0,0
2020-03-15,Timor-Leste,0,0,0,0,0,0
2020-03-16,Timor-Leste,0,0,0,0,0,0
2020-03-17,Timor-Leste,0,0,0,0,0,0
2020-03-18,Timor-Leste,0,0,0,0,0,0
2020-03-19,Timor-Leste,0,0,0,0,0,0
2020-03-20,Timor-Leste,0,0,0,0,0,0
2020-03-21,Timor-Leste,0,0,0,0,0,0
2020-03-22,Timor-Leste,1,0,1,0,0,0
2020-03-23,Timor-Leste,1,0,0,0,0,0
2020-03-24,Timor-Leste,1,0,0,0,0,0
2020-03-25,Timor-Leste,1,0,0,0,0,0
2020-03-26,Timor-Leste,1,0,0,0,0,0
2020-03-27,Timor-Leste,1,0,0,0,0,0
2020-03-28,Timor-Leste,1,0,0,0,0,0
2020-03-29,Timor-Leste,1,0,0,0,0,0
2020-03-30,Timor-Leste,1,0,0,0,0,0
2020-03-31,Timor-Leste,1,0,0,0,0,0
2020-04-01,Timor-Leste,1,0,0,0,0,0
2020-04-02,Timor-Leste,1,0,0,0,0,0
2020-04-03,Timor-Leste,1,0,0,0,0,0
2020-04-04,Timor-Leste,1,0,0,0,0,0
2020-04-05,Timor-Leste,1,0,0,0,0,0
2020-04-06,Timor-Leste,1,0,0,0,0,0
2020-04-07,Timor-Leste,1,0,0,0,0,0
2020-04-08,Timor-Leste,1,0,0,0,0,0
2020-04-09,Timor-Leste,1,0,0,0,0,0
2020-04-10,Timor-Leste,2,0,1,0,0,0
2020-04-11,Timor-Leste,2,0,0,0,0,0
2020-04-12,Timor-Leste,2,0,0,0,0,0
2020-04-13,Timor-Leste,4,0,2,0,0,0
2020-04-14,Timor-Leste,6,0,2,0,1,0
2020-04-15,Timor-Leste,8,0,2,0,1,0
2020-04-16,Timor-Leste,18,0,10,0,2,0
2020-04-17,Timor-Leste,18,0,0,0,2,0
2020-04-18,Timor-Leste,18,0,0,0,2,0
2020-04-19,Timor-Leste,19,0,1,0,2,0
2020-04-20,Timor-Leste,22,0,3,0,3,0
2020-04-21,Timor-Leste,23,0,1,0,2,0
2020-04-22,Timor-Leste,23,0,0,0,2,0
2020-04-23,Timor-Leste,23,0,0,0,1,0
2020-04-24,Timor-Leste,24,0,1,0,1,0
