Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Togo,0,0,0,0,0,0
2020-01-23,Togo,0,0,0,0,0,0
2020-01-24,Togo,0,0,0,0,0,0
2020-01-25,Togo,0,0,0,0,0,0
2020-01-26,Togo,0,0,0,0,0,0
2020-01-27,Togo,0,0,0,0,0,0
2020-01-28,Togo,0,0,0,0,0,0
2020-01-29,Togo,0,0,0,0,0,0
2020-01-30,Togo,0,0,0,0,0,0
2020-01-31,Togo,0,0,0,0,0,0
2020-02-01,Togo,0,0,0,0,0,0
2020-02-02,Togo,0,0,0,0,0,0
2020-02-03,Togo,0,0,0,0,0,0
2020-02-04,Togo,0,0,0,0,0,0
2020-02-05,Togo,0,0,0,0,0,0
2020-02-06,Togo,0,0,0,0,0,0
2020-02-07,Togo,0,0,0,0,0,0
2020-02-08,Togo,0,0,0,0,0,0
2020-02-09,Togo,0,0,0,0,0,0
2020-02-10,Togo,0,0,0,0,0,0
2020-02-11,Togo,0,0,0,0,0,0
2020-02-12,Togo,0,0,0,0,0,0
2020-02-13,Togo,0,0,0,0,0,0
2020-02-14,Togo,0,0,0,0,0,0
2020-02-15,Togo,0,0,0,0,0,0
2020-02-16,Togo,0,0,0,0,0,0
2020-02-17,Togo,0,0,0,0,0,0
2020-02-18,Togo,0,0,0,0,0,0
2020-02-19,Togo,0,0,0,0,0,0
2020-02-20,Togo,0,0,0,0,0,0
2020-02-21,Togo,0,0,0,0,0,0
2020-02-22,Togo,0,0,0,0,0,0
2020-02-23,Togo,0,0,0,0,0,0
2020-02-24,Togo,0,0,0,0,0,0
2020-02-25,Togo,0,0,0,0,0,0
2020-02-26,Togo,0,0,0,0,0,0
2020-02-27,Togo,0,0,0,0,0,0
2020-02-28,Togo,0,0,0,0,0,0
2020-02-29,Togo,0,0,0,0,0,0
2020-03-01,Togo,0,0,0,0,0,0
2020-03-02,Togo,0,0,0,0,0,0
2020-03-03,Togo,0,0,0,0,0,0
2020-03-04,Togo,0,0,0,0,0,0
2020-03-05,Togo,0,0,0,0,0,0
2020-03-06,Togo,1,0,1,0,0,0
2020-03-07,Togo,1,0,0,0,0,0
2020-03-08,Togo,1,0,0,0,0,0
2020-03-09,Togo,1,0,0,0,0,0
2020-03-10,Togo,1,0,0,0,0,0
2020-03-11,Togo,1,0,0,0,0,0
2020-03-12,Togo,1,0,0,0,0,0
2020-03-13,Togo,1,0,0,0,0,0
2020-03-14,Togo,1,0,0,0,0,0
2020-03-15,Togo,1,0,0,0,0,0
2020-03-16,Togo,1,0,0,0,0,0
2020-03-17,Togo,1,0,0,0,0,0
2020-03-18,Togo,1,0,0,0,0,0
2020-03-19,Togo,1,0,0,0,0,0
2020-03-20,Togo,9,0,8,0,1,0
2020-03-21,Togo,16,0,7,0,2,0
2020-03-22,Togo,16,0,0,0,2,0
2020-03-23,Togo,18,0,2,0,2,0
2020-03-24,Togo,20,0,2,0,3,0
2020-03-25,Togo,23,0,3,0,3,0
2020-03-26,Togo,23,0,0,0,3,0
2020-03-27,Togo,25,1,2,1,2,0
2020-03-28,Togo,25,1,0,0,1,0
2020-03-29,Togo,25,1,0,0,1,0
2020-03-30,Togo,30,1,5,0,2,0
2020-03-31,Togo,34,1,4,0,2,0
2020-04-01,Togo,36,2,2,1,2,0
2020-04-02,Togo,39,2,3,0,2,0
