Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Tonga,0,0,0,0,0,0
2020-01-23,Tonga,0,0,0,0,0,0
2020-01-24,Tonga,0,0,0,0,0,0
2020-01-25,Tonga,0,0,0,0,0,0
2020-01-26,Tonga,0,0,0,0,0,0
2020-01-27,Tonga,0,0,0,0,0,0
2020-01-28,Tonga,0,0,0,0,0,0
2020-01-29,Tonga,0,0,0,0,0,0
2020-01-30,Tonga,0,0,0,0,0,0
2020-01-31,Tonga,0,0,0,0,0,0
2020-02-01,Tonga,0,0,0,0,0,0
2020-02-02,Tonga,0,0,0,0,0,0
2020-02-03,Tonga,0,0,0,0,0,0
2020-02-04,Tonga,0,0,0,0,0,0
2020-02-05,Tonga,0,0,0,0,0,0
2020-02-06,Tonga,0,0,0,0,0,0
2020-02-07,Tonga,0,0,0,0,0,0
2020-02-08,Tonga,0,0,0,0,0,0
2020-02-09,Tonga,0,0,0,0,0,0
2020-02-10,Tonga,0,0,0,0,0,0
2020-02-11,Tonga,0,0,0,0,0,0
2020-02-12,Tonga,0,0,0,0,0,0
2020-02-13,Tonga,0,0,0,0,0,0
2020-02-14,Tonga,0,0,0,0,0,0
2020-02-15,Tonga,0,0,0,0,0,0
2020-02-16,Tonga,0,0,0,0,0,0
2020-02-17,Tonga,0,0,0,0,0,0
2020-02-18,Tonga,0,0,0,0,0,0
2020-02-19,Tonga,0,0,0,0,0,0
2020-02-20,Tonga,0,0,0,0,0,0
2020-02-21,Tonga,0,0,0,0,0,0
2020-02-22,Tonga,0,0,0,0,0,0
2020-02-23,Tonga,0,0,0,0,0,0
2020-02-24,Tonga,0,0,0,0,0,0
2020-02-25,Tonga,0,0,0,0,0,0
2020-02-26,Tonga,0,0,0,0,0,0
2020-02-27,Tonga,0,0,0,0,0,0
2020-02-28,Tonga,0,0,0,0,0,0
2020-02-29,Tonga,0,0,0,0,0,0
2020-03-01,Tonga,0,0,0,0,0,0
2020-03-02,Tonga,0,0,0,0,0,0
2020-03-03,Tonga,0,0,0,0,0,0
2020-03-04,Tonga,0,0,0,0,0,0
2020-03-05,Tonga,0,0,0,0,0,0
2020-03-06,Tonga,0,0,0,0,0,0
2020-03-07,Tonga,0,0,0,0,0,0
2020-03-08,Tonga,0,0,0,0,0,0
2020-03-09,Tonga,0,0,0,0,0,0
2020-03-10,Tonga,0,0,0,0,0,0
2020-03-11,Tonga,0,0,0,0,0,0
2020-03-12,Tonga,0,0,0,0,0,0
2020-03-13,Tonga,0,0,0,0,0,0
2020-03-14,Tonga,0,0,0,0,0,0
2020-03-15,Tonga,0,0,0,0,0,0
2020-03-16,Tonga,0,0,0,0,0,0
2020-03-17,Tonga,0,0,0,0,0,0
2020-03-18,Tonga,0,0,0,0,0,0
2020-03-19,Tonga,0,0,0,0,0,0
2020-03-20,Tonga,0,0,0,0,0,0
2020-03-21,Tonga,0,0,0,0,0,0
2020-03-22,Tonga,0,0,0,0,0,0
2020-03-23,Tonga,0,0,0,0,0,0
2020-03-24,Tonga,0,0,0,0,0,0
2020-03-25,Tonga,0,0,0,0,0,0
2020-03-26,Tonga,0,0,0,0,0,0
2020-03-27,Tonga,0,0,0,0,0,0
2020-03-28,Tonga,0,0,0,0,0,0
2020-03-29,Tonga,0,0,0,0,0,0
2020-03-30,Tonga,0,0,0,0,0,0
2020-03-31,Tonga,0,0,0,0,0,0
2020-04-01,Tonga,0,0,0,0,0,0
2020-04-02,Tonga,0,0,0,0,0,0
2020-04-03,Tonga,0,0,0,0,0,0
2020-04-04,Tonga,0,0,0,0,0,0
2020-04-05,Tonga,0,0,0,0,0,0
2020-04-06,Tonga,0,0,0,0,0,0
2020-04-07,Tonga,0,0,0,0,0,0
2020-04-08,Tonga,0,0,0,0,0,0
2020-04-09,Tonga,0,0,0,0,0,0
2020-04-10,Tonga,0,0,0,0,0,0
2020-04-11,Tonga,0,0,0,0,0,0
2020-04-12,Tonga,0,0,0,0,0,0
2020-04-13,Tonga,0,0,0,0,0,0
2020-04-14,Tonga,0,0,0,0,0,0
2020-04-15,Tonga,0,0,0,0,0,0
2020-04-16,Tonga,0,0,0,0,0,0
2020-04-17,Tonga,0,0,0,0,0,0
2020-04-18,Tonga,0,0,0,0,0,0
2020-04-19,Tonga,0,0,0,0,0,0
2020-04-20,Tonga,0,0,0,0,0,0
2020-04-21,Tonga,0,0,0,0,0,0
2020-04-22,Tonga,0,0,0,0,0,0
2020-04-23,Tonga,0,0,0,0,0,0
2020-04-24,Tonga,0,0,0,0,0,0
2020-04-25,Tonga,0,0,0,0,0,0
2020-04-26,Tonga,0,0,0,0,0,0
2020-04-27,Tonga,0,0,0,0,0,0
2020-04-28,Tonga,0,0,0,0,0,0
2020-04-29,Tonga,0,0,0,0,0,0
2020-04-30,Tonga,0,0,0,0,0,0
2020-05-01,Tonga,0,0,0,0,0,0
2020-05-02,Tonga,0,0,0,0,0,0
2020-05-03,Tonga,0,0,0,0,0,0
2020-05-04,Tonga,0,0,0,0,0,0
2020-05-05,Tonga,0,0,0,0,0,0
2020-05-06,Tonga,0,0,0,0,0,0
2020-05-07,Tonga,0,0,0,0,0,0
2020-05-08,Tonga,0,0,0,0,0,0
2020-05-09,Tonga,0,0,0,0,0,0
2020-05-10,Tonga,0,0,0,0,0,0
2020-05-11,Tonga,0,0,0,0,0,0
2020-05-12,Tonga,0,0,0,0,0,0
2020-05-13,Tonga,0,0,0,0,0,0
2020-05-14,Tonga,0,0,0,0,0,0
2020-05-15,Tonga,0,0,0,0,0,0
2020-05-16,Tonga,0,0,0,0,0,0
2020-05-17,Tonga,0,0,0,0,0,0
2020-05-18,Tonga,0,0,0,0,0,0
2020-05-19,Tonga,0,0,0,0,0,0
2020-05-20,Tonga,0,0,0,0,0,0
2020-05-21,Tonga,0,0,0,0,0,0
2020-05-22,Tonga,0,0,0,0,0,0
2020-05-23,Tonga,0,0,0,0,0,0
2020-05-24,Tonga,0,0,0,0,0,0
2020-05-25,Tonga,0,0,0,0,0,0
2020-05-26,Tonga,0,0,0,0,0,0
2020-05-27,Tonga,0,0,0,0,0,0
2020-05-28,Tonga,0,0,0,0,0,0
2020-05-29,Tonga,0,0,0,0,0,0
2020-05-30,Tonga,0,0,0,0,0,0
2020-05-31,Tonga,0,0,0,0,0,0
2020-06-01,Tonga,0,0,0,0,0,0
2020-06-02,Tonga,0,0,0,0,0,0
2020-06-03,Tonga,0,0,0,0,0,0
2020-06-04,Tonga,0,0,0,0,0,0
2020-06-05,Tonga,0,0,0,0,0,0
2020-06-06,Tonga,0,0,0,0,0,0
2020-06-07,Tonga,0,0,0,0,0,0
2020-06-08,Tonga,0,0,0,0,0,0
2020-06-09,Tonga,0,0,0,0,0,0
2020-06-10,Tonga,0,0,0,0,0,0
2020-06-11,Tonga,0,0,0,0,0,0
2020-06-12,Tonga,0,0,0,0,0,0
