Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Tunisia,0,0,0,0,0,0
2020-01-23,Tunisia,0,0,0,0,0,0
2020-01-24,Tunisia,0,0,0,0,0,0
2020-01-25,Tunisia,0,0,0,0,0,0
2020-01-26,Tunisia,0,0,0,0,0,0
2020-01-27,Tunisia,0,0,0,0,0,0
2020-01-28,Tunisia,0,0,0,0,0,0
2020-01-29,Tunisia,0,0,0,0,0,0
2020-01-30,Tunisia,0,0,0,0,0,0
2020-01-31,Tunisia,0,0,0,0,0,0
2020-02-01,Tunisia,0,0,0,0,0,0
2020-02-02,Tunisia,0,0,0,0,0,0
2020-02-03,Tunisia,0,0,0,0,0,0
2020-02-04,Tunisia,0,0,0,0,0,0
2020-02-05,Tunisia,0,0,0,0,0,0
2020-02-06,Tunisia,0,0,0,0,0,0
2020-02-07,Tunisia,0,0,0,0,0,0
2020-02-08,Tunisia,0,0,0,0,0,0
2020-02-09,Tunisia,0,0,0,0,0,0
2020-02-10,Tunisia,0,0,0,0,0,0
2020-02-11,Tunisia,0,0,0,0,0,0
2020-02-12,Tunisia,0,0,0,0,0,0
2020-02-13,Tunisia,0,0,0,0,0,0
2020-02-14,Tunisia,0,0,0,0,0,0
2020-02-15,Tunisia,0,0,0,0,0,0
2020-02-16,Tunisia,0,0,0,0,0,0
2020-02-17,Tunisia,0,0,0,0,0,0
2020-02-18,Tunisia,0,0,0,0,0,0
2020-02-19,Tunisia,0,0,0,0,0,0
2020-02-20,Tunisia,0,0,0,0,0,0
2020-02-21,Tunisia,0,0,0,0,0,0
2020-02-22,Tunisia,0,0,0,0,0,0
2020-02-23,Tunisia,0,0,0,0,0,0
2020-02-24,Tunisia,0,0,0,0,0,0
2020-02-25,Tunisia,0,0,0,0,0,0
2020-02-26,Tunisia,0,0,0,0,0,0
2020-02-27,Tunisia,0,0,0,0,0,0
2020-02-28,Tunisia,0,0,0,0,0,0
2020-02-29,Tunisia,0,0,0,0,0,0
2020-03-01,Tunisia,0,0,0,0,0,0
2020-03-02,Tunisia,0,0,0,0,0,0
2020-03-03,Tunisia,0,0,0,0,0,0
2020-03-04,Tunisia,1,0,1,0,0,0
2020-03-05,Tunisia,1,0,0,0,0,0
2020-03-06,Tunisia,1,0,0,0,0,0
2020-03-07,Tunisia,1,0,0,0,0,0
2020-03-08,Tunisia,2,0,1,0,0,0
2020-03-09,Tunisia,2,0,0,0,0,0
2020-03-10,Tunisia,5,0,3,0,1,0
2020-03-11,Tunisia,7,0,2,0,1,0
2020-03-12,Tunisia,7,0,0,0,1,0
2020-03-13,Tunisia,16,0,9,0,2,0
2020-03-14,Tunisia,18,0,2,0,2,0
2020-03-15,Tunisia,18,0,0,0,2,0
2020-03-16,Tunisia,20,0,2,0,3,0
2020-03-17,Tunisia,24,0,4,0,3,0
2020-03-18,Tunisia,29,0,5,0,3,0
2020-03-19,Tunisia,39,1,10,1,5,0
2020-03-20,Tunisia,54,1,15,0,5,0
2020-03-21,Tunisia,60,1,6,0,6,0
2020-03-22,Tunisia,75,3,15,2,8,0
2020-03-23,Tunisia,89,3,14,0,10,0
2020-03-24,Tunisia,114,4,25,1,13,1
2020-03-25,Tunisia,173,5,59,1,21,1
2020-03-26,Tunisia,197,6,24,1,23,1
2020-03-27,Tunisia,227,6,30,0,25,1
2020-03-28,Tunisia,278,8,51,2,31,1
2020-03-29,Tunisia,312,8,34,0,34,1
2020-03-30,Tunisia,312,8,0,0,32,1
2020-03-31,Tunisia,394,10,82,2,40,1
2020-04-01,Tunisia,423,12,29,2,36,1
2020-04-02,Tunisia,455,14,32,2,37,1
2020-04-03,Tunisia,495,18,40,4,38,2
2020-04-04,Tunisia,553,18,58,0,39,1
2020-04-05,Tunisia,574,22,21,4,37,2
2020-04-06,Tunisia,596,22,22,0,41,2
2020-04-07,Tunisia,623,23,27,1,33,2
2020-04-08,Tunisia,628,24,5,1,29,2
2020-04-09,Tunisia,643,25,15,1,27,2
2020-04-10,Tunisia,671,25,28,0,25,1
2020-04-11,Tunisia,685,28,14,3,19,1
2020-04-12,Tunisia,707,31,22,3,19,1
2020-04-13,Tunisia,726,34,19,3,19,2
2020-04-14,Tunisia,747,34,21,0,18,2
2020-04-15,Tunisia,780,35,33,1,22,2
2020-04-16,Tunisia,822,37,42,2,26,2
2020-04-17,Tunisia,864,37,42,0,28,2
2020-04-18,Tunisia,864,37,0,0,26,1
2020-04-19,Tunisia,879,38,15,1,25,1
2020-04-20,Tunisia,884,38,5,0,23,1
2020-04-21,Tunisia,884,38,0,0,20,1
2020-04-22,Tunisia,909,38,25,0,18,0
