Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Turkey,0,0,0,0,0,0
2020-01-23,Turkey,0,0,0,0,0,0
2020-01-24,Turkey,0,0,0,0,0,0
2020-01-25,Turkey,0,0,0,0,0,0
2020-01-26,Turkey,0,0,0,0,0,0
2020-01-27,Turkey,0,0,0,0,0,0
2020-01-28,Turkey,0,0,0,0,0,0
2020-01-29,Turkey,0,0,0,0,0,0
2020-01-30,Turkey,0,0,0,0,0,0
2020-01-31,Turkey,0,0,0,0,0,0
2020-02-01,Turkey,0,0,0,0,0,0
2020-02-02,Turkey,0,0,0,0,0,0
2020-02-03,Turkey,0,0,0,0,0,0
2020-02-04,Turkey,0,0,0,0,0,0
2020-02-05,Turkey,0,0,0,0,0,0
2020-02-06,Turkey,0,0,0,0,0,0
2020-02-07,Turkey,0,0,0,0,0,0
2020-02-08,Turkey,0,0,0,0,0,0
2020-02-09,Turkey,0,0,0,0,0,0
2020-02-10,Turkey,0,0,0,0,0,0
2020-02-11,Turkey,0,0,0,0,0,0
2020-02-12,Turkey,0,0,0,0,0,0
2020-02-13,Turkey,0,0,0,0,0,0
2020-02-14,Turkey,0,0,0,0,0,0
2020-02-15,Turkey,0,0,0,0,0,0
2020-02-16,Turkey,0,0,0,0,0,0
2020-02-17,Turkey,0,0,0,0,0,0
2020-02-18,Turkey,0,0,0,0,0,0
2020-02-19,Turkey,0,0,0,0,0,0
2020-02-20,Turkey,0,0,0,0,0,0
2020-02-21,Turkey,0,0,0,0,0,0
2020-02-22,Turkey,0,0,0,0,0,0
2020-02-23,Turkey,0,0,0,0,0,0
2020-02-24,Turkey,0,0,0,0,0,0
2020-02-25,Turkey,0,0,0,0,0,0
2020-02-26,Turkey,0,0,0,0,0,0
2020-02-27,Turkey,0,0,0,0,0,0
2020-02-28,Turkey,0,0,0,0,0,0
2020-02-29,Turkey,0,0,0,0,0,0
2020-03-01,Turkey,0,0,0,0,0,0
2020-03-02,Turkey,0,0,0,0,0,0
2020-03-03,Turkey,0,0,0,0,0,0
2020-03-04,Turkey,0,0,0,0,0,0
2020-03-05,Turkey,0,0,0,0,0,0
2020-03-06,Turkey,0,0,0,0,0,0
2020-03-07,Turkey,0,0,0,0,0,0
2020-03-08,Turkey,0,0,0,0,0,0
2020-03-09,Turkey,0,0,0,0,0,0
2020-03-10,Turkey,0,0,0,0,0,0
2020-03-11,Turkey,1,0,1,0,0,0
2020-03-12,Turkey,1,0,0,0,0,0
2020-03-13,Turkey,5,0,4,0,1,0
2020-03-14,Turkey,5,0,0,0,1,0
2020-03-15,Turkey,6,0,1,0,1,0
2020-03-16,Turkey,18,0,12,0,3,0
2020-03-17,Turkey,47,1,29,1,7,0
2020-03-18,Turkey,98,1,51,0,14,0
2020-03-19,Turkey,192,3,94,2,27,0
2020-03-20,Turkey,359,4,167,1,51,1
2020-03-21,Turkey,670,9,311,5,95,1
2020-03-22,Turkey,1236,30,566,21,176,4
2020-03-23,Turkey,1529,37,293,7,216,5
2020-03-24,Turkey,1872,44,343,7,261,6
2020-03-25,Turkey,2433,59,561,15,334,8
2020-03-26,Turkey,3629,75,1196,16,491,10
2020-03-27,Turkey,5698,92,2069,17,763,13
2020-03-28,Turkey,7402,108,1704,16,962,14
2020-03-29,Turkey,9217,131,1815,23,1140,14
2020-03-30,Turkey,10827,168,1610,37,1328,19
2020-03-31,Turkey,13531,214,2704,46,1666,24
2020-04-01,Turkey,15679,277,2148,63,1892,31
2020-04-02,Turkey,18135,356,2456,79,2072,40
2020-04-03,Turkey,20921,425,2786,69,2175,48
2020-04-04,Turkey,23934,501,3013,76,2362,56
2020-04-05,Turkey,27069,574,3135,73,2550,63
2020-04-06,Turkey,30217,649,3148,75,2770,69
2020-04-07,Turkey,34109,725,3892,76,2940,73
2020-04-08,Turkey,38226,812,4117,87,3221,76
2020-04-09,Turkey,42282,908,4056,96,3450,79
2020-04-10,Turkey,47029,1006,4747,98,3730,83
2020-04-11,Turkey,52167,1101,5138,95,4033,86
2020-04-12,Turkey,56956,1198,4789,97,4270,89
2020-04-13,Turkey,61049,1296,4093,98,4405,92
2020-04-14,Turkey,65111,1403,4062,107,4429,97
2020-04-15,Turkey,69392,1518,4281,115,4452,101
2020-04-16,Turkey,74193,1643,4801,125,4559,105
2020-04-17,Turkey,78546,1769,4353,126,4502,109
2020-04-18,Turkey,82329,1890,3783,121,4309,113
2020-04-19,Turkey,86306,2017,3977,127,4193,117
2020-04-20,Turkey,90980,2140,4674,123,4276,121
2020-04-21,Turkey,95591,2259,4611,119,4354,122
2020-04-22,Turkey,98674,2376,3083,117,4183,123
2020-04-23,Turkey,101790,2491,3116,115,3942,121
2020-04-24,Turkey,104912,2600,3122,109,3767,119
2020-04-25,Turkey,107773,2706,2861,106,3635,117
2020-04-26,Turkey,110130,2805,2357,99,3403,113
2020-04-27,Turkey,112261,2900,2131,95,3040,109
2020-04-28,Turkey,114653,2992,2392,92,2723,105
2020-04-29,Turkey,117589,3081,2936,89,2702,101
2020-04-30,Turkey,120204,3174,2615,93,2631,98
2020-05-01,Turkey,122392,3258,2188,84,2497,94
2020-05-02,Turkey,124375,3336,1983,78,2372,90
2020-05-03,Turkey,126045,3397,1670,61,2274,85
2020-05-04,Turkey,127659,3461,1614,64,2200,80
2020-05-05,Turkey,129491,3520,1832,59,2120,75
2020-05-06,Turkey,131744,3584,2253,64,2022,72
2020-05-07,Turkey,133721,3641,1977,57,1931,67
2020-05-08,Turkey,135569,3689,1848,48,1882,62
2020-05-09,Turkey,137115,3739,1546,50,1820,58
2020-05-10,Turkey,138657,3786,1542,47,1802,56
2020-05-11,Turkey,139771,3841,1114,55,1730,54
2020-05-12,Turkey,141475,3894,1704,53,1712,53
2020-05-13,Turkey,143114,3952,1639,58,1624,53
2020-05-14,Turkey,144749,4007,1635,55,1575,52
2020-05-15,Turkey,146457,4055,1708,48,1555,52
2020-05-16,Turkey,148067,4096,1610,41,1565,51
