Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,US,1,0,0,0,0,0
2020-01-23,US,1,0,0,0,0,0
2020-01-24,US,2,0,1,0,0,0
2020-01-25,US,2,0,0,0,0,0
2020-01-26,US,5,0,3,0,0,0
2020-01-27,US,5,0,0,0,0,0
2020-01-28,US,5,0,0,0,1,0
2020-01-29,US,6,0,1,0,1,0
2020-01-30,US,6,0,0,0,1,0
2020-01-31,US,8,0,2,0,1,0
2020-02-01,US,8,0,0,0,1,0
2020-02-02,US,8,0,0,0,0,0
2020-02-03,US,11,0,3,0,1,0
2020-02-04,US,11,0,0,0,1,0
2020-02-05,US,11,0,0,0,1,0
2020-02-06,US,12,0,1,0,1,0
2020-02-07,US,12,0,0,0,1,0
2020-02-08,US,12,0,0,0,1,0
2020-02-09,US,12,0,0,0,1,0
2020-02-10,US,12,0,0,0,0,0
2020-02-11,US,13,0,1,0,0,0
2020-02-12,US,13,0,0,0,0,0
2020-02-13,US,14,0,1,0,0,0
2020-02-14,US,14,0,0,0,0,0
2020-02-15,US,14,0,0,0,0,0
2020-02-16,US,14,0,0,0,0,0
2020-02-17,US,14,0,0,0,0,0
2020-02-18,US,14,0,0,0,0,0
2020-02-19,US,14,0,0,0,0,0
2020-02-20,US,14,0,0,0,0,0
2020-02-21,US,16,0,2,0,0,0
2020-02-22,US,16,0,0,0,0,0
2020-02-23,US,16,0,0,0,0,0
2020-02-24,US,16,0,0,0,0,0
2020-02-25,US,16,0,0,0,0,0
2020-02-26,US,16,0,0,0,0,0
2020-02-27,US,17,0,1,0,0,0
2020-02-28,US,17,0,0,0,0,0
2020-02-29,US,25,1,8,1,1,0
2020-03-01,US,32,1,7,0,2,0
2020-03-02,US,55,6,23,5,6,1
2020-03-03,US,74,7,19,1,8,1
2020-03-04,US,107,11,33,4,13,2
2020-03-05,US,184,12,77,1,24,2
2020-03-06,US,237,14,53,2,31,2
2020-03-07,US,403,17,166,3,54,2
2020-03-08,US,519,21,116,4,70,3
2020-03-09,US,594,22,75,1,77,2
2020-03-10,US,782,28,188,6,101,3
2020-03-11,US,1147,33,365,5,149,3
2020-03-12,US,1586,43,439,10,200,4
2020-03-13,US,2219,51,633,8,283,5
2020-03-14,US,2978,58,759,7,368,6
2020-03-15,US,3212,70,234,12,385,7
2020-03-16,US,4679,97,1467,27,584,11
2020-03-17,US,6512,134,1833,37,819,15
2020-03-18,US,9169,194,2657,60,1146,23
2020-03-19,US,13663,266,4494,72,1725,32
2020-03-20,US,20030,372,6367,106,2544,46
2020-03-21,US,26025,475,5995,103,3292,60
2020-03-22,US,34944,603,8919,128,4533,76
2020-03-23,US,46096,790,11152,187,5917,99
2020-03-24,US,56714,1033,10618,243,7172,128
2020-03-25,US,68841,1366,12127,333,8525,167
2020-03-26,US,86662,1783,17821,417,10428,217
2020-03-27,US,105253,2305,18591,522,12175,276
2020-03-28,US,127417,3018,22164,713,14485,363
2020-03-29,US,143544,3573,16127,555,15514,424
2020-03-30,US,165698,4280,22154,707,17086,499
2020-03-31,US,192079,5359,26381,1079,19338,618
2020-04-01,US,223254,6635,31175,1276,22059,753
2020-04-02,US,255530,8142,32276,1507,24124,908
2020-04-03,US,287931,9562,32401,1420,26097,1037
2020-04-04,US,319776,11165,31845,1603,27480,1164
2020-04-05,US,349016,12781,29240,1616,29353,1315
2020-04-06,US,380798,14523,31782,1742,30729,1463
2020-04-07,US,410834,17099,30036,2576,31251,1677
2020-04-08,US,441897,19249,31063,2150,31235,1802
2020-04-09,US,477507,21463,35610,2214,31711,1903
2020-04-10,US,511790,23649,34283,2186,31980,2012
2020-04-11,US,540714,25785,28924,2136,31563,2089
2020-04-12,US,567022,27674,26308,1889,31144,2128
2020-04-13,US,594165,29657,27143,1983,30481,2162
2020-04-14,US,622493,32132,28328,2475,30237,2148
2020-04-15,US,648390,34730,25897,2598,29499,2212
2020-04-16,US,678028,36913,29638,2183,28646,2207
2020-04-17,US,711135,39008,33107,2095,28478,2194
2020-04-18,US,738464,40954,27329,1946,28250,2167
2020-04-19,US,763886,42934,25422,1980,28123,2180
2020-04-20,US,793970,45179,30084,2245,28544,2217
2020-04-21,US,820045,47662,26075,2483,28222,2219
2020-04-22,US,849926,50128,29881,2466,28791,2200
2020-04-23,US,881891,52542,31965,2414,29123,2233
2020-04-24,US,913856,54711,31965,2169,28960,2243
2020-04-25,US,944770,56445,30914,1734,29472,2213
2020-04-26,US,970741,57850,25971,1405,29551,2131
2020-04-27,US,995390,59330,24649,1480,28774,2022
2020-04-28,US,1019963,61571,24573,2241,28560,1987
2020-04-29,US,1046815,63962,26852,2391,28127,1976
2020-04-30,US,1076517,66154,29702,2192,27804,1945
2020-05-01,US,1111409,68063,34892,1909,28222,1907
2020-05-02,US,1138174,69804,26765,1741,27629,1908
2020-05-03,US,1161907,71007,23733,1203,27309,1880
2020-05-04,US,1185709,72365,23802,1358,27188,1862
2020-05-05,US,1209728,74586,24019,2221,27109,1859
2020-05-06,US,1234210,76905,24482,2319,26771,1849
2020-05-07,US,1261949,78821,27739,1916,26490,1810
2020-05-08,US,1289132,80593,27183,1772,25389,1790
2020-05-09,US,1313586,82058,24454,1465,25059,1751
2020-05-10,US,1332332,83059,18746,1001,24346,1722
2020-05-11,US,1351409,84093,19077,1034,23671,1675
2020-05-12,US,1374791,85682,23382,1589,23580,1585
2020-05-13,US,1394806,87416,20015,1734,22942,1502
2020-05-14,US,1420696,89197,25890,1781,22678,1482
2020-05-15,US,1445547,90862,24851,1665,22345,1467
2020-05-16,US,1469597,92060,24050,1198,22287,1429
2020-05-17,US,1488326,92891,18729,831,22285,1405
2020-05-18,US,1510634,94110,22308,1219,22746,1431
2020-05-19,US,1531136,95555,20502,1445,22335,1410
2020-05-20,US,1553962,97056,22826,1501,22737,1377
2020-05-21,US,1579114,98246,25152,1190,22631,1293
2020-05-22,US,1602942,99450,23828,1204,22485,1227
2020-05-23,US,1623131,100524,20189,1074,21933,1209
2020-05-24,US,1643305,101165,20174,641,22140,1182
2020-05-25,US,1662399,101762,19094,597,21681,1093
2020-05-26,US,1681125,102418,18726,656,21427,980
2020-05-27,US,1699888,103896,18763,1478,20847,977
2020-05-28,US,1721155,104985,21267,1089,20292,963
2020-05-29,US,1746237,106102,25082,1117,20471,950
2020-05-30,US,1769317,107053,23080,951,20884,933
2020-05-31,US,1788236,107674,18919,621,20704,930
2020-06-01,US,1806076,108448,17840,774,20525,955
2020-06-02,US,1826166,109428,20090,980,20720,1001
2020-06-03,US,1845322,110437,19156,1009,20776,934
2020-06-04,US,1873256,111443,27934,1006,21729,923
2020-06-05,US,1899695,112321,26439,878,21923,888
2020-06-06,US,1919964,112958,20269,637,21521,844
2020-06-07,US,1937790,113415,17826,457,21365,820
2020-06-08,US,1954689,113926,16899,511,21230,783
2020-06-09,US,1975010,114840,20321,914,21263,773
2020-06-10,US,1996728,115715,21718,875,21629,754
2020-06-11,US,2019006,116532,22278,817,20821,727
2020-06-12,US,2044564,117357,25558,825,20696,719
2020-06-13,US,2068721,118077,24157,720,21251,731
2020-06-14,US,2087622,118425,18901,348,21405,716
2020-06-15,US,2108621,118826,20999,401,21990,700
2020-06-16,US,2133170,119612,24549,786,22594,682
2020-06-17,US,2160220,120359,27050,747,23356,663
2020-06-18,US,2188447,121059,28227,700,24206,647
2020-06-19,US,2219501,121693,31054,634,24991,619
2020-06-20,US,2251327,122257,31826,564,26087,597
2020-06-21,US,2277163,122574,25836,317,27077,593
2020-06-22,US,2306964,122952,29801,378,28335,589
2020-06-23,US,2345694,123691,38730,739,30361,583
2020-06-24,US,2381945,124446,36251,755,31675,584
2020-06-25,US,2421243,124994,39298,548,33257,562
2020-06-26,US,2470289,125620,49046,626,35827,561
2020-06-27,US,2511043,126116,40754,496,37102,551
2020-06-28,US,2553968,126437,42925,321,39544,552
2020-06-29,US,2595264,126806,41296,369,41186,551
2020-06-30,US,2645088,127365,49824,559,42771,525
2020-07-01,US,2694210,128063,49122,698,44609,517
2020-07-02,US,2749154,128802,54944,739,46844,544
2020-07-03,US,2800657,129479,51503,677,47195,551
2020-07-04,US,2846602,129781,45945,302,47937,524
2020-07-05,US,2900332,130104,53730,323,49481,524
2020-07-06,US,2943498,130475,43166,371,49748,524
2020-07-07,US,3000728,131616,57230,1141,50806,607
2020-07-08,US,3061034,132457,60306,841,52403,628
2020-07-09,US,3120690,133488,59656,1031,53077,669
2020-07-10,US,3189548,134304,68858,816,55556,689
2020-07-11,US,3249987,135058,60439,754,57626,754
2020-07-12,US,3310119,135531,60132,473,58541,775
2020-07-13,US,3369485,135966,59366,435,60855,784
2020-07-14,US,3435147,136862,65662,896,62060,749
2020-07-15,US,3501175,137827,66028,965,62877,767
2020-07-16,US,3571990,138788,70815,961,64471,757
2020-07-17,US,3638462,139703,66472,915,64131,771
2020-07-18,US,3702784,140585,64322,882,64685,790
2020-07-19,US,3761716,141061,58932,476,64514,790
2020-07-20,US,3822379,141590,60663,529,64699,803
2020-07-21,US,3890573,142686,68194,1096,65061,832
2020-07-22,US,3958119,143911,67546,1225,65278,869
2020-07-23,US,4026006,144997,67887,1086,64859,887
2020-07-24,US,4101153,146091,75147,1094,66099,913
2020-07-25,US,4165354,147060,64201,969,66081,925
2020-07-26,US,4221194,147594,55840,534,65640,933
2020-07-27,US,4280918,148694,59724,1100,65506,1015
2020-07-28,US,4345748,149916,64830,1222,65025,1033
2020-07-29,US,4409876,151356,64128,1440,64537,1064
2020-07-30,US,4479120,152645,69244,1289,64731,1093
2020-07-31,US,4543696,153828,64576,1183,63220,1105
2020-08-01,US,4601276,154947,57580,1119,62275,1127
2020-08-02,US,4648385,155404,47109,457,61027,1116
2020-08-03,US,4690071,155963,41686,559,58450,1038
2020-08-04,US,4751729,157218,61658,1255,57997,1043
2020-08-05,US,4806078,158626,54349,1408,56600,1039
2020-08-06,US,4866258,159807,60180,1181,55305,1023
2020-08-07,US,4926845,161098,60587,1291,54736,1039
2020-08-08,US,4990778,162185,63933,1087,55643,1034
2020-08-09,US,5045045,162757,54267,572,56666,1050
2020-08-10,US,5096662,163274,51617,517,58084,1044
2020-08-11,US,5153618,164371,56956,1097,57413,1022
2020-08-12,US,5208863,165886,55245,1515,57541,1037
2020-08-13,US,5260520,166924,51657,1038,56323,1017
2020-08-14,US,5330645,168233,70125,1309,57686,1019
2020-08-15,US,5383041,169278,52396,1045,56038,1013
2020-08-16,US,5417703,169886,34662,608,53237,1018
2020-08-17,US,5455552,170355,37849,469,51270,1012
2020-08-18,US,5500454,171580,44902,1225,49548,1030
2020-08-19,US,5546338,172269,45884,689,48211,912
2020-08-20,US,5591469,173369,45131,1100,47278,921
2020-08-21,US,5639060,174461,47591,1092,44059,890
2020-08-22,US,5684735,175427,45675,966,43099,878
2020-08-23,US,5716646,175922,31911,495,42706,862
2020-08-24,US,5750569,176345,33923,423,42145,856
2020-08-25,US,5793243,177571,42674,1226,41827,856
2020-08-26,US,5835318,178728,42075,1157,41283,923
2020-08-27,US,5885836,179827,50518,1099,42052,923
2020-08-28,US,5932307,180755,46471,928,41892,899
2020-08-29,US,5975408,181731,43101,976,41525,901
2020-08-30,US,6009539,182171,34131,440,41842,893
2020-08-31,US,6042902,182656,33363,485,41762,902
2020-09-01,US,6084880,183718,41978,1062,41662,878
2020-09-02,US,6124841,184777,39961,1059,41360,864
2020-09-03,US,6169982,185794,45141,1017,40592,852
2020-09-04,US,6218318,186757,48336,963,40859,857
2020-09-05,US,6261943,187562,43625,805,40934,833
2020-09-06,US,6291062,187996,29119,434,40218,832
2020-09-07,US,6315625,188313,24563,317,38960,808
2020-09-08,US,6342372,188778,26747,465,36785,723
2020-09-09,US,6376010,189880,33638,1102,35881,729
2020-09-10,US,6415458,190786,39448,906,35068,713
2020-09-11,US,6460081,191934,44623,1148,34538,740
2020-09-12,US,6505665,192669,45584,735,34817,730
2020-09-13,US,6545957,193060,40292,391,36414,723
2020-09-14,US,6578522,193479,32565,419,37557,738
2020-09-15,US,6615700,194677,37178,1198,39047,843
2020-09-16,US,6653992,195614,38292,937,39712,819
2020-09-17,US,6699310,196469,45318,855,40550,812
2020-09-18,US,6749496,197425,50186,956,41345,784
2020-09-19,US,6795273,198120,45777,695,41373,779
2020-09-20,US,6836883,198379,41610,259,41561,760
2020-09-21,US,6868927,198785,32044,406,41486,758
2020-09-22,US,6907199,199811,38272,1026,41643,733
2020-09-23,US,6948318,200858,41119,1047,42047,749
2020-09-24,US,6997199,201753,48881,895,42556,755
2020-09-25,US,7044336,202662,47137,909,42120,748
2020-09-26,US,7087884,203434,43548,772,41802,759
2020-09-27,US,7121663,203736,33779,302,40683,765
2020-09-28,US,7159403,204070,37740,334,41497,755
2020-09-29,US,7201437,204965,42034,895,42034,736
2020-09-30,US,7240070,205872,38633,907,41679,716
2020-10-01,US,7286316,206769,46246,897,41302,717
2020-10-02,US,7339761,207604,53445,835,42204,706
2020-10-03,US,7389041,208275,49280,671,43022,692
2020-10-04,US,7422172,208644,33131,369,42930,701
2020-10-05,US,7459530,209114,37358,470,42875,721
2020-10-06,US,7504076,209810,44546,696,43234,692
