Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Uganda,0,0,0,0,0,0
2020-01-23,Uganda,0,0,0,0,0,0
2020-01-24,Uganda,0,0,0,0,0,0
2020-01-25,Uganda,0,0,0,0,0,0
2020-01-26,Uganda,0,0,0,0,0,0
2020-01-27,Uganda,0,0,0,0,0,0
2020-01-28,Uganda,0,0,0,0,0,0
2020-01-29,Uganda,0,0,0,0,0,0
2020-01-30,Uganda,0,0,0,0,0,0
2020-01-31,Uganda,0,0,0,0,0,0
2020-02-01,Uganda,0,0,0,0,0,0
2020-02-02,Uganda,0,0,0,0,0,0
2020-02-03,Uganda,0,0,0,0,0,0
2020-02-04,Uganda,0,0,0,0,0,0
2020-02-05,Uganda,0,0,0,0,0,0
2020-02-06,Uganda,0,0,0,0,0,0
2020-02-07,Uganda,0,0,0,0,0,0
2020-02-08,Uganda,0,0,0,0,0,0
2020-02-09,Uganda,0,0,0,0,0,0
2020-02-10,Uganda,0,0,0,0,0,0
2020-02-11,Uganda,0,0,0,0,0,0
2020-02-12,Uganda,0,0,0,0,0,0
2020-02-13,Uganda,0,0,0,0,0,0
2020-02-14,Uganda,0,0,0,0,0,0
2020-02-15,Uganda,0,0,0,0,0,0
2020-02-16,Uganda,0,0,0,0,0,0
2020-02-17,Uganda,0,0,0,0,0,0
2020-02-18,Uganda,0,0,0,0,0,0
2020-02-19,Uganda,0,0,0,0,0,0
2020-02-20,Uganda,0,0,0,0,0,0
2020-02-21,Uganda,0,0,0,0,0,0
2020-02-22,Uganda,0,0,0,0,0,0
2020-02-23,Uganda,0,0,0,0,0,0
2020-02-24,Uganda,0,0,0,0,0,0
2020-02-25,Uganda,0,0,0,0,0,0
2020-02-26,Uganda,0,0,0,0,0,0
2020-02-27,Uganda,0,0,0,0,0,0
2020-02-28,Uganda,0,0,0,0,0,0
2020-02-29,Uganda,0,0,0,0,0,0
2020-03-01,Uganda,0,0,0,0,0,0
2020-03-02,Uganda,0,0,0,0,0,0
2020-03-03,Uganda,0,0,0,0,0,0
2020-03-04,Uganda,0,0,0,0,0,0
2020-03-05,Uganda,0,0,0,0,0,0
2020-03-06,Uganda,0,0,0,0,0,0
2020-03-07,Uganda,0,0,0,0,0,0
2020-03-08,Uganda,0,0,0,0,0,0
2020-03-09,Uganda,0,0,0,0,0,0
2020-03-10,Uganda,0,0,0,0,0,0
2020-03-11,Uganda,0,0,0,0,0,0
2020-03-12,Uganda,0,0,0,0,0,0
2020-03-13,Uganda,0,0,0,0,0,0
2020-03-14,Uganda,0,0,0,0,0,0
2020-03-15,Uganda,0,0,0,0,0,0
2020-03-16,Uganda,0,0,0,0,0,0
2020-03-17,Uganda,0,0,0,0,0,0
2020-03-18,Uganda,0,0,0,0,0,0
2020-03-19,Uganda,0,0,0,0,0,0
2020-03-20,Uganda,0,0,0,0,0,0
2020-03-21,Uganda,1,0,1,0,0,0
2020-03-22,Uganda,1,0,0,0,0,0
2020-03-23,Uganda,9,0,8,0,1,0
2020-03-24,Uganda,9,0,0,0,1,0
2020-03-25,Uganda,14,0,5,0,2,0
2020-03-26,Uganda,14,0,0,0,2,0
2020-03-27,Uganda,23,0,9,0,3,0
2020-03-28,Uganda,30,0,7,0,4,0
2020-03-29,Uganda,33,0,3,0,5,0
2020-03-30,Uganda,33,0,0,0,3,0
2020-03-31,Uganda,44,0,11,0,5,0
2020-04-01,Uganda,44,0,0,0,4,0
2020-04-02,Uganda,45,0,1,0,4,0
2020-04-03,Uganda,48,0,3,0,4,0
