Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,United Arab Emirates,0,0,0,0,0,0
2020-01-23,United Arab Emirates,0,0,0,0,0,0
2020-01-24,United Arab Emirates,0,0,0,0,0,0
2020-01-25,United Arab Emirates,0,0,0,0,0,0
2020-01-26,United Arab Emirates,0,0,0,0,0,0
2020-01-27,United Arab Emirates,0,0,0,0,0,0
2020-01-28,United Arab Emirates,0,0,0,0,0,0
2020-01-29,United Arab Emirates,4,0,4,0,1,0
2020-01-30,United Arab Emirates,4,0,0,0,1,0
2020-01-31,United Arab Emirates,4,0,0,0,1,0
2020-02-01,United Arab Emirates,4,0,0,0,1,0
2020-02-02,United Arab Emirates,5,0,1,0,1,0
2020-02-03,United Arab Emirates,5,0,0,0,1,0
2020-02-04,United Arab Emirates,5,0,0,0,1,0
2020-02-05,United Arab Emirates,5,0,0,0,0,0
2020-02-06,United Arab Emirates,5,0,0,0,0,0
2020-02-07,United Arab Emirates,5,0,0,0,0,0
2020-02-08,United Arab Emirates,7,0,2,0,0,0
2020-02-09,United Arab Emirates,7,0,0,0,0,0
2020-02-10,United Arab Emirates,8,0,1,0,0,0
2020-02-11,United Arab Emirates,8,0,0,0,0,0
2020-02-12,United Arab Emirates,8,0,0,0,0,0
2020-02-13,United Arab Emirates,8,0,0,0,0,0
2020-02-14,United Arab Emirates,8,0,0,0,0,0
2020-02-15,United Arab Emirates,8,0,0,0,0,0
2020-02-16,United Arab Emirates,9,0,1,0,0,0
2020-02-17,United Arab Emirates,9,0,0,0,0,0
2020-02-18,United Arab Emirates,9,0,0,0,0,0
2020-02-19,United Arab Emirates,9,0,0,0,0,0
2020-02-20,United Arab Emirates,9,0,0,0,0,0
2020-02-21,United Arab Emirates,9,0,0,0,0,0
2020-02-22,United Arab Emirates,13,0,4,0,1,0
2020-02-23,United Arab Emirates,13,0,0,0,1,0
2020-02-24,United Arab Emirates,13,0,0,0,1,0
2020-02-25,United Arab Emirates,13,0,0,0,1,0
2020-02-26,United Arab Emirates,13,0,0,0,1,0
2020-02-27,United Arab Emirates,13,0,0,0,1,0
2020-02-28,United Arab Emirates,19,0,6,0,1,0
2020-02-29,United Arab Emirates,21,0,2,0,1,0
2020-03-01,United Arab Emirates,21,0,0,0,1,0
2020-03-02,United Arab Emirates,21,0,0,0,1,0
2020-03-03,United Arab Emirates,27,0,6,0,2,0
2020-03-04,United Arab Emirates,27,0,0,0,2,0
2020-03-05,United Arab Emirates,29,0,2,0,2,0
