Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,United Kingdom,0,0,0,0,0,0
2020-01-23,United Kingdom,0,0,0,0,0,0
2020-01-24,United Kingdom,0,0,0,0,0,0
2020-01-25,United Kingdom,0,0,0,0,0,0
2020-01-26,United Kingdom,0,0,0,0,0,0
2020-01-27,United Kingdom,0,0,0,0,0,0
2020-01-28,United Kingdom,0,0,0,0,0,0
2020-01-29,United Kingdom,0,0,0,0,0,0
2020-01-30,United Kingdom,0,0,0,0,0,0
2020-01-31,United Kingdom,2,0,2,0,0,0
2020-02-01,United Kingdom,2,0,0,0,0,0
2020-02-02,United Kingdom,2,0,0,0,0,0
2020-02-03,United Kingdom,8,0,6,0,1,0
2020-02-04,United Kingdom,8,0,0,0,1,0
2020-02-05,United Kingdom,9,0,1,0,1,0
2020-02-06,United Kingdom,9,0,0,0,1,0
2020-02-07,United Kingdom,9,0,0,0,1,0
2020-02-08,United Kingdom,13,0,4,0,2,0
2020-02-09,United Kingdom,14,0,1,0,2,0
2020-02-10,United Kingdom,14,0,0,0,1,0
2020-02-11,United Kingdom,15,0,1,0,1,0
2020-02-12,United Kingdom,16,0,1,0,1,0
2020-02-13,United Kingdom,17,0,1,0,1,0
2020-02-14,United Kingdom,18,0,1,0,1,0
2020-02-15,United Kingdom,18,0,0,0,1,0
2020-02-16,United Kingdom,18,0,0,0,1,0
2020-02-17,United Kingdom,19,0,1,0,1,0
2020-02-18,United Kingdom,19,0,0,0,1,0
2020-02-19,United Kingdom,20,0,1,0,1,0
2020-02-20,United Kingdom,22,0,2,0,1,0
2020-02-21,United Kingdom,23,0,1,0,1,0
2020-02-22,United Kingdom,23,0,0,0,1,0
2020-02-23,United Kingdom,28,0,5,0,1,0
2020-02-24,United Kingdom,30,0,2,0,2,0
2020-02-25,United Kingdom,34,0,4,0,2,0
2020-02-26,United Kingdom,37,0,3,0,2,0
2020-02-27,United Kingdom,44,0,7,0,3,0
2020-02-28,United Kingdom,56,0,12,0,5,0
2020-02-29,United Kingdom,61,0,5,0,5,0
2020-03-01,United Kingdom,94,0,33,0,9,0
2020-03-02,United Kingdom,134,0,40,0,15,0
2020-03-03,United Kingdom,189,0,55,0,22,0
2020-03-04,United Kingdom,246,0,57,0,30,0
2020-03-05,United Kingdom,295,0,49,0,36,0
2020-03-06,United Kingdom,374,1,79,1,45,0
2020-03-07,United Kingdom,429,2,55,1,53,0
2020-03-08,United Kingdom,483,2,54,0,56,0
2020-03-09,United Kingdom,630,3,147,1,71,0
2020-03-10,United Kingdom,888,7,258,4,100,1
2020-03-11,United Kingdom,1299,7,411,0,150,1
2020-03-12,United Kingdom,1788,9,489,2,213,1
2020-03-13,United Kingdom,2268,10,480,1,271,1
2020-03-14,United Kingdom,2632,29,364,19,315,4
2020-03-15,United Kingdom,3074,43,442,14,370,6
2020-03-16,United Kingdom,3686,66,612,23,437,9
2020-03-17,United Kingdom,4456,83,770,17,510,11
2020-03-18,United Kingdom,5462,118,1006,35,595,16
2020-03-19,United Kingdom,6523,164,1061,46,676,22
2020-03-20,United Kingdom,7778,196,1255,32,787,27
2020-03-21,United Kingdom,8975,254,1197,58,906,32
2020-03-22,United Kingdom,10398,289,1423,35,1046,35
2020-03-23,United Kingdom,12747,365,2349,76,1294,43
2020-03-24,United Kingdom,15139,513,2392,148,1526,61
2020-03-25,United Kingdom,17847,704,2708,191,1769,84
2020-03-26,United Kingdom,20958,885,3111,181,2062,103
2020-03-27,United Kingdom,24203,1174,3245,289,2346,140
2020-03-28,United Kingdom,27055,1466,2852,292,2583,173
2020-03-29,United Kingdom,29949,1678,2894,212,2793,198
2020-03-30,United Kingdom,34251,2054,4302,376,3072,241
2020-03-31,United Kingdom,38788,2457,4537,403,3378,278
2020-04-01,United Kingdom,43755,3130,4967,673,3701,347
2020-04-02,United Kingdom,48694,3787,4939,657,3962,415
2020-04-03,United Kingdom,53645,4524,4951,737,4206,479
2020-04-04,United Kingdom,57739,5281,4094,757,4383,545
2020-04-05,United Kingdom,61359,5883,3620,602,4487,601
2020-04-06,United Kingdom,66715,6452,5356,569,4638,628
2020-04-07,United Kingdom,72199,7559,5484,1107,4773,729
2020-04-08,United Kingdom,77369,8590,5170,1031,4802,780
2020-04-09,United Kingdom,82281,9709,4912,1119,4798,846
2020-04-10,United Kingdom,86620,10832,4339,1123,4711,901
2020-04-11,United Kingdom,90248,11677,3628,845,4644,914
2020-04-12,United Kingdom,93784,12334,3536,657,4632,922
2020-04-13,United Kingdom,97993,13060,4209,726,4468,944
2020-04-14,United Kingdom,102352,14137,4359,1077,4308,940
2020-04-15,United Kingdom,107454,15019,5102,882,4298,918
2020-04-16,United Kingdom,112792,16059,5338,1040,4359,907
2020-04-17,United Kingdom,117777,16973,4985,914,4451,877
2020-04-18,United Kingdom,122508,18083,4731,1110,4609,915
2020-04-19,United Kingdom,126375,18517,3867,434,4656,883
2020-04-20,United Kingdom,131252,19091,4877,574,4751,862
2020-04-21,United Kingdom,136023,20315,4771,1224,4810,883
2020-04-22,United Kingdom,141529,21171,5506,856,4868,879
2020-04-23,United Kingdom,146682,21854,5153,683,4841,828
2020-04-24,United Kingdom,151662,22872,4980,1018,4841,843
2020-04-25,United Kingdom,155445,23689,3783,817,4705,801
2020-04-26,United Kingdom,158920,24053,3475,364,4649,791
2020-04-27,United Kingdom,163627,24376,4707,323,4625,755
2020-04-28,United Kingdom,168351,25346,4724,970,4618,719
2020-04-29,United Kingdom,173796,26115,5445,769,4610,706
2020-04-30,United Kingdom,178765,26750,4969,635,4583,699
2020-05-01,United Kingdom,183500,27449,4735,699,4548,654
2020-05-02,United Kingdom,186726,28036,3226,587,4469,621
2020-05-03,United Kingdom,189702,28290,2976,254,4397,605
2020-05-04,United Kingdom,193086,28564,3384,274,4208,598
2020-05-05,United Kingdom,196775,29290,3689,726,4061,563
2020-05-06,United Kingdom,200612,29937,3837,647,3831,546
2020-05-07,United Kingdom,204383,30395,3771,458,3660,521
2020-05-08,United Kingdom,207435,30975,3052,580,3419,504
2020-05-09,United Kingdom,209585,31250,2150,275,3266,459
2020-05-10,United Kingdom,211907,31467,2322,217,3172,454
2020-05-11,United Kingdom,215495,31655,3588,188,3201,442
2020-05-12,United Kingdom,218892,32270,3397,615,3160,426
2020-05-13,United Kingdom,222191,32717,3299,447,3083,397
2020-05-14,United Kingdom,224809,33071,2618,354,2918,382
2020-05-15,United Kingdom,227330,33422,2521,351,2842,350
2020-05-16,United Kingdom,229397,33833,2067,411,2830,369
2020-05-17,United Kingdom,231223,33900,1826,67,2759,348
2020-05-18,United Kingdom,233799,34046,2576,146,2615,342
2020-05-19,United Kingdom,236862,34546,3063,500,2567,325
2020-05-20,United Kingdom,239572,34874,2710,328,2483,308
2020-05-21,United Kingdom,242126,35148,2554,274,2474,297
2020-05-22,United Kingdom,244170,35440,2044,292,2406,288
2020-05-23,United Kingdom,245678,35660,1508,220,2326,261
2020-05-24,United Kingdom,247033,36039,1355,379,2259,306
2020-05-25,United Kingdom,248645,36143,1612,104,2121,300
2020-05-26,United Kingdom,250304,36274,1659,131,1920,247
2020-05-27,United Kingdom,252113,36696,1809,422,1792,260
2020-05-28,United Kingdom,253849,37039,1736,343,1675,270
2020-05-29,United Kingdom,255358,37313,1509,274,1598,268
2020-05-30,United Kingdom,256465,37467,1107,154,1541,258
2020-05-31,United Kingdom,257535,37527,1070,60,1500,213
2020-06-01,United Kingdom,258979,37613,1444,86,1476,210
2020-06-02,United Kingdom,260449,37862,1470,249,1449,227
2020-06-03,United Kingdom,261797,38116,1348,254,1383,203
2020-06-04,United Kingdom,263035,38247,1238,131,1312,173
