Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Uruguay,0,0,0,0,0,0
2020-01-23,Uruguay,0,0,0,0,0,0
2020-01-24,Uruguay,0,0,0,0,0,0
2020-01-25,Uruguay,0,0,0,0,0,0
2020-01-26,Uruguay,0,0,0,0,0,0
2020-01-27,Uruguay,0,0,0,0,0,0
2020-01-28,Uruguay,0,0,0,0,0,0
2020-01-29,Uruguay,0,0,0,0,0,0
2020-01-30,Uruguay,0,0,0,0,0,0
2020-01-31,Uruguay,0,0,0,0,0,0
2020-02-01,Uruguay,0,0,0,0,0,0
2020-02-02,Uruguay,0,0,0,0,0,0
2020-02-03,Uruguay,0,0,0,0,0,0
2020-02-04,Uruguay,0,0,0,0,0,0
2020-02-05,Uruguay,0,0,0,0,0,0
2020-02-06,Uruguay,0,0,0,0,0,0
2020-02-07,Uruguay,0,0,0,0,0,0
2020-02-08,Uruguay,0,0,0,0,0,0
2020-02-09,Uruguay,0,0,0,0,0,0
2020-02-10,Uruguay,0,0,0,0,0,0
2020-02-11,Uruguay,0,0,0,0,0,0
2020-02-12,Uruguay,0,0,0,0,0,0
2020-02-13,Uruguay,0,0,0,0,0,0
2020-02-14,Uruguay,0,0,0,0,0,0
2020-02-15,Uruguay,0,0,0,0,0,0
2020-02-16,Uruguay,0,0,0,0,0,0
2020-02-17,Uruguay,0,0,0,0,0,0
2020-02-18,Uruguay,0,0,0,0,0,0
2020-02-19,Uruguay,0,0,0,0,0,0
2020-02-20,Uruguay,0,0,0,0,0,0
2020-02-21,Uruguay,0,0,0,0,0,0
2020-02-22,Uruguay,0,0,0,0,0,0
2020-02-23,Uruguay,0,0,0,0,0,0
2020-02-24,Uruguay,0,0,0,0,0,0
2020-02-25,Uruguay,0,0,0,0,0,0
2020-02-26,Uruguay,0,0,0,0,0,0
2020-02-27,Uruguay,0,0,0,0,0,0
2020-02-28,Uruguay,0,0,0,0,0,0
2020-02-29,Uruguay,0,0,0,0,0,0
2020-03-01,Uruguay,0,0,0,0,0,0
2020-03-02,Uruguay,0,0,0,0,0,0
2020-03-03,Uruguay,0,0,0,0,0,0
2020-03-04,Uruguay,0,0,0,0,0,0
2020-03-05,Uruguay,0,0,0,0,0,0
2020-03-06,Uruguay,0,0,0,0,0,0
2020-03-07,Uruguay,0,0,0,0,0,0
2020-03-08,Uruguay,0,0,0,0,0,0
2020-03-09,Uruguay,0,0,0,0,0,0
2020-03-10,Uruguay,0,0,0,0,0,0
2020-03-11,Uruguay,0,0,0,0,0,0
2020-03-12,Uruguay,0,0,0,0,0,0
2020-03-13,Uruguay,4,0,4,0,1,0
2020-03-14,Uruguay,6,0,2,0,1,0
2020-03-15,Uruguay,8,0,2,0,1,0
2020-03-16,Uruguay,29,0,21,0,4,0
2020-03-17,Uruguay,50,0,21,0,7,0
2020-03-18,Uruguay,79,0,29,0,11,0
2020-03-19,Uruguay,94,0,15,0,13,0
2020-03-20,Uruguay,110,0,16,0,15,0
2020-03-21,Uruguay,135,0,25,0,18,0
2020-03-22,Uruguay,158,0,23,0,21,0
2020-03-23,Uruguay,162,0,4,0,19,0
2020-03-24,Uruguay,189,0,27,0,20,0
2020-03-25,Uruguay,217,0,28,0,20,0
2020-03-26,Uruguay,238,0,21,0,21,0
2020-03-27,Uruguay,274,0,36,0,23,0
2020-03-28,Uruguay,303,1,29,1,24,0
2020-03-29,Uruguay,309,1,6,0,22,0
2020-03-30,Uruguay,320,1,11,0,23,0
