Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Uzbekistan,0,0,0,0,0,0
2020-01-23,Uzbekistan,0,0,0,0,0,0
2020-01-24,Uzbekistan,0,0,0,0,0,0
2020-01-25,Uzbekistan,0,0,0,0,0,0
2020-01-26,Uzbekistan,0,0,0,0,0,0
2020-01-27,Uzbekistan,0,0,0,0,0,0
2020-01-28,Uzbekistan,0,0,0,0,0,0
2020-01-29,Uzbekistan,0,0,0,0,0,0
2020-01-30,Uzbekistan,0,0,0,0,0,0
2020-01-31,Uzbekistan,0,0,0,0,0,0
2020-02-01,Uzbekistan,0,0,0,0,0,0
2020-02-02,Uzbekistan,0,0,0,0,0,0
2020-02-03,Uzbekistan,0,0,0,0,0,0
2020-02-04,Uzbekistan,0,0,0,0,0,0
2020-02-05,Uzbekistan,0,0,0,0,0,0
2020-02-06,Uzbekistan,0,0,0,0,0,0
2020-02-07,Uzbekistan,0,0,0,0,0,0
2020-02-08,Uzbekistan,0,0,0,0,0,0
2020-02-09,Uzbekistan,0,0,0,0,0,0
2020-02-10,Uzbekistan,0,0,0,0,0,0
2020-02-11,Uzbekistan,0,0,0,0,0,0
2020-02-12,Uzbekistan,0,0,0,0,0,0
2020-02-13,Uzbekistan,0,0,0,0,0,0
2020-02-14,Uzbekistan,0,0,0,0,0,0
2020-02-15,Uzbekistan,0,0,0,0,0,0
2020-02-16,Uzbekistan,0,0,0,0,0,0
2020-02-17,Uzbekistan,0,0,0,0,0,0
2020-02-18,Uzbekistan,0,0,0,0,0,0
2020-02-19,Uzbekistan,0,0,0,0,0,0
2020-02-20,Uzbekistan,0,0,0,0,0,0
2020-02-21,Uzbekistan,0,0,0,0,0,0
2020-02-22,Uzbekistan,0,0,0,0,0,0
2020-02-23,Uzbekistan,0,0,0,0,0,0
2020-02-24,Uzbekistan,0,0,0,0,0,0
2020-02-25,Uzbekistan,0,0,0,0,0,0
2020-02-26,Uzbekistan,0,0,0,0,0,0
2020-02-27,Uzbekistan,0,0,0,0,0,0
2020-02-28,Uzbekistan,0,0,0,0,0,0
2020-02-29,Uzbekistan,0,0,0,0,0,0
2020-03-01,Uzbekistan,0,0,0,0,0,0
2020-03-02,Uzbekistan,0,0,0,0,0,0
2020-03-03,Uzbekistan,0,0,0,0,0,0
2020-03-04,Uzbekistan,0,0,0,0,0,0
2020-03-05,Uzbekistan,0,0,0,0,0,0
2020-03-06,Uzbekistan,0,0,0,0,0,0
2020-03-07,Uzbekistan,0,0,0,0,0,0
2020-03-08,Uzbekistan,0,0,0,0,0,0
2020-03-09,Uzbekistan,0,0,0,0,0,0
2020-03-10,Uzbekistan,0,0,0,0,0,0
2020-03-11,Uzbekistan,0,0,0,0,0,0
2020-03-12,Uzbekistan,0,0,0,0,0,0
2020-03-13,Uzbekistan,0,0,0,0,0,0
2020-03-14,Uzbekistan,0,0,0,0,0,0
2020-03-15,Uzbekistan,1,0,1,0,0,0
2020-03-16,Uzbekistan,6,0,5,0,1,0
2020-03-17,Uzbekistan,10,0,4,0,1,0
2020-03-18,Uzbekistan,15,0,5,0,2,0
2020-03-19,Uzbekistan,23,0,8,0,3,0
2020-03-20,Uzbekistan,33,0,10,0,5,0
2020-03-21,Uzbekistan,43,0,10,0,6,0
2020-03-22,Uzbekistan,43,0,0,0,6,0
2020-03-23,Uzbekistan,46,0,3,0,6,0
2020-03-24,Uzbekistan,50,0,4,0,6,0
2020-03-25,Uzbekistan,60,0,10,0,6,0
2020-03-26,Uzbekistan,75,0,15,0,7,0
2020-03-27,Uzbekistan,88,1,13,1,8,0
2020-03-28,Uzbekistan,104,2,16,1,9,0
2020-03-29,Uzbekistan,144,2,40,0,14,0
2020-03-30,Uzbekistan,149,2,5,0,15,0
2020-03-31,Uzbekistan,172,2,23,0,17,0
2020-04-01,Uzbekistan,181,2,9,0,17,0
2020-04-02,Uzbekistan,205,2,24,0,19,0
2020-04-03,Uzbekistan,227,2,22,0,20,0
2020-04-04,Uzbekistan,266,2,39,0,23,0
2020-04-05,Uzbekistan,342,2,76,0,28,0
2020-04-06,Uzbekistan,457,2,115,0,44,0
2020-04-07,Uzbekistan,520,2,63,0,50,0
2020-04-08,Uzbekistan,545,3,25,1,52,0
2020-04-09,Uzbekistan,582,3,37,0,54,0
2020-04-10,Uzbekistan,624,3,42,0,57,0
2020-04-11,Uzbekistan,767,4,143,1,72,0
2020-04-12,Uzbekistan,865,4,98,0,75,0
2020-04-13,Uzbekistan,998,4,133,0,77,0
2020-04-14,Uzbekistan,1165,4,167,0,92,0
2020-04-15,Uzbekistan,1302,4,137,0,108,0
2020-04-16,Uzbekistan,1349,4,47,0,110,0
2020-04-17,Uzbekistan,1405,4,56,0,112,0
2020-04-18,Uzbekistan,1490,5,85,1,103,0
2020-04-19,Uzbekistan,1565,5,75,0,100,0
2020-04-20,Uzbekistan,1627,5,62,0,90,0
2020-04-21,Uzbekistan,1678,6,51,1,73,0
2020-04-22,Uzbekistan,1716,7,38,1,59,0
2020-04-23,Uzbekistan,1758,7,42,0,58,0
2020-04-24,Uzbekistan,1804,8,46,1,57,1
2020-04-25,Uzbekistan,1862,8,58,0,53,0
2020-04-26,Uzbekistan,1869,8,7,0,43,0
2020-04-27,Uzbekistan,1904,8,35,0,40,0
2020-04-28,Uzbekistan,1939,8,35,0,37,0
2020-04-29,Uzbekistan,2002,9,63,1,41,0
2020-04-30,Uzbekistan,2039,9,37,0,40,0
2020-05-01,Uzbekistan,2086,9,47,0,40,0
2020-05-02,Uzbekistan,2118,9,32,0,37,0
2020-05-03,Uzbekistan,2149,10,31,1,40,0
2020-05-04,Uzbekistan,2189,10,40,0,41,0
2020-05-05,Uzbekistan,2207,10,18,0,38,0
2020-05-06,Uzbekistan,2233,10,26,0,33,0
2020-05-07,Uzbekistan,2298,10,65,0,37,0
2020-05-08,Uzbekistan,2325,10,27,0,34,0
2020-05-09,Uzbekistan,2349,10,24,0,33,0
2020-05-10,Uzbekistan,2418,10,69,0,38,0
2020-05-11,Uzbekistan,2486,10,68,0,42,0
2020-05-12,Uzbekistan,2519,10,33,0,45,0
2020-05-13,Uzbekistan,2612,11,93,1,54,0
2020-05-14,Uzbekistan,2645,11,33,0,50,0
2020-05-15,Uzbekistan,2686,11,41,0,52,0
2020-05-16,Uzbekistan,2738,11,52,0,56,0
2020-05-17,Uzbekistan,2753,12,15,1,48,0
2020-05-18,Uzbekistan,2791,13,38,1,44,0
2020-05-19,Uzbekistan,2855,13,64,0,48,0
2020-05-20,Uzbekistan,2939,13,84,0,47,0
2020-05-21,Uzbekistan,2964,13,25,0,46,0
2020-05-22,Uzbekistan,3028,13,64,0,49,0
2020-05-23,Uzbekistan,3115,13,87,0,54,0
2020-05-24,Uzbekistan,3164,13,49,0,59,0
2020-05-25,Uzbekistan,3189,13,25,0,57,0
2020-05-26,Uzbekistan,3290,14,101,1,62,0
2020-05-27,Uzbekistan,3369,14,79,0,61,0
2020-05-28,Uzbekistan,3444,14,75,0,69,0
2020-05-29,Uzbekistan,3468,14,24,0,63,0
2020-05-30,Uzbekistan,3546,14,78,0,62,0
2020-05-31,Uzbekistan,3623,15,77,1,66,0
2020-06-01,Uzbekistan,3702,15,79,0,73,0
2020-06-02,Uzbekistan,3760,15,58,0,67,0
2020-06-03,Uzbekistan,3843,16,83,1,68,0
2020-06-04,Uzbekistan,3939,16,96,0,71,0
2020-06-05,Uzbekistan,4007,16,68,0,77,0
2020-06-06,Uzbekistan,4094,17,87,1,78,0
2020-06-07,Uzbekistan,4331,17,237,0,101,0
2020-06-08,Uzbekistan,4440,18,109,1,105,0
2020-06-09,Uzbekistan,4520,18,80,0,109,0
2020-06-10,Uzbekistan,4623,19,103,1,111,0
2020-06-11,Uzbekistan,4741,19,118,0,115,0
2020-06-12,Uzbekistan,4869,19,128,0,123,0
