Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Venezuela,0,0,0,0,0,0
2020-01-23,Venezuela,0,0,0,0,0,0
2020-01-24,Venezuela,0,0,0,0,0,0
2020-01-25,Venezuela,0,0,0,0,0,0
2020-01-26,Venezuela,0,0,0,0,0,0
2020-01-27,Venezuela,0,0,0,0,0,0
2020-01-28,Venezuela,0,0,0,0,0,0
2020-01-29,Venezuela,0,0,0,0,0,0
2020-01-30,Venezuela,0,0,0,0,0,0
2020-01-31,Venezuela,0,0,0,0,0,0
2020-02-01,Venezuela,0,0,0,0,0,0
2020-02-02,Venezuela,0,0,0,0,0,0
2020-02-03,Venezuela,0,0,0,0,0,0
2020-02-04,Venezuela,0,0,0,0,0,0
2020-02-05,Venezuela,0,0,0,0,0,0
2020-02-06,Venezuela,0,0,0,0,0,0
2020-02-07,Venezuela,0,0,0,0,0,0
2020-02-08,Venezuela,0,0,0,0,0,0
2020-02-09,Venezuela,0,0,0,0,0,0
2020-02-10,Venezuela,0,0,0,0,0,0
2020-02-11,Venezuela,0,0,0,0,0,0
2020-02-12,Venezuela,0,0,0,0,0,0
2020-02-13,Venezuela,0,0,0,0,0,0
2020-02-14,Venezuela,0,0,0,0,0,0
2020-02-15,Venezuela,0,0,0,0,0,0
2020-02-16,Venezuela,0,0,0,0,0,0
2020-02-17,Venezuela,0,0,0,0,0,0
2020-02-18,Venezuela,0,0,0,0,0,0
2020-02-19,Venezuela,0,0,0,0,0,0
2020-02-20,Venezuela,0,0,0,0,0,0
2020-02-21,Venezuela,0,0,0,0,0,0
2020-02-22,Venezuela,0,0,0,0,0,0
2020-02-23,Venezuela,0,0,0,0,0,0
2020-02-24,Venezuela,0,0,0,0,0,0
2020-02-25,Venezuela,0,0,0,0,0,0
2020-02-26,Venezuela,0,0,0,0,0,0
2020-02-27,Venezuela,0,0,0,0,0,0
2020-02-28,Venezuela,0,0,0,0,0,0
2020-02-29,Venezuela,0,0,0,0,0,0
2020-03-01,Venezuela,0,0,0,0,0,0
2020-03-02,Venezuela,0,0,0,0,0,0
2020-03-03,Venezuela,0,0,0,0,0,0
2020-03-04,Venezuela,0,0,0,0,0,0
2020-03-05,Venezuela,0,0,0,0,0,0
2020-03-06,Venezuela,0,0,0,0,0,0
2020-03-07,Venezuela,0,0,0,0,0,0
2020-03-08,Venezuela,0,0,0,0,0,0
2020-03-09,Venezuela,0,0,0,0,0,0
2020-03-10,Venezuela,0,0,0,0,0,0
2020-03-11,Venezuela,0,0,0,0,0,0
2020-03-12,Venezuela,0,0,0,0,0,0
2020-03-13,Venezuela,0,0,0,0,0,0
2020-03-14,Venezuela,2,0,2,0,0,0
2020-03-15,Venezuela,10,0,8,0,1,0
2020-03-16,Venezuela,17,0,7,0,2,0
2020-03-17,Venezuela,33,0,16,0,5,0
2020-03-18,Venezuela,36,0,3,0,5,0
2020-03-19,Venezuela,42,0,6,0,6,0
2020-03-20,Venezuela,42,0,0,0,6,0
2020-03-21,Venezuela,70,0,28,0,10,0
2020-03-22,Venezuela,70,0,0,0,9,0
2020-03-23,Venezuela,77,0,7,0,9,0
2020-03-24,Venezuela,84,0,7,0,7,0
2020-03-25,Venezuela,91,0,7,0,8,0
2020-03-26,Venezuela,107,0,16,0,9,0
2020-03-27,Venezuela,107,1,0,1,9,0
2020-03-28,Venezuela,119,2,12,1,7,0
2020-03-29,Venezuela,119,2,0,0,7,0
2020-03-30,Venezuela,135,3,16,1,8,0
2020-03-31,Venezuela,135,3,0,0,7,0
2020-04-01,Venezuela,143,3,8,0,7,0
2020-04-02,Venezuela,146,5,3,2,6,1
2020-04-03,Venezuela,153,7,7,2,7,1
2020-04-04,Venezuela,155,7,2,0,5,1
2020-04-05,Venezuela,159,7,4,0,6,1
2020-04-06,Venezuela,165,7,6,0,4,1
2020-04-07,Venezuela,165,7,0,0,4,1
2020-04-08,Venezuela,167,9,2,2,3,1
2020-04-09,Venezuela,171,9,4,0,4,1
2020-04-10,Venezuela,171,9,0,0,3,0
2020-04-11,Venezuela,175,9,4,0,3,0
2020-04-12,Venezuela,181,9,6,0,3,0
2020-04-13,Venezuela,189,9,8,0,3,0
