Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Winter Olympics 2022,0,0,0,0,0,0
2020-01-23,Winter Olympics 2022,0,0,0,0,0,0
2020-01-24,Winter Olympics 2022,0,0,0,0,0,0
2020-01-25,Winter Olympics 2022,0,0,0,0,0,0
2020-01-26,Winter Olympics 2022,0,0,0,0,0,0
2020-01-27,Winter Olympics 2022,0,0,0,0,0,0
2020-01-28,Winter Olympics 2022,0,0,0,0,0,0
2020-01-29,Winter Olympics 2022,0,0,0,0,0,0
2020-01-30,Winter Olympics 2022,0,0,0,0,0,0
2020-01-31,Winter Olympics 2022,0,0,0,0,0,0
2020-02-01,Winter Olympics 2022,0,0,0,0,0,0
2020-02-02,Winter Olympics 2022,0,0,0,0,0,0
2020-02-03,Winter Olympics 2022,0,0,0,0,0,0
2020-02-04,Winter Olympics 2022,0,0,0,0,0,0
2020-02-05,Winter Olympics 2022,0,0,0,0,0,0
2020-02-06,Winter Olympics 2022,0,0,0,0,0,0
2020-02-07,Winter Olympics 2022,0,0,0,0,0,0
2020-02-08,Winter Olympics 2022,0,0,0,0,0,0
2020-02-09,Winter Olympics 2022,0,0,0,0,0,0
2020-02-10,Winter Olympics 2022,0,0,0,0,0,0
2020-02-11,Winter Olympics 2022,0,0,0,0,0,0
2020-02-12,Winter Olympics 2022,0,0,0,0,0,0
2020-02-13,Winter Olympics 2022,0,0,0,0,0,0
2020-02-14,Winter Olympics 2022,0,0,0,0,0,0
2020-02-15,Winter Olympics 2022,0,0,0,0,0,0
2020-02-16,Winter Olympics 2022,0,0,0,0,0,0
2020-02-17,Winter Olympics 2022,0,0,0,0,0,0
2020-02-18,Winter Olympics 2022,0,0,0,0,0,0
2020-02-19,Winter Olympics 2022,0,0,0,0,0,0
2020-02-20,Winter Olympics 2022,0,0,0,0,0,0
2020-02-21,Winter Olympics 2022,0,0,0,0,0,0
2020-02-22,Winter Olympics 2022,0,0,0,0,0,0
2020-02-23,Winter Olympics 2022,0,0,0,0,0,0
2020-02-24,Winter Olympics 2022,0,0,0,0,0,0
2020-02-25,Winter Olympics 2022,0,0,0,0,0,0
2020-02-26,Winter Olympics 2022,0,0,0,0,0,0
2020-02-27,Winter Olympics 2022,0,0,0,0,0,0
2020-02-28,Winter Olympics 2022,0,0,0,0,0,0
2020-02-29,Winter Olympics 2022,0,0,0,0,0,0
2020-03-01,Winter Olympics 2022,0,0,0,0,0,0
2020-03-02,Winter Olympics 2022,0,0,0,0,0,0
2020-03-03,Winter Olympics 2022,0,0,0,0,0,0
2020-03-04,Winter Olympics 2022,0,0,0,0,0,0
2020-03-05,Winter Olympics 2022,0,0,0,0,0,0
2020-03-06,Winter Olympics 2022,0,0,0,0,0,0
2020-03-07,Winter Olympics 2022,0,0,0,0,0,0
2020-03-08,Winter Olympics 2022,0,0,0,0,0,0
2020-03-09,Winter Olympics 2022,0,0,0,0,0,0
2020-03-10,Winter Olympics 2022,0,0,0,0,0,0
2020-03-11,Winter Olympics 2022,0,0,0,0,0,0
2020-03-12,Winter Olympics 2022,0,0,0,0,0,0
2020-03-13,Winter Olympics 2022,0,0,0,0,0,0
2020-03-14,Winter Olympics 2022,0,0,0,0,0,0
2020-03-15,Winter Olympics 2022,0,0,0,0,0,0
2020-03-16,Winter Olympics 2022,0,0,0,0,0,0
2020-03-17,Winter Olympics 2022,0,0,0,0,0,0
2020-03-18,Winter Olympics 2022,0,0,0,0,0,0
2020-03-19,Winter Olympics 2022,0,0,0,0,0,0
2020-03-20,Winter Olympics 2022,0,0,0,0,0,0
2020-03-21,Winter Olympics 2022,0,0,0,0,0,0
2020-03-22,Winter Olympics 2022,0,0,0,0,0,0
2020-03-23,Winter Olympics 2022,0,0,0,0,0,0
2020-03-24,Winter Olympics 2022,0,0,0,0,0,0
2020-03-25,Winter Olympics 2022,0,0,0,0,0,0
2020-03-26,Winter Olympics 2022,0,0,0,0,0,0
2020-03-27,Winter Olympics 2022,0,0,0,0,0,0
2020-03-28,Winter Olympics 2022,0,0,0,0,0,0
2020-03-29,Winter Olympics 2022,0,0,0,0,0,0
2020-03-30,Winter Olympics 2022,0,0,0,0,0,0
2020-03-31,Winter Olympics 2022,0,0,0,0,0,0
2020-04-01,Winter Olympics 2022,0,0,0,0,0,0
2020-04-02,Winter Olympics 2022,0,0,0,0,0,0
2020-04-03,Winter Olympics 2022,0,0,0,0,0,0
2020-04-04,Winter Olympics 2022,0,0,0,0,0,0
2020-04-05,Winter Olympics 2022,0,0,0,0,0,0
2020-04-06,Winter Olympics 2022,0,0,0,0,0,0
2020-04-07,Winter Olympics 2022,0,0,0,0,0,0
2020-04-08,Winter Olympics 2022,0,0,0,0,0,0
2020-04-09,Winter Olympics 2022,0,0,0,0,0,0
2020-04-10,Winter Olympics 2022,0,0,0,0,0,0
2020-04-11,Winter Olympics 2022,0,0,0,0,0,0
2020-04-12,Winter Olympics 2022,0,0,0,0,0,0
2020-04-13,Winter Olympics 2022,0,0,0,0,0,0
2020-04-14,Winter Olympics 2022,0,0,0,0,0,0
2020-04-15,Winter Olympics 2022,0,0,0,0,0,0
2020-04-16,Winter Olympics 2022,0,0,0,0,0,0
2020-04-17,Winter Olympics 2022,0,0,0,0,0,0
2020-04-18,Winter Olympics 2022,0,0,0,0,0,0
2020-04-19,Winter Olympics 2022,0,0,0,0,0,0
2020-04-20,Winter Olympics 2022,0,0,0,0,0,0
2020-04-21,Winter Olympics 2022,0,0,0,0,0,0
2020-04-22,Winter Olympics 2022,0,0,0,0,0,0
2020-04-23,Winter Olympics 2022,0,0,0,0,0,0
2020-04-24,Winter Olympics 2022,0,0,0,0,0,0
2020-04-25,Winter Olympics 2022,0,0,0,0,0,0
2020-04-26,Winter Olympics 2022,0,0,0,0,0,0
2020-04-27,Winter Olympics 2022,0,0,0,0,0,0
2020-04-28,Winter Olympics 2022,0,0,0,0,0,0
2020-04-29,Winter Olympics 2022,0,0,0,0,0,0
2020-04-30,Winter Olympics 2022,0,0,0,0,0,0
2020-05-01,Winter Olympics 2022,0,0,0,0,0,0
2020-05-02,Winter Olympics 2022,0,0,0,0,0,0
2020-05-03,Winter Olympics 2022,0,0,0,0,0,0
2020-05-04,Winter Olympics 2022,0,0,0,0,0,0
2020-05-05,Winter Olympics 2022,0,0,0,0,0,0
2020-05-06,Winter Olympics 2022,0,0,0,0,0,0
2020-05-07,Winter Olympics 2022,0,0,0,0,0,0
2020-05-08,Winter Olympics 2022,0,0,0,0,0,0
2020-05-09,Winter Olympics 2022,0,0,0,0,0,0
2020-05-10,Winter Olympics 2022,0,0,0,0,0,0
2020-05-11,Winter Olympics 2022,0,0,0,0,0,0
2020-05-12,Winter Olympics 2022,0,0,0,0,0,0
2020-05-13,Winter Olympics 2022,0,0,0,0,0,0
2020-05-14,Winter Olympics 2022,0,0,0,0,0,0
2020-05-15,Winter Olympics 2022,0,0,0,0,0,0
2020-05-16,Winter Olympics 2022,0,0,0,0,0,0
2020-05-17,Winter Olympics 2022,0,0,0,0,0,0
2020-05-18,Winter Olympics 2022,0,0,0,0,0,0
2020-05-19,Winter Olympics 2022,0,0,0,0,0,0
2020-05-20,Winter Olympics 2022,0,0,0,0,0,0
2020-05-21,Winter Olympics 2022,0,0,0,0,0,0
2020-05-22,Winter Olympics 2022,0,0,0,0,0,0
2020-05-23,Winter Olympics 2022,0,0,0,0,0,0
2020-05-24,Winter Olympics 2022,0,0,0,0,0,0
2020-05-25,Winter Olympics 2022,0,0,0,0,0,0
2020-05-26,Winter Olympics 2022,0,0,0,0,0,0
2020-05-27,Winter Olympics 2022,0,0,0,0,0,0
2020-05-28,Winter Olympics 2022,0,0,0,0,0,0
2020-05-29,Winter Olympics 2022,0,0,0,0,0,0
2020-05-30,Winter Olympics 2022,0,0,0,0,0,0
2020-05-31,Winter Olympics 2022,0,0,0,0,0,0
2020-06-01,Winter Olympics 2022,0,0,0,0,0,0
2020-06-02,Winter Olympics 2022,0,0,0,0,0,0
2020-06-03,Winter Olympics 2022,0,0,0,0,0,0
2020-06-04,Winter Olympics 2022,0,0,0,0,0,0
2020-06-05,Winter Olympics 2022,0,0,0,0,0,0
2020-06-06,Winter Olympics 2022,0,0,0,0,0,0
2020-06-07,Winter Olympics 2022,0,0,0,0,0,0
2020-06-08,Winter Olympics 2022,0,0,0,0,0,0
2020-06-09,Winter Olympics 2022,0,0,0,0,0,0
2020-06-10,Winter Olympics 2022,0,0,0,0,0,0
2020-06-11,Winter Olympics 2022,0,0,0,0,0,0
2020-06-12,Winter Olympics 2022,0,0,0,0,0,0
2020-06-13,Winter Olympics 2022,0,0,0,0,0,0
2020-06-14,Winter Olympics 2022,0,0,0,0,0,0
2020-06-15,Winter Olympics 2022,0,0,0,0,0,0
2020-06-16,Winter Olympics 2022,0,0,0,0,0,0
2020-06-17,Winter Olympics 2022,0,0,0,0,0,0
2020-06-18,Winter Olympics 2022,0,0,0,0,0,0
2020-06-19,Winter Olympics 2022,0,0,0,0,0,0
2020-06-20,Winter Olympics 2022,0,0,0,0,0,0
2020-06-21,Winter Olympics 2022,0,0,0,0,0,0
2020-06-22,Winter Olympics 2022,0,0,0,0,0,0
2020-06-23,Winter Olympics 2022,0,0,0,0,0,0
2020-06-24,Winter Olympics 2022,0,0,0,0,0,0
2020-06-25,Winter Olympics 2022,0,0,0,0,0,0
2020-06-26,Winter Olympics 2022,0,0,0,0,0,0
2020-06-27,Winter Olympics 2022,0,0,0,0,0,0
2020-06-28,Winter Olympics 2022,0,0,0,0,0,0
2020-06-29,Winter Olympics 2022,0,0,0,0,0,0
2020-06-30,Winter Olympics 2022,0,0,0,0,0,0
2020-07-01,Winter Olympics 2022,0,0,0,0,0,0
2020-07-02,Winter Olympics 2022,0,0,0,0,0,0
2020-07-03,Winter Olympics 2022,0,0,0,0,0,0
2020-07-04,Winter Olympics 2022,0,0,0,0,0,0
2020-07-05,Winter Olympics 2022,0,0,0,0,0,0
2020-07-06,Winter Olympics 2022,0,0,0,0,0,0
2020-07-07,Winter Olympics 2022,0,0,0,0,0,0
2020-07-08,Winter Olympics 2022,0,0,0,0,0,0
2020-07-09,Winter Olympics 2022,0,0,0,0,0,0
2020-07-10,Winter Olympics 2022,0,0,0,0,0,0
2020-07-11,Winter Olympics 2022,0,0,0,0,0,0
2020-07-12,Winter Olympics 2022,0,0,0,0,0,0
2020-07-13,Winter Olympics 2022,0,0,0,0,0,0
2020-07-14,Winter Olympics 2022,0,0,0,0,0,0
2020-07-15,Winter Olympics 2022,0,0,0,0,0,0
