Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Zimbabwe,0,0,0,0,0,0
2020-01-23,Zimbabwe,0,0,0,0,0,0
2020-01-24,Zimbabwe,0,0,0,0,0,0
2020-01-25,Zimbabwe,0,0,0,0,0,0
2020-01-26,Zimbabwe,0,0,0,0,0,0
2020-01-27,Zimbabwe,0,0,0,0,0,0
2020-01-28,Zimbabwe,0,0,0,0,0,0
2020-01-29,Zimbabwe,0,0,0,0,0,0
2020-01-30,Zimbabwe,0,0,0,0,0,0
2020-01-31,Zimbabwe,0,0,0,0,0,0
2020-02-01,Zimbabwe,0,0,0,0,0,0
2020-02-02,Zimbabwe,0,0,0,0,0,0
2020-02-03,Zimbabwe,0,0,0,0,0,0
2020-02-04,Zimbabwe,0,0,0,0,0,0
2020-02-05,Zimbabwe,0,0,0,0,0,0
2020-02-06,Zimbabwe,0,0,0,0,0,0
2020-02-07,Zimbabwe,0,0,0,0,0,0
2020-02-08,Zimbabwe,0,0,0,0,0,0
2020-02-09,Zimbabwe,0,0,0,0,0,0
2020-02-10,Zimbabwe,0,0,0,0,0,0
2020-02-11,Zimbabwe,0,0,0,0,0,0
2020-02-12,Zimbabwe,0,0,0,0,0,0
2020-02-13,Zimbabwe,0,0,0,0,0,0
2020-02-14,Zimbabwe,0,0,0,0,0,0
2020-02-15,Zimbabwe,0,0,0,0,0,0
2020-02-16,Zimbabwe,0,0,0,0,0,0
2020-02-17,Zimbabwe,0,0,0,0,0,0
2020-02-18,Zimbabwe,0,0,0,0,0,0
2020-02-19,Zimbabwe,0,0,0,0,0,0
2020-02-20,Zimbabwe,0,0,0,0,0,0
2020-02-21,Zimbabwe,0,0,0,0,0,0
2020-02-22,Zimbabwe,0,0,0,0,0,0
2020-02-23,Zimbabwe,0,0,0,0,0,0
2020-02-24,Zimbabwe,0,0,0,0,0,0
2020-02-25,Zimbabwe,0,0,0,0,0,0
2020-02-26,Zimbabwe,0,0,0,0,0,0
2020-02-27,Zimbabwe,0,0,0,0,0,0
2020-02-28,Zimbabwe,0,0,0,0,0,0
2020-02-29,Zimbabwe,0,0,0,0,0,0
2020-03-01,Zimbabwe,0,0,0,0,0,0
2020-03-02,Zimbabwe,0,0,0,0,0,0
2020-03-03,Zimbabwe,0,0,0,0,0,0
2020-03-04,Zimbabwe,0,0,0,0,0,0
2020-03-05,Zimbabwe,0,0,0,0,0,0
2020-03-06,Zimbabwe,0,0,0,0,0,0
2020-03-07,Zimbabwe,0,0,0,0,0,0
2020-03-08,Zimbabwe,0,0,0,0,0,0
2020-03-09,Zimbabwe,0,0,0,0,0,0
2020-03-10,Zimbabwe,0,0,0,0,0,0
2020-03-11,Zimbabwe,0,0,0,0,0,0
2020-03-12,Zimbabwe,0,0,0,0,0,0
2020-03-13,Zimbabwe,0,0,0,0,0,0
2020-03-14,Zimbabwe,0,0,0,0,0,0
2020-03-15,Zimbabwe,0,0,0,0,0,0
2020-03-16,Zimbabwe,0,0,0,0,0,0
2020-03-17,Zimbabwe,0,0,0,0,0,0
2020-03-18,Zimbabwe,0,0,0,0,0,0
2020-03-19,Zimbabwe,0,0,0,0,0,0
2020-03-20,Zimbabwe,1,0,1,0,0,0
