Date,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,557,17,0,0,0,0
2020-01-23,657,18,100,1,0,0
2020-01-24,944,26,287,8,0,0
2020-01-25,1437,42,493,16,0,0
2020-01-26,2120,56,683,14,0,0
2020-01-27,2929,82,809,26,0,0
2020-01-28,5580,131,2651,49,718,16
2020-01-29,6169,133,589,2,802,17
2020-01-30,8237,171,2068,38,1083,22
2020-01-31,9927,213,1690,42,1283,27
2020-02-01,12038,259,2111,46,1514,31
2020-02-02,16787,362,4749,103,2095,44
2020-02-03,19887,426,3100,64,2423,49
2020-02-04,23899,492,4012,66,2617,52
2020-02-05,27644,564,3745,72,3068,62
2020-02-06,30806,634,3162,70,3224,66
2020-02-07,34400,719,3594,85,3496,72
2020-02-08,37131,806,2731,87,3585,78
2020-02-09,40162,906,3031,100,3339,78
2020-02-10,42771,1013,2609,107,3269,84
2020-02-11,44814,1113,2043,100,2988,89
2020-02-12,45232,1118,418,5,2513,79
2020-02-13,60384,1371,15152,253,4225,105
2020-02-14,66912,1523,6528,152,4645,115
2020-02-15,69055,1666,2143,143,4561,123
2020-02-16,71238,1770,2183,104,4439,123
2020-02-17,73273,1868,2035,98,4357,122
2020-02-18,75155,2008,1882,140,4334,128
2020-02-19,75655,2123,500,115,4346,144
2020-02-20,76216,2248,561,125,2262,125
2020-02-21,76846,2252,630,4,1419,104
2020-02-22,78608,2459,1762,207,1365,113
2020-02-23,78990,2470,382,11,1107,100
2020-02-24,79558,2630,568,160,898,109
2020-02-25,80412,2710,854,80,751,100
2020-02-26,81385,2771,973,61,819,93
2020-02-27,82730,2814,1345,43,931,81
2020-02-28,84154,2873,1424,59,1044,89
2020-02-29,86030,2943,1876,70,1060,69
2020-03-01,88410,2997,2380,54,1346,75
2020-03-02,90393,3086,1983,89,1548,65
2020-03-03,93004,3160,2611,74,1799,64
2020-03-04,95329,3255,2325,95,1992,69
2020-03-05,98046,3348,2717,93,2188,76
2020-03-06,101976,3461,3930,113,2546,84
2020-03-07,106122,3566,4146,105,2870,89
2020-03-08,109972,3807,3850,241,3080,116
2020-03-09,114299,3997,4327,190,3415,130
2020-03-10,119108,4273,4809,276,3729,159
2020-03-11,126628,4618,7520,345,4471,195
2020-03-12,133383,4930,6755,312,5048,226
2020-03-13,146673,5420,13290,490,6385,280
2020-03-14,157617,5843,10944,423,7356,325
2020-03-15,168876,6496,11259,653,8415,384
2020-03-16,183394,7178,14518,682,9871,454
2020-03-17,198691,7989,15297,811,11369,531
2020-03-18,216348,8907,17657,918,12817,613
2020-03-19,243464,10017,27116,1110,15726,727
2020-03-20,273008,11504,29544,1487,18048,869
2020-03-21,305423,13233,32415,1729,21115,1056
2020-03-22,339895,14919,34472,1686,24431,1203
2020-03-23,382799,16886,42904,1967,28486,1387
2020-03-24,424883,19201,42084,2315,32313,1602
2020-03-25,475998,22022,51115,2821,37093,1874
2020-03-26,537412,25058,61414,3036,41993,2149
2020-03-27,601349,28538,63937,3480,46906,2433
2020-03-28,670495,32374,69146,3836,52153,2734
2020-03-29,726726,35838,56231,3464,55262,2988
2020-03-30,791975,39895,65249,4057,58454,3287
2020-03-31,870403,44661,78428,4766,63646,3637
2020-04-01,951968,50714,81565,6053,67996,4099
2020-04-02,1034275,56593,82307,5879,70980,4505
2020-04-03,1118277,62818,84002,6225,73847,4897
2020-04-04,1178363,68781,60086,5963,72553,5201
2020-04-05,1250388,74091,72025,5310,74809,5465
2020-04-06,1324899,79957,74511,5866,76132,5723
2020-04-07,1393878,88306,68979,8349,74782,6235
2020-04-08,1475875,95132,81997,6826,74844,6345
2020-04-09,1562641,103003,86766,7871,75481,6630
2020-04-10,1649186,110565,86545,7562,75844,6821
2020-04-11,1724605,117084,75419,6519,78035,6900
2020-04-12,1843412,122922,118807,5838,84718,6976
2020-04-13,1915034,128975,71622,6053,84305,7003
2020-04-14,1999558,136189,84524,7214,86526,6840
2020-04-15,2077371,144551,77813,8362,85928,7060
2020-04-16,2171785,152026,94414,7475,87021,7003
2020-04-17,2259607,160597,87822,8571,87203,7147
2020-04-18,2337796,166983,78189,6386,87599,7128
2020-04-19,2414457,172419,76661,5436,81578,7071
2020-04-20,2490365,178322,75908,5903,82190,7050
2020-04-21,2566638,185709,76273,7387,81011,7074
2020-04-22,2648575,192772,81937,7063,81601,6889
2020-04-23,2731191,199676,82616,6904,79915,6807
2020-04-24,2815227,206617,84036,6941,79374,6574
2020-04-25,2898734,212567,83507,5950,80134,6512
2020-04-26,2969606,216860,70872,4293,79307,6349
2020-04-27,3040528,221730,70922,4870,78595,6201
2020-04-28,3116384,228524,75856,6794,78535,6116
2020-04-29,3193728,235484,77344,6960,77879,6102
2020-04-30,3277569,241546,83841,6062,78054,5981
