Date,daily_cases,daily_cases_7d_avg
2020-01-22,548.0,0
2020-01-23,95.0,0
2020-01-24,277.0,0
2020-01-25,486.0,0
2020-01-26,669.0,0
2020-01-27,802.0,0
2020-01-28,2632.0,787
2020-01-29,578.0,791
2020-01-30,2054.0,1071
2020-01-31,1661.0,1269
2020-02-01,2089.0,1498
2020-02-02,4739.0,2079
2020-02-03,3086.0,2406
2020-02-04,3991.0,2600
2020-02-05,3733.0,3050
2020-02-06,3147.0,3207
2020-02-07,3523.0,3473
2020-02-08,2704.0,3560
2020-02-09,3015.0,3314
2020-02-10,2525.0,3234
2020-02-11,2032.0,2954
2020-02-12,373.0,2474
2020-02-13,15136.0,4187
2020-02-14,6463.0,4607
2020-02-15,2055.0,4514
2020-02-16,2100.0,4383
2020-02-17,1921.0,4297
2020-02-18,1777.0,4261
2020-02-19,408.0,4266
2020-02-20,458.0,2169
2020-02-21,473.0,1313
2020-02-22,1451.0,1227
2020-02-23,21.0,930
2020-02-24,219.0,687
2020-02-25,513.0,506
2020-02-26,412.0,507
2020-02-27,434.0,503
2020-02-28,328.0,483
2020-02-29,428.0,336
2020-03-01,576.0,416
2020-03-02,204.0,414
2020-03-03,125.0,358
2020-03-04,125.0,317
2020-03-05,151.0,277
2020-03-06,153.0,252
2020-03-07,80.0,202
2020-03-08,53.0,127
2020-03-09,37.0,103
2020-03-10,27.0,89
2020-03-11,34.0,76
2020-03-12,11.0,56
2020-03-13,13.0,36
2020-03-14,32.0,30
2020-03-15,26.0,26
2020-03-16,30.0,25
2020-03-17,25.0,24
2020-03-18,44.0,26
2020-03-19,54.0,32
2020-03-20,94.0,44
2020-03-21,55.0,47
2020-03-22,130.0,62
2020-03-23,58.0,66
2020-03-24,94.0,76
2020-03-25,71.0,79
2020-03-26,123.0,89
2020-03-27,91.0,89
2020-03-28,92.0,94
2020-03-29,94.0,89
2020-03-30,81.0,92
2020-03-31,1647.0,314
2020-04-01,216.0,335
2020-04-02,127.0,335
2020-04-03,136.0,342
2020-04-04,98.0,343
