Date,daily_cases,daily_cases_7d_avg
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,2.0,0
2020-01-25,1.0,0
2020-01-26,0.0,0
2020-01-27,0.0,0
2020-01-28,1.0,1
2020-01-29,1.0,1
2020-01-30,0.0,1
2020-01-31,0.0,0
2020-02-01,1.0,0
2020-02-02,0.0,0
2020-02-03,0.0,0
2020-02-04,0.0,0
2020-02-05,0.0,0
2020-02-06,0.0,0
2020-02-07,0.0,0
2020-02-08,5.0,1
2020-02-09,0.0,1
2020-02-10,0.0,1
2020-02-11,0.0,1
2020-02-12,0.0,1
2020-02-13,0.0,1
2020-02-14,0.0,1
2020-02-15,1.0,0
2020-02-16,0.0,0
2020-02-17,0.0,0
2020-02-18,0.0,0
2020-02-19,0.0,0
2020-02-20,0.0,0
2020-02-21,0.0,0
2020-02-22,0.0,0
2020-02-23,0.0,0
2020-02-24,0.0,0
2020-02-25,2.0,0
2020-02-26,4.0,1
2020-02-27,20.0,4
2020-02-28,19.0,6
2020-02-29,43.0,13
2020-03-01,30.0,17
2020-03-02,61.0,26
2020-03-03,21.0,28
2020-03-04,76.0,39
2020-03-05,138.0,55
2020-03-06,190.0,80
2020-03-07,332.0,121
2020-03-08,177.0,142
2020-03-09,286.0,174
2020-03-10,372.0,224
2020-03-11,510.0,286
2020-03-12,0.0,267
2020-03-13,1388.0,438
2020-03-14,815.0,507
2020-03-15,36.0,487
2020-03-16,2151.0,753
2020-03-17,1032.0,847
2020-03-18,1409.0,976
2020-03-19,1846.0,1240
2020-03-20,1788.0,1297
2020-03-21,1705.0,1424
2020-03-22,2298.0,1747
2020-03-23,3359.0,1920
2020-03-24,2252.0,2094
2020-03-25,2959.0,2315
2020-03-26,3921.0,2612
2020-03-27,3793.0,2898
2020-03-28,4648.0,3319
2020-03-29,2603.0,3362
2020-03-30,4349.0,3504
2020-03-31,7636.0,4273
2020-04-01,4844.0,4542
2020-04-02,2102.0,4282
2020-04-03,5225.0,4487
2020-04-04,-17076.0,1383
2020-04-05,849.0,1133
2020-04-06,2659.0,891
2020-04-07,-3489.0,-698
2020-04-08,3855.0,-839
2020-04-09,3784.0,-599
2020-04-10,1566.0,-1122
2020-04-11,1445.0,1524
2020-04-12,50747.0,8652
2020-04-13,3141.0,8721
2020-04-14,17448.0,11712
2020-04-15,3207.0,11620
2020-04-16,12578.0,12876
2020-04-17,1891.0,12922
2020-04-18,3804.0,13259
2020-04-19,1094.0,6166
2020-04-20,2447.0,6067
2020-04-21,2666.0,3955
2020-04-22,1799.0,3754
2020-04-23,-1709.0,1713
2020-04-24,2811.0,1845
2020-04-25,1678.0,1541
2020-04-26,633.0,1475
2020-04-27,3686.0,1652
2020-04-28,3132.0,1719
2020-04-29,-1455.0,1254
2020-04-30,1218.0,1672
2020-05-01,526.0,1345
2020-05-02,792.0,1219
2020-05-03,361.0,1180
2020-05-04,562.0,734
2020-05-05,1117.0,446
2020-05-06,4136.0,1245
2020-05-07,741.0,1176
2020-05-08,531.0,1177
2020-05-09,528.0,1139
2020-05-10,249.0,1123
2020-05-11,315.0,1088
2020-05-12,753.0,1036
2020-05-13,521.0,520
2020-05-14,642.0,506
2020-05-15,513.0,503
2020-05-16,415.0,487
2020-05-17,140.0,471
2020-05-18,444.0,490
2020-05-19,501.0,454
2020-05-20,481.0,448
2020-05-21,267.0,394
2020-05-22,756.0,429
