Date,daily_cases,daily_cases_7d_avg
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,0.0,0
2020-01-25,0.0,0
2020-01-26,0.0,0
2020-01-27,1.0,0
2020-01-28,3.0,1
2020-01-29,0.0,1
2020-01-30,0.0,1
2020-01-31,1.0,1
2020-02-01,3.0,1
2020-02-02,2.0,1
2020-02-03,2.0,2
2020-02-04,0.0,1
2020-02-05,0.0,1
2020-02-06,0.0,1
2020-02-07,1.0,1
2020-02-08,0.0,1
2020-02-09,1.0,1
2020-02-10,0.0,0
2020-02-11,2.0,1
2020-02-12,0.0,1
2020-02-13,0.0,1
2020-02-14,0.0,0
2020-02-15,0.0,0
2020-02-16,0.0,0
2020-02-17,0.0,0
2020-02-18,0.0,0
2020-02-19,0.0,0
2020-02-20,0.0,0
2020-02-21,0.0,0
2020-02-22,0.0,0
2020-02-23,0.0,0
2020-02-24,0.0,0
2020-02-25,0.0,0
2020-02-26,5.0,1
2020-02-27,5.0,1
2020-02-28,27.0,5
2020-02-29,13.0,7
2020-03-01,51.0,14
2020-03-02,33.0,19
2020-03-03,38.0,25
2020-03-04,52.0,31
2020-03-05,109.0,46
2020-03-06,185.0,69
2020-03-07,150.0,88
2020-03-08,163.0,104
2020-03-09,265.0,137
2020-03-10,184.0,158
2020-03-11,271.0,190
2020-03-12,802.0,289
2020-03-13,693.0,361
2020-03-14,733.0,444
2020-03-15,1043.0,570
2020-03-16,1174.0,700
2020-03-17,1144.0,837
2020-03-18,1042.0,947
2020-03-19,2801.0,1233
2020-03-20,2958.0,1556
2020-03-21,2705.0,1838
2020-03-22,1948.0,1967
2020-03-23,4062.0,2380
2020-03-24,4764.0,2897
2020-03-25,4118.0,3337
2020-03-26,4954.0,3644
2020-03-27,5780.0,4047
2020-03-28,6294.0,4560
2020-03-29,3965.0,4848
2020-03-30,4751.0,4947
2020-03-31,4615.0,4925
2020-04-01,5453.0,5116
2020-04-02,6156.0,5288
2020-04-03,6174.0,5344
2020-04-04,6082.0,5314
2020-04-05,5936.0,5595
2020-04-06,3677.0,5442
2020-04-07,3834.0,5330
2020-04-08,4003.0,5123
2020-04-09,4974.0,4954
2020-04-10,5323.0,4833
2020-04-11,4133.0,4554
2020-04-12,2821.0,4109
2020-04-13,2537.0,3946
2020-04-14,2082.0,3696
2020-04-15,2486.0,3479
2020-04-16,2866.0,3178
2020-04-17,3380.0,2901
2020-04-18,3609.0,2826
2020-04-19,2458.0,2774
2020-04-20,1775.0,2665
2020-04-21,1785.0,2623
2020-04-22,2237.0,2587
2020-04-23,2352.0,2514
2020-04-24,2337.0,2365
2020-04-25,2055.0,2143
2020-04-26,1737.0,2040
2020-04-27,1018.0,1932
2020-04-28,1144.0,1840
2020-04-29,1304.0,1707
2020-04-30,1478.0,1582
2020-05-01,1639.0,1482
2020-05-02,945.0,1324
2020-05-03,793.0,1189
2020-05-04,679.0,1140
2020-05-05,685.0,1075
2020-05-06,947.0,1024
2020-05-07,1284.0,996
2020-05-08,1209.0,935
2020-05-09,1251.0,978
2020-05-10,667.0,960
2020-05-11,357.0,914
2020-05-12,933.0,950
2020-05-13,798.0,928
2020-05-14,933.0,878
2020-05-15,913.0,836
2020-05-16,620.0,746
2020-05-17,583.0,734
2020-05-18,342.0,732
2020-05-19,513.0,672
2020-05-20,797.0,672
2020-05-21,745.0,645
2020-05-22,460.0,580
2020-05-23,638.0,583
