Date,Total,China_daily,US_daily,United_Kingdom_daily,Italy_daily,France_daily,Germany_daily,Spain_daily,Iran_daily,Total_daily,China_daily_7d,US_daily_7d,United_Kingdom_daily_7d,Italy_daily_7d,France_daily_7d,Germany_daily_7d,Spain_daily_7d,Iran_daily_7d,Total_daily_7d
2020-01-22,549,548.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,0,0,0,0,0,0,0,0,0
2020-01-23,644,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0,0,0,0,0,0,0,0,0
2020-01-24,924,277.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,280.0,0,0,0,0,0,0,0,0,0
2020-01-25,1411,486.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,487.0,0,0,0,0,0,0,0,0,0
2020-01-26,2083,669.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0,0,0,0,0,0,0,0,0
2020-01-27,2886,802.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,803.0,0,0,0,0,0,0,0,0,0
2020-01-28,5522,2632.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2636.0,787,1,0,0,1,1,0,0,789
2020-01-29,6102,578.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,580.0,791,1,0,0,1,1,0,0,793
2020-01-30,8156,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.0,1071,1,0,0,1,1,0,0,1073
2020-01-31,9824,1661.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1668.0,1269,1,0,0,0,1,0,0,1271
2020-02-01,11918,2089.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2094.0,1498,1,0,0,0,1,0,0,1501
2020-02-02,16659,4739.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4741.0,2079,0,0,0,0,1,0,0,2082
2020-02-03,19756,3086.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,3097.0,2406,1,1,0,0,2,0,0,2410
2020-02-04,23747,3991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991.0,2600,1,1,0,0,1,0,0,2604
2020-02-05,27481,3733.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3734.0,3050,1,1,0,0,1,0,0,3054
2020-02-06,30629,3147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3148.0,3207,1,1,0,0,1,0,0,3210
2020-02-07,34154,3523.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3525.0,3473,1,1,0,0,1,0,0,3476
2020-02-08,36867,2704.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,2713.0,3560,1,2,0,1,1,0,0,3564
2020-02-09,39885,3015.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3018.0,3314,1,2,0,1,1,0,0,3318
2020-02-10,42410,2525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2525.0,3234,0,1,0,1,0,0,0,3236
2020-02-11,44446,2032.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2036.0,2954,0,1,0,1,1,0,0,2957
2020-02-12,44820,373.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,374.0,2474,0,1,0,1,1,0,0,2477
2020-02-13,59958,15136.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15138.0,4187,0,1,0,1,1,0,0,4190
2020-02-14,66422,6463.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6464.0,4607,0,1,0,1,0,0,0,4610
2020-02-15,68478,2055.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2056.0,4514,0,1,0,0,0,0,0,4516
2020-02-16,70578,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,4383,0,1,0,0,0,0,0,4385
2020-02-17,72500,1921.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1922.0,4297,0,1,0,0,0,0,0,4299
2020-02-18,74277,1777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777.0,4261,0,1,0,0,0,0,0,4262
2020-02-19,74688,408.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,411.0,4266,0,1,0,0,0,0,0,4267
2020-02-20,75151,458.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,463.0,2169,0,1,0,0,0,0,1,2170
2020-02-21,75657,473.0,2.0,1.0,17.0,0.0,0.0,0.0,13.0,506.0,1313,0,1,2,0,0,0,3,1319
2020-02-22,77160,1451.0,0.0,0.0,42.0,0.0,0.0,0.0,10.0,1503.0,1227,0,1,8,0,0,0,4,1240
2020-02-23,77294,21.0,0.0,5.0,93.0,0.0,0.0,0.0,15.0,134.0,930,0,1,22,0,0,0,6,959
2020-02-24,77607,219.0,0.0,2.0,74.0,0.0,0.0,0.0,18.0,313.0,687,0,2,32,0,0,0,9,730
2020-02-25,78257,513.0,0.0,4.0,93.0,2.0,0.0,4.0,34.0,650.0,506,0,2,46,0,0,1,14,569
2020-02-26,78863,412.0,0.0,3.0,131.0,4.0,5.0,7.0,44.0,606.0,507,0,2,64,1,1,2,20,596
2020-02-27,79640,434.0,1.0,7.0,202.0,20.0,5.0,2.0,106.0,777.0,503,0,3,93,4,1,2,34,641
2020-02-28,80419,328.0,0.0,12.0,233.0,19.0,27.0,17.0,143.0,779.0,483,0,5,124,6,5,4,53,680
2020-02-29,81374,428.0,8.0,5.0,240.0,43.0,13.0,13.0,205.0,955.0,336,1,5,152,13,7,6,81,602
2020-03-01,83061,576.0,7.0,33.0,566.0,30.0,51.0,39.0,385.0,1687.0,416,2,9,220,17,14,12,134,824
2020-03-02,84323,204.0,23.0,40.0,342.0,61.0,33.0,36.0,523.0,1262.0,414,6,15,258,26,19,17,206,959
2020-03-03,85927,125.0,19.0,55.0,466.0,21.0,38.0,45.0,835.0,1604.0,358,8,22,311,28,25,23,320,1096
2020-03-04,87500,125.0,33.0,57.0,587.0,76.0,52.0,57.0,586.0,1573.0,317,13,30,377,39,31,30,398,1234
2020-03-05,89421,151.0,77.0,49.0,769.0,138.0,109.0,37.0,591.0,1921.0,277,24,36,458,55,46,35,467,1397
2020-03-06,92234,153.0,53.0,79.0,778.0,190.0,185.0,141.0,1234.0,2813.0,252,31,45,535,80,69,53,623,1688
2020-03-07,95440,80.0,166.0,55.0,1247.0,332.0,150.0,100.0,1076.0,3206.0,202,54,53,679,121,88,65,747,2009
2020-03-08,98411,53.0,116.0,54.0,1492.0,177.0,163.0,173.0,743.0,2971.0,127,70,56,812,142,104,84,798,2193
2020-03-09,102013,37.0,75.0,147.0,1797.0,286.0,265.0,400.0,595.0,3602.0,103,77,71,1019,174,137,136,809,2527
2020-03-10,105522,27.0,188.0,258.0,977.0,372.0,184.0,622.0,881.0,3509.0,89,101,100,1092,224,158,219,815,2799
2020-03-11,110966,34.0,365.0,411.0,2313.0,510.0,271.0,582.0,958.0,5444.0,76,149,150,1339,286,190,294,868,3352
2020-03-12,116433,11.0,439.0,489.0,2651.0,0.0,802.0,0.0,1075.0,5467.0,56,200,213,1608,267,289,288,937,3859
2020-03-13,126431,13.0,633.0,480.0,2547.0,1388.0,693.0,2955.0,1289.0,9998.0,36,283,271,1861,438,361,690,945,4885
2020-03-14,135155,32.0,759.0,364.0,3497.0,815.0,733.0,1159.0,1365.0,8724.0,30,368,315,2182,507,444,842,987,5674
2020-03-15,143142,26.0,234.0,442.0,3590.0,36.0,1043.0,1407.0,1209.0,7987.0,26,385,370,2482,487,570,1018,1053,6390
2020-03-16,155006,30.0,1467.0,612.0,3233.0,2151.0,1174.0,2144.0,1053.0,11864.0,25,584,437,2687,753,700,1267,1119,7570
2020-03-17,166320,25.0,1833.0,770.0,3526.0,1032.0,1144.0,1806.0,1178.0,11314.0,24,819,510,3051,847,837,1436,1161,8685
2020-03-18,180039,44.0,2657.0,1006.0,4207.0,1409.0,1042.0,2162.0,1192.0,13719.0,26,1146,595,3322,976,947,1662,1194,9868
2020-03-19,200716,54.0,4494.0,1061.0,5322.0,1846.0,2801.0,4053.0,1046.0,20677.0,32,1725,676,3703,1240,1233,2241,1190,12040
2020-03-20,222848,94.0,6367.0,1255.0,5986.0,1788.0,2958.0,2447.0,1237.0,22132.0,44,2544,787,4194,1297,1556,2168,1183,13774
2020-03-21,246992,55.0,5995.0,1197.0,6557.0,1705.0,2705.0,4964.0,966.0,24144.0,47,3292,906,4632,1424,1838,2712,1126,15977
2020-03-22,271692,130.0,8919.0,1423.0,5560.0,2298.0,1948.0,3394.0,1028.0,24700.0,62,4533,1046,4913,1747,1967,2996,1100,18364
2020-03-23,305240,58.0,11152.0,2349.0,4789.0,3359.0,4062.0,6368.0,1411.0,33548.0,66,5917,1294,5135,1920,2380,3599,1151,21462
2020-03-24,337120,94.0,10618.0,2392.0,5249.0,2252.0,4764.0,4749.0,1762.0,31880.0,76,7172,1526,5381,2094,2897,4020,1235,24400
2020-03-25,376149,71.0,12127.0,2708.0,5210.0,2959.0,4118.0,9630.0,2206.0,39029.0,79,8525,1769,5525,2315,3337,5086,1379,28016
2020-03-26,422942,123.0,17821.0,3111.0,6203.0,3921.0,4954.0,8271.0,2389.0,46793.0,89,10428,2062,5651,2612,3644,5689,1571,31747
2020-03-27,471210,91.0,18591.0,3245.0,5909.0,3793.0,5780.0,7933.0,2926.0,48268.0,89,12175,2346,5640,2898,4047,6473,1813,35480
2020-03-28,523826,92.0,22164.0,2852.0,5974.0,4648.0,6294.0,7516.0,3076.0,52616.0,94,14485,2583,5556,3319,4560,6837,2114,39548
2020-03-29,564502,94.0,16127.0,2894.0,5217.0,2603.0,3965.0,6875.0,2901.0,40676.0,89,15514,2793,5507,3362,4848,7335,2382,41830
2020-03-30,615221,81.0,22154.0,4302.0,4050.0,4349.0,4751.0,7846.0,3186.0,50719.0,92,17086,3072,5402,3504,4947,7546,2635,44283
2020-03-31,675167,1647.0,26381.0,4537.0,4053.0,7636.0,4615.0,7967.0,3110.0,59946.0,314,19338,3378,5231,4273,4925,8005,2828,48292
2020-04-01,737787,216.0,31175.0,4967.0,4782.0,4844.0,5453.0,8195.0,2988.0,62620.0,335,22059,3701,5170,4542,5116,7800,2939,51663
2020-04-02,798877,127.0,32276.0,4939.0,4668.0,2102.0,6156.0,7947.0,2875.0,61090.0,335,24124,3962,4950,4282,5288,7754,3009,53705
2020-04-03,862198,136.0,32401.0,4951.0,4585.0,5225.0,6174.0,7134.0,2715.0,63321.0,342,26097,4206,4761,4487,5344,7640,2979,55855
2020-04-04,901575,98.0,31845.0,4094.0,4805.0,-17076.0,6082.0,6969.0,2560.0,39377.0,343,27480,4383,4594,1383,5314,7562,2905,53964
2020-04-05,953601,104.0,29240.0,3620.0,4316.0,849.0,5936.0,5478.0,2483.0,52026.0,344,29353,4487,4466,1133,5595,7362,2845,55586
2020-04-06,1008121,144.0,31782.0,5356.0,3599.0,2659.0,3677.0,5029.0,2274.0,54520.0,353,30729,4638,4401,891,5442,6960,2715,56129
2020-04-07,1054462,81.0,30036.0,5484.0,3039.0,-3489.0,3834.0,5267.0,2089.0,46341.0,129,31251,4773,4256,-698,5330,6574,2569,54185
2020-04-08,1110881,217.0,31063.0,5170.0,3836.0,3855.0,4003.0,6278.0,1997.0,56419.0,130,31235,4802,4121,-839,5123,6300,2428,53299
2020-04-09,1171116,115.0,35610.0,4912.0,4204.0,3784.0,4974.0,5002.0,1634.0,60235.0,128,31711,4798,4055,-599,4954,5880,2250,53177
