Date,daily_cases,daily_cases_7d_avg
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,0.0,0
2020-01-25,0.0,0
2020-01-26,0.0,0
2020-01-27,0.0,0
2020-01-28,0.0,0
2020-01-29,0.0,0
2020-01-30,0.0,0
2020-01-31,0.0,0
2020-02-01,1.0,0
2020-02-02,0.0,0
2020-02-03,0.0,0
2020-02-04,0.0,0
2020-02-05,0.0,0
2020-02-06,0.0,0
2020-02-07,0.0,0
2020-02-08,0.0,0
2020-02-09,1.0,0
2020-02-10,0.0,0
2020-02-11,0.0,0
2020-02-12,0.0,0
2020-02-13,0.0,0
2020-02-14,0.0,0
2020-02-15,0.0,0
2020-02-16,0.0,0
2020-02-17,0.0,0
2020-02-18,0.0,0
2020-02-19,0.0,0
2020-02-20,0.0,0
2020-02-21,0.0,0
2020-02-22,0.0,0
2020-02-23,0.0,0
2020-02-24,0.0,0
2020-02-25,4.0,1
2020-02-26,7.0,2
2020-02-27,2.0,2
2020-02-28,17.0,4
2020-02-29,13.0,6
2020-03-01,39.0,12
2020-03-02,36.0,17
2020-03-03,45.0,23
2020-03-04,57.0,30
2020-03-05,37.0,35
2020-03-06,141.0,53
2020-03-07,100.0,65
2020-03-08,173.0,84
2020-03-09,400.0,136
2020-03-10,622.0,219
2020-03-11,582.0,294
2020-03-12,0.0,288
2020-03-13,2955.0,690
2020-03-14,1159.0,842
2020-03-15,1407.0,1018
2020-03-16,2144.0,1267
2020-03-17,1806.0,1436
2020-03-18,2162.0,1662
2020-03-19,4053.0,2241
2020-03-20,2447.0,2168
2020-03-21,4964.0,2712
2020-03-22,3394.0,2996
2020-03-23,6368.0,3599
2020-03-24,4749.0,4020
2020-03-25,9630.0,5086
2020-03-26,8271.0,5689
2020-03-27,7933.0,6473
2020-03-28,7516.0,6837
2020-03-29,6875.0,7335
2020-03-30,7846.0,7546
2020-03-31,7967.0,8005
2020-04-01,8195.0,7800
2020-04-02,7947.0,7754
2020-04-03,7134.0,7640
2020-04-04,6969.0,7562
2020-04-05,5478.0,7362
2020-04-06,5029.0,6960
2020-04-07,5267.0,6574
2020-04-08,6278.0,6300
2020-04-09,5002.0,5880
2020-04-10,5051.0,5582
2020-04-11,4754.0,5266
2020-04-12,3804.0,5026
2020-04-13,3268.0,4775
2020-04-14,2442.0,4371
2020-04-15,5103.0,4203
2020-04-16,7304.0,4532
2020-04-17,5891.0,4652
2020-04-18,887.0,4100
2020-04-19,6948.0,4549
2020-04-20,1536.0,4302
2020-04-21,3968.0,4520
2020-04-22,4211.0,4392
2020-04-23,4635.0,4011
2020-04-24,-10034.0,1736
2020-04-25,2915.0,2026
2020-04-26,1729.0,1280
2020-04-27,1831.0,1322
2020-04-28,1308.0,942
2020-04-29,2144.0,647
2020-04-30,518.0,59
2020-05-01,1781.0,1747
2020-05-02,1366.0,1525
2020-05-03,884.0,1405
2020-05-04,545.0,1221
2020-05-05,1318.0,1222
2020-05-06,996.0,1058
2020-05-07,1122.0,1145
2020-05-08,1410.0,1092
2020-05-09,721.0,999
2020-05-10,772.0,983
2020-05-11,3086.0,1346
2020-05-12,594.0,1243
2020-05-13,661.0,1195
2020-05-14,849.0,1156
2020-05-15,643.0,1047
2020-05-16,515.0,1017
2020-05-17,0.0,907
2020-05-18,908.0,596
2020-05-19,431.0,572
2020-05-20,518.0,552
2020-05-21,482.0,500
2020-05-22,1787.0,663
