Date,daily_cases,daily_cases_7d_avg
2020-01-22,1.0,0
2020-01-23,0.0,0
2020-01-24,1.0,0
2020-01-25,0.0,0
2020-01-26,3.0,0
2020-01-27,0.0,0
2020-01-28,0.0,1
2020-01-29,1.0,1
2020-01-30,0.0,1
2020-01-31,2.0,1
2020-02-01,0.0,1
2020-02-02,0.0,0
2020-02-03,3.0,1
2020-02-04,0.0,1
2020-02-05,0.0,1
2020-02-06,1.0,1
2020-02-07,0.0,1
2020-02-08,0.0,1
2020-02-09,0.0,1
2020-02-10,0.0,0
2020-02-11,1.0,0
2020-02-12,0.0,0
2020-02-13,1.0,0
2020-02-14,0.0,0
2020-02-15,0.0,0
2020-02-16,0.0,0
2020-02-17,0.0,0
2020-02-18,0.0,0
2020-02-19,0.0,0
2020-02-20,0.0,0
2020-02-21,2.0,0
2020-02-22,0.0,0
2020-02-23,0.0,0
2020-02-24,0.0,0
2020-02-25,0.0,0
2020-02-26,0.0,0
2020-02-27,1.0,0
2020-02-28,0.0,0
2020-02-29,8.0,1
2020-03-01,7.0,2
2020-03-02,23.0,6
2020-03-03,19.0,8
2020-03-04,33.0,13
2020-03-05,77.0,24
2020-03-06,53.0,31
2020-03-07,166.0,54
2020-03-08,116.0,70
2020-03-09,75.0,77
2020-03-10,188.0,101
2020-03-11,365.0,149
2020-03-12,439.0,200
2020-03-13,633.0,283
2020-03-14,759.0,368
2020-03-15,234.0,385
2020-03-16,1467.0,584
2020-03-17,1833.0,819
2020-03-18,2657.0,1146
2020-03-19,4494.0,1725
2020-03-20,6367.0,2544
2020-03-21,5995.0,3292
2020-03-22,8919.0,4533
2020-03-23,11152.0,5917
2020-03-24,10618.0,7172
2020-03-25,12127.0,8525
2020-03-26,17821.0,10428
2020-03-27,18591.0,12175
2020-03-28,22164.0,14485
2020-03-29,16127.0,15514
2020-03-30,22154.0,17086
2020-03-31,26381.0,19338
2020-04-01,31175.0,22059
2020-04-02,32276.0,24124
2020-04-03,32401.0,26097
2020-04-04,31845.0,27480
2020-04-05,29240.0,29353
2020-04-06,31782.0,30729
2020-04-07,30036.0,31251
2020-04-08,31063.0,31235
2020-04-09,35610.0,31711
2020-04-10,34283.0,31980
2020-04-11,28924.0,31563
2020-04-12,26308.0,31144
2020-04-13,27143.0,30481
2020-04-14,28328.0,30237
2020-04-15,25897.0,29499
2020-04-16,29638.0,28646
2020-04-17,33107.0,28478
2020-04-18,27329.0,28250
2020-04-19,25422.0,28123
2020-04-20,30084.0,28544
2020-04-21,26075.0,28222
2020-04-22,29881.0,28791
2020-04-23,31965.0,29123
2020-04-24,31965.0,28960
2020-04-25,30914.0,29472
2020-04-26,25971.0,29551
2020-04-27,24649.0,28774
2020-04-28,24573.0,28560
2020-04-29,26852.0,28127
2020-04-30,29702.0,27804
2020-05-01,34892.0,28222
2020-05-02,26765.0,27629
2020-05-03,23733.0,27309
2020-05-04,23802.0,27188
2020-05-05,24019.0,27109
2020-05-06,24482.0,26771
2020-05-07,27739.0,26490
2020-05-08,27183.0,25389
2020-05-09,24454.0,25059
2020-05-10,18746.0,24346
2020-05-11,19077.0,23671
2020-05-12,23382.0,23580
2020-05-13,20015.0,22942
2020-05-14,25890.0,22678
2020-05-15,24851.0,22345
2020-05-16,24050.0,22287
2020-05-17,18729.0,22285
2020-05-18,22308.0,22746
2020-05-19,20502.0,22335
2020-05-20,22826.0,22737
2020-05-21,25152.0,22631
2020-05-22,23828.0,22485
2020-05-23,20189.0,21933
2020-05-24,20174.0,22140
2020-05-25,19094.0,21681
2020-05-26,18726.0,21427
2020-05-27,18763.0,20847
2020-05-28,21267.0,20292
2020-05-29,25082.0,20471
2020-05-30,23080.0,20884
2020-05-31,18919.0,20704
2020-06-01,17840.0,20525
2020-06-02,20090.0,20720
2020-06-03,19156.0,20776
2020-06-04,27934.0,21729
2020-06-05,26439.0,21923
2020-06-06,20269.0,21521
2020-06-07,17826.0,21365
2020-06-08,16899.0,21230
2020-06-09,20321.0,21263
2020-06-10,21718.0,21629
2020-06-11,22278.0,20821
2020-06-12,25558.0,20696
2020-06-13,24157.0,21251
2020-06-14,18901.0,21405
2020-06-15,20999.0,21990
2020-06-16,24549.0,22594
2020-06-17,27050.0,23356
