Date,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13,Product_14,Product_15,Product_16,Product_17,Product_18,Product_19,Product_20,Product_21,Product_22,Product_23,Product_24,Product_25,Product_26,Product_27,Product_28,Product_29,Product_30,Product_31,Product_32,Product_33,Product_34,Product_35
2017-01-01,87,70,9,17,25,147,31,372,98,18,0,0,0,34,0,0,40,86,0,26,51,34,0,73,5,0,27,0,0,38,88,0,23,57,29
2017-01-02,193,26,0,43,0,427,59,120,36,50,0,0,0,51,0,0,3,55,0,0,32,0,0,12,46,0,94,0,0,46,71,0,15,27,0
2017-01-03,22,26,11,8,3,168,75,53,28,26,0,0,0,27,0,0,41,69,0,0,8,11,0,29,15,0,35,0,0,20,43,0,18,0,14
2017-01-04,58,56,21,0,0,250,29,88,22,59,0,0,0,22,0,0,70,43,0,56,41,4,0,12,35,0,9,0,0,33,31,0,0,21,0
2017-01-05,160,27,0,6,30,314,67,116,125,21,0,0,0,46,0,0,56,45,0,0,34,0,0,21,41,0,81,0,0,120,26,0,0,34,0
2017-01-06,219,81,0,0,11,189,235,110,145,67,0,0,0,83,0,0,114,39,0,7,56,1,0,79,24,0,132,0,0,67,13,0,10,64,0
2017-01-07,38,134,0,3,7,230,77,85,115,4,0,0,0,53,0,0,76,101,0,6,50,0,0,27,30,0,121,0,0,86,23,0,1,112,0
2017-01-08,138,55,12,12,41,337,112,332,106,35,0,0,0,108,0,0,24,20,0,0,66,6,0,18,105,0,59,0,0,97,59,0,25,33,0
2017-01-09,135,0,5,0,4,304,8,89,19,29,0,0,0,5,0,0,9,39,0,0,0,13,0,8,19,0,43,0,0,33,39,0,18,14,0
2017-01-10,117,26,0,22,0,269,17,76,77,12,0,0,0,3,0,0,27,0,0,0,16,0,0,9,23,0,21,0,0,44,46,0,35,20,0
2017-01-11,99,51,0,0,0,249,20,144,49,0,0,0,0,9,0,0,22,37,0,2,14,7,0,50,21,0,7,0,0,48,34,0,16,9,0
2017-01-12,63,36,0,0,15,209,102,112,81,0,0,0,0,7,0,0,7,31,0,0,8,0,0,68,27,0,62,0,0,47,39,0,0,8,0
2017-01-13,129,59,3,0,13,324,39,120,76,5,0,0,0,36,0,0,32,84,0,0,42,0,0,36,74,0,64,0,0,76,20,0,32,24,0
2017-01-14,194,32,0,12,6,246,51,228,127,17,0,0,0,16,0,0,15,60,0,0,74,9,0,47,53,0,102,0,0,87,87,0,0,48,0
2017-01-15,194,69,10,12,9,325,118,371,104,36,0,0,0,67,0,0,65,68,0,0,25,0,0,80,54,0,86,0,0,44,50,0,25,2,0
2017-01-16,36,27,0,12,0,267,36,83,42,11,0,0,0,27,0,0,10,42,0,0,0,0,0,15,46,0,40,0,0,77,27,0,8,0,0
2017-01-17,51,47,0,0,5,369,32,44,62,0,0,0,0,51,0,0,29,70,0,11,10,0,0,0,12,0,59,0,0,15,57,0,0,35,0
2017-01-18,99,30,0,0,0,292,21,65,88,0,0,0,0,13,0,0,12,56,0,0,14,0,0,17,27,0,16,0,0,29,39,0,4,0,0
2017-01-19,91,89,0,0,20,205,0,33,94,0,0,0,0,168,0,0,32,68,0,1,2,0,0,0,24,0,18,0,0,58,56,0,3,12,0
2017-01-20,64,38,5,0,3,165,18,104,118,36,0,0,0,44,0,0,27,35,0,31,20,0,0,21,31,0,24,0,0,106,53,0,34,75,0
2017-01-21,189,145,0,0,8,260,106,208,204,46,0,0,0,100,0,0,10,99,0,0,80,0,0,5,99,0,85,0,0,133,33,0,4,44,0
2017-01-22,113,84,0,0,26,235,14,173,95,79,0,0,0,58,0,0,16,70,0,0,91,0,0,77,50,0,60,0,0,115,75,0,16,61,0
2017-01-23,48,17,0,0,0,331,58,98,151,7,0,0,0,47,0,0,29,41,0,7,10,0,0,36,36,0,31,0,0,65,13,0,0,6,0
2017-01-24,38,15,0,0,0,333,79,129,57,15,0,0,0,69,0,0,29,50,0,0,0,15,0,15,41,0,73,0,0,0,37,0,13,0,0
