Date,Total_Product_1,Parties_Reporting
2017-01-01,86,50
2017-01-02,193,50
2017-01-03,22,50
2017-01-04,58,50
2017-01-05,159,50
2017-01-06,218,50
2017-01-07,37,50
2017-01-08,137,50
2017-01-09,135,50
2017-01-10,117,50
2017-01-11,99,50
2017-01-12,63,50
2017-01-13,129,50
2017-01-14,193,50
2017-01-15,194,50
2017-01-16,36,50
2017-01-17,51,50
2017-01-18,98,50
2017-01-19,91,50
2017-01-20,64,50
2017-01-21,189,50
2017-01-22,113,50
2017-01-23,47,50
2017-01-24,37,50
2017-01-25,151,50
2017-01-26,64,50
2017-01-27,114,50
2017-01-28,193,50
2017-01-29,146,50
2017-01-30,116,50
2017-01-31,81,50
2017-02-01,103,50
2017-02-02,208,50
2017-02-03,131,50
2017-02-04,180,50
2017-02-05,214,50
2017-02-06,78,50
2017-02-07,114,50
2017-02-08,98,50
2017-02-09,57,50
2017-02-10,133,50
2017-02-11,138,50
2017-02-12,105,50
2017-02-13,50,50
2017-02-14,75,50
2017-02-15,112,50
2017-02-16,73,50
2017-02-17,78,50
2017-02-18,63,50
2017-02-19,89,50
2017-02-20,60,50
2017-02-21,68,50
2017-02-22,126,50
2017-02-23,83,50
2017-02-24,158,50
2017-02-25,170,50
2017-02-26,180,50
2017-02-27,92,50
2017-02-28,97,50
2017-03-01,74,50
2017-03-02,172,50
2017-03-03,62,50
2017-03-04,122,50
2017-03-05,117,50
2017-03-06,165,50
2017-03-07,43,50
2017-03-08,148,50
2017-03-09,215,50
2017-03-10,96,50
2017-03-11,107,50
2017-03-12,138,50
2017-03-13,100,50
2017-03-14,33,50
2017-03-15,69,50
2017-03-16,123,50
2017-03-17,110,50
2017-03-18,302,50
2017-03-19,189,50
2017-03-20,115,50
2017-03-21,89,50
2017-03-22,81,50
2017-03-23,151,50
2017-03-24,91,50
2017-03-25,121,50
2017-03-26,142,50
2017-03-27,65,50
2017-03-28,70,50
2017-03-29,113,50
2017-03-30,66,50
2017-03-31,122,50
2017-04-01,164,50
2017-04-02,143,50
2017-04-03,159,50
2017-04-04,75,50
2017-04-05,93,50
2017-04-06,94,50
2017-04-07,164,50
2017-04-08,171,50
2017-04-09,104,50
2017-04-10,221,50
2017-04-11,87,50
2017-04-12,138,50
2017-04-13,161,50
2017-04-14,172,50
2017-04-15,127,50
2017-04-16,171,50
2017-04-17,53,50
2017-04-18,72,50
2017-04-19,89,50
2017-04-20,69,50
2017-04-21,82,50
2017-04-22,147,50
2017-04-23,141,50
2017-04-24,178,50
2017-04-25,32,50
2017-04-26,62,50
2017-04-27,92,50
2017-04-28,81,50
